"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.358124982E-3,-2.086552593E0,-2.309916523E0,1.831982950E0,3.611866221E0
1.932812500E-2,-5.422097493E-1,-2.060262342E0,2.079931206E0,2.977379074E0
2.929912502E-2,1.459941136E0,-1.824296200E0,1.830867301E0,2.968427163E0
3.927012498E-2,2.862734511E0,-1.490890887E0,1.442527982E0,3.535377136E0
4.924112500E-2,1.729757541E0,-2.126601927E0,4.237325156E-1,2.773814368E0
5.921112502E-2,1.302374170E0,-2.042510488E0,3.184077895E-1,2.443237829E0
6.918212498E-2,1.949780664E0,-1.327965532E0,1.297447452E0,2.692305143E0
7.915312500E-2,2.071437102E0,-1.488120477E0,5.901892966E-1,2.617952946E0
8.912412502E-2,1.787229969E0,-1.964566226E0,-6.576445305E-1,2.736093520E0
9.909412498E-2,2.304733551E0,-1.972862840E0,1.187049097E-1,3.036128355E0
1.090651250E-1,2.402987240E0,-6.727341476E-1,-2.060196269E-1,2.503869604E0
1.190361250E-1,2.192075686E0,-2.369876504E-2,-7.475858170E-1,2.316169683E0
1.290071250E-1,2.145303662E0,-3.719624376E-1,-2.285892946E-1,2.189277717E0
1.389771250E-1,1.860571888E0,-5.052815858E-1,5.408317798E-1,2.002382642E0
1.489481250E-1,1.460696743E0,1.814563510E-1,8.230534905E-1,1.686409924E0
1.589191250E-1,1.136764943E0,9.834791610E-1,9.002343982E-1,1.752109519E0
1.688901250E-1,4.203215423E-1,5.010376766E-1,4.120959717E-1,7.730019678E-1
1.788601250E-1,-2.256579392E-2,6.886119694E-2,-1.492145115E-1,1.658796249E-1
1.888311250E-1,-9.676776454E-3,3.063435218E-1,5.099649131E-1,5.949825258E-1
1.988021250E-1,-2.465762801E-1,6.705355945E-1,2.815118587E-1,7.678976312E-1
2.087731250E-1,8.839389391E-2,6.182307887E-1,-3.951331991E-1,7.390216733E-1
2.187431250E-1,7.092329793E-1,4.255077302E-2,-1.566942698E-1,7.275816665E-1
2.287141250E-1,8.546941631E-1,2.949891061E-2,4.563225567E-1,9.693309930E-1
2.386851250E-1,8.483310769E-1,7.443803734E-1,5.994144487E-1,1.277914488E0
2.486561250E-1,1.110648865E0,5.458861130E-1,1.190858558E0,1.717462272E0
2.586261250E-1,8.758418611E-1,1.031639460E0,8.820869797E-1,1.615381188E0
2.685971250E-1,7.791187546E-1,1.864091765E0,-1.357477891E-1,2.024917679E0
2.785681250E-1,7.901835139E-1,1.340215157E0,-5.987402648E-1,1.667050256E0
2.885391250E-1,3.613101994E-1,-3.494980198E-1,-1.811826428E0,1.880268314E0
2.985091250E-1,-1.108741723E-2,-1.677695394E0,-1.451004106E0,2.218151862E0
3.084801250E-1,-3.854689942E-1,-1.476167598E0,-2.059184700E-1,1.539499769E0
3.184515833E-1,-7.049756216E-1,-9.455623063E-1,1.581753695E-1,1.189999223E0
3.284225833E-1,-2.668808095E-2,-1.026040459E0,-4.688554788E-1,1.128404510E0
3.383925833E-1,4.604166310E-1,-8.513896823E-1,-7.360247022E-1,1.215968843E0
3.483635833E-1,4.103456808E-1,-8.441794807E-1,-1.000519994E0,1.371882951E0
3.583345833E-1,7.934187052E-1,-6.014884561E-1,1.177640927E-1,1.002581661E0
3.683055833E-1,2.717673276E-1,-1.007019466E0,1.546516035E0,1.865384017E0
3.782755833E-1,-5.515508956E-1,-1.713416327E0,1.425145379E0,2.295875269E0
3.882465833E-1,-4.216346077E-1,-6.773993486E-1,2.280665535E-1,8.298553927E-1
3.982175833E-1,-3.826045894E-1,1.079543944E0,-3.067063415E-1,1.185693965E0
4.081885833E-1,-2.733125275E-1,8.799042141E-1,-4.839266771E-1,1.040728683E0
4.181585833E-1,-5.312149373E-1,-5.672059384E-1,-3.985415411E-1,8.733540211E-1
4.281295833E-1,-8.827950045E-1,-4.714905265E-1,-6.783881128E-2,1.003111380E0
4.381005833E-1,-1.268245288E0,1.088022114E0,-7.206564653E-1,1.819775803E0
4.480715833E-1,-7.525041293E-1,1.357876379E0,-7.554994386E-1,1.726519657E0
4.580415833E-1,-4.881665663E-1,7.505997643E-1,2.534060472E-1,9.305488850E-1
4.680125833E-1,-7.341342243E-1,9.495720345E-1,3.019268274E-2,1.200646370E0
4.779835833E-1,-6.331522252E-1,1.401201908E0,-4.996094942E-1,1.616743076E0
4.879545833E-1,-8.009267494E-1,6.335823610E-1,-2.241454107E-1,1.045538823E0
4.979245833E-1,-9.368628189E-1,-4.292587191E-2,3.084312701E-1,9.872610700E-1
5.078955833E-1,-4.695535632E-1,6.474809003E-1,1.363108760E-1,8.113524018E-1
5.178665833E-1,-4.359508574E-1,5.097509050E-1,2.409000224E-1,7.126934517E-1
5.278375833E-1,-4.052512942E-1,6.831825373E-1,1.970622772E-1,8.184134235E-1
5.378075833E-1,-1.664798044E-1,1.221236305E0,-4.557325727E-1,1.314087446E0
5.477785833E-1,5.236985609E-3,-3.438118950E-1,-4.561331069E-1,5.712192717E-1
5.577495833E-1,-2.590379392E-1,-8.163888341E-1,-3.612959468E-1,9.295838551E-1
5.677205833E-1,5.192568697E-2,2.731863007E-1,5.934818637E-1,6.553989277E-1
5.776905833E-1,-2.051653486E-1,-2.604697761E-1,9.378103602E-1,9.946987465E-1
5.876615833E-1,-1.381113068E-1,-7.573977372E-1,7.519694746E-1,1.076189647E0
5.976325833E-1,-8.580876678E-2,-5.616776884E-2,9.058389544E-2,1.368334931E-1
6.076035833E-1,-4.225592718E-1,-1.363102913E-2,-4.347837532E-1,6.064478997E-1
6.175735833E-1,-1.730226195E-1,-6.015884435E-1,-9.313848549E-1,1.122195718E0
6.275445833E-1,-2.185711138E-1,-3.670855674E-1,-1.987527072E-2,4.276916786E-1
6.375155833E-1,2.407503337E-2,-2.778702128E-1,6.627269304E-1,7.190260403E-1
6.474865833E-1,2.922184029E-1,6.030496627E-2,3.606194240E-1,4.680541132E-1
6.574565833E-1,4.123463787E-2,-7.825153291E-2,7.794186437E-1,7.844214556E-1
6.674275833E-1,1.442200392E-1,-4.884103221E-1,3.255413926E-1,6.044181174E-1
6.773985833E-1,3.116570328E-1,-1.051151327E0,-3.482473004E-1,1.150358813E0
6.873685833E-1,-2.273503426E-1,-6.926328072E-1,2.612021399E-1,7.743739031E-1
6.973395833E-1,-7.157698741E-1,1.331913865E-1,2.282712060E-1,7.630034086E-1
7.073105833E-1,-1.150482072E0,1.714082032E-2,1.274178457E-1,1.157643344E0
7.172815833E-1,-1.781496921E0,-1.390026417E-1,9.317070365E-1,2.015224805E0
7.272515833E-1,-1.753178855E0,5.711607027E-1,-9.170422196E-2,1.846150132E0
7.372225833E-1,-1.554794815E0,7.203623503E-1,-8.704749942E-1,1.921987395E0
7.471935833E-1,-1.550290705E0,5.944905084E-1,-1.297349803E0,2.107115741E0
7.571645833E-1,-1.586132090E0,-1.038252077E-1,-1.123948869E0,1.946755183E0
7.671345833E-1,-1.664619558E0,-8.348917633E-2,-6.515640110E-1,1.789543064E0
7.771055833E-1,-1.831025468E0,5.503589407E-1,-9.838057280E-2,1.914478510E0
7.870765833E-1,-1.457621400E0,9.074036694E-1,1.488782966E-1,1.723428650E0
7.970475833E-1,-7.295930573E-1,7.229924279E-1,-2.534773833E-1,1.057957874E0
8.070175833E-1,-2.445439341E-1,2.701121271E-1,-8.056135851E-1,8.841807199E-1
8.169885833E-1,1.761491988E-2,1.499682176E-1,-1.513099197E0,1.520614985E0
8.269595833E-1,2.475915760E-1,3.680945045E-1,-1.125460959E0,1.209734485E0
8.369305833E-1,2.572254485E-1,3.995557407E-1,-7.320304692E-1,8.727418456E-1
8.469005833E-1,4.313805640E-1,3.393019375E-1,-8.127805173E-1,9.807278752E-1
8.568715833E-1,4.469947129E-1,6.380411553E-1,-5.135948646E-1,9.331026065E-1
8.668425833E-1,1.220411299E-1,8.707615077E-1,-3.582320058E-1,9.494471079E-1
8.768135833E-1,-2.488593620E-1,6.296436766E-1,-5.382946730E-2,6.791757895E-1
8.867835833E-1,-6.650392118E-1,9.182759821E-2,1.125107787E0,1.310182046E0
8.967545833E-1,-1.039167604E0,2.628361443E-1,9.789911306E-1,1.451680331E0
9.067255833E-1,-1.344445032E0,8.829058823E-1,2.757500124E-1,1.631898683E0
9.166965833E-1,-1.543219813E0,9.713470656E-1,-4.981664014E-1,1.890294230E0
9.266665833E-1,-1.378302458E0,6.157401672E-1,-8.916875231E-1,1.753271302E0
9.366375833E-1,-8.831811400E-1,4.220061252E-1,-5.701614136E-1,1.132776294E0
9.466085833E-1,-9.015205664E-1,7.342535806E-1,-5.030651987E-2,1.163786234E0
9.565795833E-1,-6.075895506E-1,1.780033655E0,-1.137292215E0,2.197980541E0
9.665495833E-1,-8.175639783E-1,1.639548159E0,-1.152466909E0,2.164418860E0
9.765205833E-1,-5.231299192E-1,3.887205577E-1,-5.430852968E-1,8.483573680E-1
9.864915833E-1,2.072364324E-1,5.137965935E-1,-3.107672328E-1,6.352244890E-1
9.964625833E-1,2.013380536E-1,1.241189344E0,-3.570391738E-1,1.307120871E0
1.006432583E0,3.511769382E-1,1.179624302E0,-9.246476930E-1,1.539419401E0
1.016403583E0,3.161723624E-1,1.071461045E0,-5.921229708E-1,1.264358868E0
1.026374583E0,3.147506484E-1,6.139889261E-1,4.331208050E-2,6.913221452E-1
1.036345583E0,4.625015653E-1,2.983395606E-2,7.941202980E-1,9.194698530E-1
1.046315583E0,1.932515554E-1,6.220732865E-1,1.122650203E0,1.297946384E0
1.056286583E0,-2.507782400E-2,1.005773717E0,5.449353558E-1,1.144187139E0
1.066257583E0,2.329283488E-1,5.745161274E-1,-6.956847614E-1,9.318270674E-1
1.076228583E0,1.940707138E-1,7.578488499E-2,-3.957190901E-1,4.472140304E-1
1.086198583E0,8.898128327E-2,-3.841866267E-1,1.920629078E-1,4.386401640E-1
1.096169583E0,-3.595128750E-1,-5.527823192E-1,4.580334520E-1,8.028776014E-1
1.106140583E0,-7.712125151E-1,1.723519439E-1,3.710759997E-1,8.730242457E-1
1.116111583E0,-8.796292488E-1,-3.380234438E-1,6.537233877E-1,1.146892206E0
1.126081583E0,-1.468202375E0,-4.571920377E-1,6.818479103E-1,1.682129408E0
1.136052583E0,-1.899167019E0,1.469688883E-1,1.266331494E-1,1.909049810E0
1.146023583E0,-1.884641659E0,-3.701986250E-1,-4.272449380E-1,1.967602460E0
