"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.187083305E-3,1.688679973E0,-1.217207573E0,1.001719258E0,2.310124629E0
1.715708332E-2,8.428276044E-1,-3.590096855E-1,1.696679549E0,1.928203262E0
2.712708333E-2,1.859598034E0,1.481015817E0,1.075589472E0,2.609292128E0
3.709708335E-2,2.583862670E0,-3.402670205E-2,1.195577846E0,2.847263686E0
4.706708330E-2,3.175928338E0,-8.128582853E-1,2.422730071E0,4.076380796E0
5.703708332E-2,2.980650046E0,1.320640140E0,7.715804511E-1,3.350179319E0
6.700708333E-2,3.022268481E0,2.117098155E0,-8.330814654E-1,3.782887270E0
7.697708334E-2,4.008488524E0,7.637712023E-1,-1.417466816E0,4.319784586E0
8.694708336E-2,4.689169038E0,-1.355558835E0,4.524768430E-1,4.902099684E0
9.691808332E-2,2.913451797E0,9.872070533E-1,-1.063992105E0,3.254974399E0
1.068880833E-1,2.340131718E0,1.069457205E0,-3.433022516E0,4.290174678E0
1.168580833E-1,3.404619666E0,-1.085790232E0,-3.084874034E-2,3.573699364E0
1.268280833E-1,2.248706993E0,-1.699132749E0,2.662996255E0,3.877535853E0
1.367980833E-1,1.615710230E0,1.504820417E0,-3.610684901E-1,2.237269427E0
1.467680833E-1,2.610049133E0,8.330671397E-1,2.573599344E-1,2.751834201E0
1.567380833E-1,1.844320136E0,-1.258208542E0,1.127705705E0,2.501264812E0
1.667080833E-1,2.357355861E0,-1.520995862E0,8.969710672E-1,2.945354336E0
1.766780833E-1,1.961563388E0,1.866466320E-1,1.524117690E-1,1.976308994E0
1.866480833E-1,1.750186104E0,-7.278584808E-2,7.442815554E-1,1.903261467E0
1.966180833E-1,2.181190948E0,-1.297694789E0,9.157312739E-1,2.698178920E0
2.065880834E-1,1.555427776E0,-1.854103844E0,4.235296172E-1,2.456915539E0
2.165580833E-1,2.089733040E0,-9.781561482E-1,3.167881107E0,3.919087182E0
2.265280833E-1,1.584051358E0,1.626727847E0,2.747913614E0,3.564616588E0
2.364980833E-1,1.881809413E0,1.286674542E0,-2.785613537E-1,2.296591926E0
2.464690833E-1,2.312411676E0,-9.168755740E-1,1.842685694E-1,2.494366349E0
2.564390833E-1,1.485650905E0,2.738672090E-1,1.610790968E-1,1.519245976E0
2.664090833E-1,1.285101348E0,2.701996014E0,-1.510508296E0,3.351701545E0
2.763790833E-1,1.166657225E0,1.892400768E0,-7.514046335E-1,2.346673959E0
2.863490834E-1,1.721518814E0,-1.375386159E0,5.493973660E-1,2.270936278E0
2.963190833E-1,1.089787462E0,-1.155943956E0,8.059252417E-1,1.781392331E0
3.062890833E-1,1.073178007E0,4.470436102E-1,-4.630550408E-1,1.251390824E0
3.162590833E-1,3.044897351E-2,5.941443533E-1,7.136877537E-2,5.991895815E-1
3.262290834E-1,1.391774296E0,-3.306527361E-1,6.103592670E-1,1.555283048E0
3.361990833E-1,-9.600861322E-2,3.691455415E-1,-6.076584381E-1,7.174502505E-1
3.461690833E-1,-1.703907877E-1,-3.103129041E-1,1.354228594E0,1.399736476E0
3.561390833E-1,-8.529033802E-2,-5.104192418E-1,1.886775454E0,1.956456965E0
3.661090833E-1,-2.445968514E-1,2.874748492E-1,8.284007692E-1,9.103390814E-1
3.760790833E-1,-1.114684248E0,-1.030864120E-3,2.263199902E-1,1.137428140E0
3.860490833E-1,-2.505939750E0,-1.956677455E0,-3.460165876E-1,3.198131982E0
3.960200833E-1,-1.893073782E0,-2.484291604E0,-7.986092055E-1,3.223850149E0
4.059900834E-1,-2.373005641E0,-9.200722468E-1,-5.996091610E-1,2.614807805E0
4.159600833E-1,-3.640620599E0,1.385433429E-1,9.823912865E-1,3.773381142E0
4.259300833E-1,-2.286441707E0,-5.391507053E-1,9.732649523E-1,2.542782694E0
4.359000833E-1,-1.480632678E0,-6.491608053E-1,-8.161420816E-1,1.811013743E0
4.458700833E-1,-6.421884392E-1,-1.125092000E-2,-7.657689035E-1,9.994671522E-1
4.558400833E-1,-1.230946776E0,-1.558692276E-2,-5.242058069E-1,1.338007715E0
4.658100833E-1,4.051780212E-1,6.431735489E-1,-6.993889725E-1,1.032950327E0
4.757800833E-1,5.425933997E-1,4.616452771E-1,-2.080173281E0,2.198782581E0
4.857500833E-1,-1.439563736E0,3.285889614E-1,-2.448370112E0,2.859166078E0
4.957200833E-1,-1.323675722E0,-4.484372941E-1,-6.776121873E-1,1.553181155E0
5.056900833E-1,-5.766385205E-1,-3.282647333E-1,-5.475338584E-1,8.602691698E-1
5.156610833E-1,-1.902620019E-2,-1.176287296E-1,-5.641773731E-1,5.766234669E-1
5.256310834E-1,-9.483727705E-1,4.890748581E-1,1.372125751E0,1.738198552E0
5.356010833E-1,-9.335358994E-1,3.600083899E-1,1.577400443E0,1.867963456E0
5.455710833E-1,-1.643984515E-1,1.713757512E-1,4.649764359E-2,2.419886977E-1
5.555410833E-1,-1.613729632E0,1.048973531E0,-1.502797573E0,2.441898716E0
5.655110833E-1,-2.019166064E0,5.891672033E-1,-4.614482260E-1,2.153388969E0
5.754810833E-1,-1.419488783E0,-2.322294787E-1,-1.061608779E-1,1.442272189E0
5.854510833E-1,-8.871389010E-1,-1.926181009E-1,-3.407763129E-1,9.696626516E-1
5.954210833E-1,-1.637778207E0,-1.498261303E-1,8.917343009E-1,1.870816770E0
6.053910833E-1,-2.502813829E0,-1.247789388E0,1.001048582E0,2.970379384E0
6.153610834E-1,-1.798241592E0,-1.089930938E0,-2.319941282E-2,2.102893360E0
6.253310833E-1,-2.305875513E0,2.896409503E-1,-7.627722055E-1,2.445971218E0
6.353010833E-1,-3.256714346E0,-1.005318219E0,1.752522213E0,3.832517079E0
6.452720833E-1,-1.256626578E0,-1.849596810E0,1.527012062E0,2.707745290E0
6.552420833E-1,-1.702357780E0,-1.643471349E0,-7.641667664E-2,2.367458467E0
6.652120833E-1,-5.407345699E-1,-8.866782135E-1,1.629868094E0,1.932630884E0
6.751820833E-1,-2.485003502E0,-1.547238750E0,2.263035595E0,3.700070305E0
6.851520833E-1,-1.385702109E0,-1.318807915E0,5.790725702E-1,1.998686993E0
6.951220833E-1,-6.727299815E-1,-1.807424060E0,-4.788466161E-1,1.987118879E0
7.050920833E-1,-1.826167894E0,-1.095377619E0,9.059915668E-1,2.314208725E0
7.150620833E-1,-1.350171503E0,-1.098724273E0,8.107094336E-1,1.920262457E0
7.250320833E-1,-1.323150643E0,-7.440277863E-1,-3.741340935E-2,1.518454719E0
7.350020834E-1,-1.675612031E0,2.273324355E-1,-3.474643582E-1,1.726292906E0
7.449720833E-1,-2.211479525E0,-9.297935352E-1,5.059332579E-1,2.451759811E0
7.549430833E-1,-1.288968405E0,-1.050983512E0,7.941115272E-1,1.842991863E0
7.649130833E-1,-1.101476411E0,4.085999215E-1,3.130774677E-1,1.215821402E0
7.748830833E-1,-1.486665982E0,1.515918432E0,-1.203300263E0,2.440515511E0
7.848530833E-1,-1.443933653E0,2.477172911E-3,-1.985053700E-1,1.457516693E0
7.948230833E-1,-1.092928732E0,-5.427914742E-1,-9.879514039E-2,1.224286028E0
8.047930833E-1,-1.186061794E0,1.360413194E-2,8.490823710E-1,1.458721538E0
8.147630834E-1,-3.166394453E-1,2.148614355E0,-2.058787090E-1,2.181556836E0
8.247330833E-1,-4.272583866E-1,9.185168874E-1,7.119341737E-1,1.238173360E0
8.347030833E-1,-9.479919706E-1,-4.977667442E-1,1.229774117E0,1.630584216E0
8.446730833E-1,-1.097137924E-1,-9.365368366E-2,2.195512533E-1,2.626992226E-1
8.546430834E-1,3.166001227E-1,3.094549714E0,-2.862913143E0,4.227616969E0
8.646130833E-1,1.479575794E0,1.781970545E0,-8.330802959E-1,2.461419577E0
8.745840833E-1,9.973059987E-1,-1.414139458E0,6.840622509E-1,1.860739322E0
8.845540833E-1,3.854725756E-1,-2.463698003E-1,-9.368408918E-2,4.669731187E-1
8.945240834E-1,6.986509077E-1,7.236669043E-1,-5.953371853E-1,1.168859805E0
9.044940833E-1,1.176968862E0,-1.157748699E-1,1.149911091E0,1.649531764E0
9.144640833E-1,7.181928872E-1,-1.444961593E0,1.461306900E0,2.176954957E0
9.244340833E-1,8.939433058E-1,1.361126554E-1,2.873438716E-1,9.488033461E-1
9.344040834E-1,1.469751010E0,-3.632348835E-2,2.380056506E-1,1.489340162E0
9.443740833E-1,1.718179469E0,-7.476206079E-1,6.276424670E-1,1.976110404E0
