"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.010295830E-2,1.910629170E0,-1.465168401E0,2.090474321E0,3.188621199E0
2.007295832E-2,1.721170612E0,-2.347524060E0,3.272552699E0,4.379828611E0
3.004295833E-2,1.609761273E0,-2.337801602E0,2.821006733E0,4.001840411E0
4.001295834E-2,7.176684650E-1,-2.809516662E0,3.328350340E0,4.414334365E0
4.998295836E-2,-6.078244259E-1,-3.440247628E0,2.880311533E0,4.527797346E0
5.995295831E-2,-4.884330531E-1,-3.585570526E0,1.837305670E0,4.058395615E0
6.992295833E-2,-1.335361968E0,-3.577629714E0,1.341144279E0,4.047381121E0
7.989295834E-2,-2.009607474E0,-3.303970666E0,1.655497025E0,4.206591823E0
8.986195835E-2,-1.408140653E0,-2.834658812E0,1.767451909E0,3.625194744E0
9.983195830E-2,-4.321024393E-1,-2.710439978E0,2.256960922E-1,2.753931030E0
1.098019583E-1,-1.285882390E0,-3.099448804E0,-5.992407864E-1,3.408689767E0
1.197719583E-1,-1.508594356E0,-2.383037125E0,-6.854942340E-1,2.902520493E0
1.297419583E-1,-7.561660212E-1,-1.016898630E0,1.075171396E0,1.661885497E0
1.397119584E-1,-8.520091948E-1,-2.090242771E0,2.909852251E0,3.682699368E0
1.496819583E-1,2.448506936E-1,-2.674369967E0,3.438578541E0,4.363029791E0
1.596519583E-1,3.894082999E-1,-2.353007579E0,3.052898535E0,3.874077046E0
1.696219583E-1,-2.371564157E-1,-1.780175450E0,1.381721032E0,2.265926038E0
1.795919584E-1,4.654165485E-1,-1.922744308E0,9.116031396E-1,2.178205345E0
1.895619583E-1,1.055119686E0,-2.141099806E0,-9.892956787E-1,2.583852138E0
1.995319583E-1,1.528991052E0,-1.498844270E0,-1.462105629E0,2.592701420E0
2.095019583E-1,8.692887403E-1,-6.845639420E-1,-5.475361973E-1,1.234539020E0
2.194719583E-1,1.318797975E0,1.234940717E0,-1.310697243E0,2.232091829E0
2.294419583E-1,1.440148896E0,1.393233908E0,-1.768807293E0,2.672790453E0
2.394119583E-1,1.024731998E0,4.742264387E-1,-2.995568340E0,3.201311616E0
2.493809583E-1,9.218855415E-1,1.633834845E-1,-1.783276813E0,2.014111046E0
2.593509583E-1,8.883288094E-1,4.931740487E-1,1.188230819E0,1.563406919E0
2.693209584E-1,9.707277723E-1,1.829125416E0,-1.705281973E-2,2.070821816E0
2.792909583E-1,2.615698201E-1,2.727569981E0,-1.784200673E0,3.269775040E0
2.892609583E-1,6.226242404E-1,2.067176090E0,-5.109489995E-1,2.218546103E0
2.992309583E-1,3.987919481E-1,1.801569242E0,2.724884355E-1,1.865190795E0
3.092009583E-1,1.004924117E0,1.700874342E0,-2.683762642E0,3.332480746E0
3.191709583E-1,8.438431927E-1,6.949281317E-1,-3.390116817E0,3.562006243E0
3.291409583E-1,8.410002764E-1,1.410609494E0,-3.753565709E0,4.097115588E0
3.391109583E-1,9.500784034E-1,3.096579575E0,-3.471980175E0,4.748273410E0
3.490809583E-1,5.013226919E-1,3.609987621E0,-2.344846913E0,4.333779195E0
3.590509583E-1,9.384322116E-1,2.479579333E0,-1.658048165E-1,2.656399804E0
3.690209583E-1,4.209492409E-1,9.372385025E-1,5.948723316E-1,1.187218331E0
