"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.274333377E-3,1.110467163E0,1.913728194E0,-1.365237731E0,2.599878264E0
1.824433333E-2,1.013959454E0,1.698650353E0,-1.730978732E0,2.628652538E0
2.821533335E-2,7.579830435E-1,2.107078951E0,-4.630866158E-1,2.286650217E0
3.818533337E-2,-3.563725182E-1,2.693991468E0,-5.163494879E-1,2.766081741E0
4.815533338E-2,-4.235998021E-2,3.247924227E0,-3.105585456E0,4.493936713E0
5.812633334E-2,4.394283975E-2,2.345650320E0,-6.760322696E-1,2.441521253E0
6.809633336E-2,-5.300492949E-1,1.773028398E0,9.722001743E-1,2.090395928E0
7.806633337E-2,-5.422693178E-1,2.685006344E0,-5.067974764E-1,2.785706152E0
8.803733333E-2,-1.250067025E0,3.098903843E0,-2.492645813E0,4.168831461E0
9.800733335E-2,-6.647525521E-1,1.490193899E0,-8.467148334E-1,1.838341596E0
1.079773334E-1,-1.348878099E0,5.977085236E-1,-9.181473434E-1,1.737734775E0
1.179483334E-1,-9.055983415E-1,1.270159081E0,-1.246011835E0,1.996486399E0
1.279183333E-1,-1.384602394E0,2.301346552E0,-8.641015291E-1,2.821345635E0
1.378893334E-1,-2.034886596E0,1.908823842E0,-7.758448255E-1,2.895912138E0
1.478593334E-1,-1.968280377E0,6.818312457E-1,-1.119634793E0,2.364868614E0
1.578293334E-1,-2.023109865E0,-7.641550720E-2,-5.087960547E-1,2.087507193E0
1.678003334E-1,-1.909183154E0,3.108464625E-1,6.806919158E-2,1.935520409E0
1.777703334E-1,-2.206184725E0,4.680807227E-1,-5.588862276E-1,2.323511226E0
1.877403334E-1,-1.824455391E0,-7.428668216E-1,-3.887842923E-1,2.007894871E0
1.977113333E-1,-1.528220682E0,-1.306909416E0,2.996826661E-1,2.033047066E0
2.076813334E-1,-9.572389036E-1,-6.992153102E-1,1.091575760E0,1.611442214E0
2.176513334E-1,-3.423561575E-1,-5.332143196E-1,1.244024366E0,1.396109549E0
2.276223333E-1,1.104088801E-1,-1.882694682E0,1.692780626E0,2.534213020E0
2.375923333E-1,8.818424930E-1,-1.684468809E0,8.778354692E-1,2.094200674E0
2.475623334E-1,5.609652051E-1,-8.256569633E-1,4.297259116E-1,1.086763885E0
2.575333334E-1,4.792282201E-1,-1.028160367E0,1.691808234E0,2.036906607E0
2.675033333E-1,9.103828988E-1,-1.633056288E0,1.476669874E0,2.382482692E0
2.774743334E-1,4.897480188E-1,-1.021255682E0,-3.047580492E-1,1.172899723E0
2.874443334E-1,1.373447734E-1,-6.482389918E-1,8.135090804E-1,1.049225620E0
2.974143334E-1,-7.857050766E-2,-9.309857824E-1,1.413722844E0,1.694556027E0
3.073853333E-1,-2.132023283E-1,-1.218531091E0,8.458956385E-1,1.498603578E0
3.173553334E-1,2.275492576E-1,-1.198865735E0,6.025210744E-1,1.360914898E0
3.273253334E-1,-2.629325685E-2,-1.184227231E0,7.214130950E-1,1.386911072E0
3.372963333E-1,7.556767920E-3,-1.250323864E0,1.293860185E0,1.799289040E0
3.472663334E-1,-8.581714292E-1,-1.065123248E0,8.063924342E-1,1.587833270E0
3.572363334E-1,2.282275894E-1,-1.143556337E0,-7.963206053E-2,1.168824279E0
3.672073334E-1,4.722367774E-1,-1.741961849E0,7.182760638E-1,1.942513619E0
3.771773333E-1,-4.585987316E-1,-1.338249615E0,1.158625782E0,1.828561875E0
3.871473334E-1,-1.136331079E-1,-1.050338271E-1,5.223399603E-1,5.447785075E-1
3.971183334E-1,1.698993658E-1,7.812523305E-2,6.083677053E-2,1.966480592E-1
4.070883333E-1,-6.807398629E-1,-1.810478645E0,-1.522597414E-1,1.940212028E0
4.170593334E-1,-1.209564751E0,-2.388072162E0,-6.751733136E-1,2.760759776E0
4.270293334E-1,-1.138535479E0,-8.518483964E-1,-4.260164380E-1,1.484384968E0
4.369993334E-1,-1.187237670E0,-7.339191198E-2,3.474321985E-1,1.239204902E0
4.469703333E-1,-1.407581367E0,-7.209684142E-1,1.358187159E0,2.084647000E0
4.569403334E-1,-1.259002301E0,-1.346167622E0,1.009921147E0,2.101712346E0
4.669103334E-1,-9.564743802E-1,-1.098262343E0,3.029962832E-1,1.487558457E0
4.768813333E-1,-4.187864289E-1,5.741673410E-2,-4.842184532E-1,6.427645485E-1
4.868513333E-1,-1.269457415E0,4.296955061E-1,-8.315185046E-1,1.577207463E0
4.968213334E-1,-1.531694512E0,2.759327379E-1,-9.161972970E-1,1.806002337E0
5.067923334E-1,-1.125780656E0,1.514779687E-2,-9.402878255E-1,1.466885386E0
5.167623333E-1,-1.435256385E0,7.001953036E-2,-3.966137141E-1,1.490693148E0
5.267323334E-1,-1.315400597E0,1.096142435E-1,7.084211665E-1,1.498050253E0
5.367033334E-1,-1.101840839E0,5.555378196E-1,4.187740767E-1,1.303091413E0
5.466733334E-1,-8.806469567E-1,1.392504467E0,-7.782527089E-2,1.649443702E0
5.566443334E-1,-9.432121642E-1,1.650364046E0,-1.198190966E0,2.247000726E0
5.666143334E-1,-1.238043834E0,2.191273302E0,-1.640342796E0,3.004189692E0
5.765843334E-1,-1.314170489E0,2.300770309E0,-1.189603745E0,2.904435428E0
5.865553333E-1,-1.200958380E0,1.767651299E0,-5.552059901E-1,2.207973242E0
5.965253334E-1,-1.809390624E0,1.483709337E0,-2.331811130E-1,2.351523179E0
6.064953334E-1,-1.811369176E0,1.708158511E0,-7.224270022E-1,2.592443743E0
6.164663333E-1,-1.847648079E0,1.307422217E0,-6.458951354E-2,2.264360414E0
6.264363333E-1,-2.047891973E0,8.489651343E-1,-8.672648728E-2,2.218586220E0
6.364063334E-1,-2.024351813E0,1.423418404E0,-1.497721020E0,2.892626570E0
6.463773334E-1,-2.094933407E0,2.053769594E0,-1.060230591E0,3.119423734E0
6.563473333E-1,-1.956099165E0,2.449072362E0,-5.928316534E-1,3.189941810E0
