"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.016570837E-2,-3.865130145E-1,2.204631266E-1,1.618774756E0,1.678817444E0
2.013570833E-2,-8.794327824E-1,5.781121650E-1,2.625902689E-1,1.084697812E0
3.010570834E-2,-1.675568908E0,1.206350756E-1,-1.243340827E0,2.089971387E0
4.007570836E-2,8.164882368E-1,4.110303167E-1,-2.993635835E0,3.130088573E0
5.004570837E-2,-3.517218621E-1,-2.787839572E0,-3.151586087E0,4.222351550E0
6.001570832E-2,-8.367334901E-1,-5.662313245E0,2.484195417E-1,5.729190736E0
6.998570834E-2,2.737162046E-2,-5.517190615E0,3.982581266E0,6.804490798E0
7.995570835E-2,-1.796988388E0,-1.454082080E0,5.553466741E0,6.015356581E0
8.992670837E-2,-1.587524604E0,6.649465334E-1,8.549949585E0,8.721469267E0
9.989670833E-2,-1.164506546E0,-5.646626920E-2,5.304146143E0,5.430767003E0
1.098667083E-1,-8.925267448E-1,-3.477602273E-1,3.292258401E0,3.428776246E0
1.198367084E-1,-9.783905485E-1,5.239154926E-1,7.428916723E-1,1.335523697E0
1.298067084E-1,-1.239600801E0,9.296184111E-1,-3.350274475E0,3.691224674E0
1.397767083E-1,-5.112542973E-1,7.109360540E-1,-4.227018269E0,4.316768985E0
1.497467083E-1,1.158735124E0,1.609431490E0,-6.146631685E0,6.458639012E0
1.597167084E-1,1.732086194E0,-5.363074967E-1,-5.383341417E0,5.680502894E0
1.696867084E-1,2.530930458E0,-1.813171872E0,-3.672074819E-1,3.134970902E0
1.796567084E-1,2.246486513E0,-5.214137614E-1,3.030175670E0,3.807957268E0
1.896267083E-1,1.468767655E0,2.418888743E0,3.535700208E0,4.528739022E0
1.995967083E-1,2.596704325E0,3.436640773E0,-1.481643516E0,4.555067581E0
2.095677084E-1,5.210943938E-1,-1.134760956E0,-2.529865095E0,2.821247808E0
2.195377083E-1,1.217739305E-1,-4.239271986E0,-2.155874258E-1,4.246496650E0
2.295077083E-1,1.178981913E0,-4.696132779E-2,-6.609768587E-1,1.352440063E0
2.394777084E-1,9.039069613E-1,1.576831217E0,-1.283492487E0,2.225038751E0
2.494477084E-1,9.526358293E-1,3.097388830E0,-3.760521557E0,4.964157024E0
2.594177084E-1,1.013881613E0,-4.531937116E-1,-4.354703332E0,4.494082952E0
2.693877083E-1,-1.953544517E-1,-4.845417457E0,-9.036901027E-1,4.932837875E0
2.793577084E-1,-9.452098654E-1,-3.058502507E0,2.725814062E-1,3.212811836E0
2.893277084E-1,-5.312086516E-1,1.184359378E-1,1.945941675E0,2.020618396E0
2.992977084E-1,-8.452908171E-1,6.183296067E-1,4.649004221E-1,1.145853599E0
3.092677083E-1,-1.054213367E0,1.392937454E0,-1.282923553E0,2.167379389E0
3.192387084E-1,-1.337593119E0,2.848335450E0,3.362388736E-1,3.164684307E0
3.292087084E-1,-2.764316150E-1,5.584517210E0,-3.120243841E-1,5.600054118E0
3.391787083E-1,1.185415896E-1,4.645266973E0,-1.226002663E0,4.805792327E0
3.491487083E-1,-1.064909240E0,-4.127436385E0,3.073264972E0,5.254971017E0
3.591187084E-1,4.788229715E-1,-5.411099904E0,3.403030978E0,6.410139892E0
3.690887084E-1,8.699932567E-1,-3.063525265E0,3.858876402E0,5.003299151E0
3.790587084E-1,1.661487643E0,1.623375638E0,8.670666522E-1,2.479454422E0
3.890287083E-1,5.695353229E-1,2.471773008E0,3.621136799E0,4.421160934E0
3.989987083E-1,1.107025711E0,4.984885830E-1,3.046589389E0,3.279588953E0
4.089687084E-1,8.036821036E-1,1.502463404E0,-3.974685770E-1,1.749652101E0
4.189387084E-1,-8.907608856E-1,2.885010648E0,-1.007826090E0,3.183151712E0
4.289087083E-1,-2.393394298E0,3.762104690E0,-1.650078410E0,4.754421808E0
4.388797084E-1,-9.474597278E-1,1.479846082E0,-3.052951160E0,3.522518296E0
4.488497084E-1,-2.552667774E0,-2.770186243E0,-1.883945986E0,4.211804490E0
4.588197084E-1,-1.310857310E0,-2.363763532E0,2.253524514E0,3.519104667E0
4.687897083E-1,-1.235343297E0,2.362300559E0,5.076844990E-1,2.713720793E0
4.787597083E-1,-2.221611215E-1,2.243143660E0,-2.746081681E0,3.552747337E0
4.887297084E-1,-1.345657306E0,-1.715485657E0,7.752986956E-1,2.314038179E0
4.986997084E-1,-1.348112114E0,-2.589590310E0,-5.798094363E0,6.491631728E0
5.086697083E-1,4.886863837E-1,-2.838187022E0,-5.726175950E0,6.409618628E0
5.186397083E-1,-5.935791833E-1,-2.089195535E0,-1.208654559E0,2.485542209E0
5.286097084E-1,-1.059641045E0,1.966594040E-2,4.118395128E0,4.252576199E0
5.385797084E-1,-2.676221634E-1,-2.493018866E-1,6.248549824E0,6.259244999E0
5.485497083E-1,-1.824841745E0,2.237342929E0,6.490516963E0,7.103700530E0
5.585207083E-1,4.794968996E-2,4.885318857E0,5.870813261E0,7.637741017E0
5.684907084E-1,-9.680894355E-1,2.637901175E-1,3.465047132E0,3.607399896E0
5.784607084E-1,-1.446289350E0,-5.092176390E-1,-6.606553203E0,6.782153103E0
5.884307083E-1,1.404731141E0,6.182375130E-1,-6.721281422E0,6.894281047E0
5.984007083E-1,1.696283108E0,1.503251901E0,-5.296141305E0,5.760751286E0
6.083707084E-1,-3.359437719E-1,-1.398925003E0,1.568223238E-2,1.438782580E0
6.183407084E-1,2.077582599E-1,-1.734922678E0,1.928772495E0,2.602553272E0
6.283107083E-1,9.694584149E-1,-7.517420179E-1,2.769785709E0,3.029303311E0
6.382807083E-1,4.726788269E-1,-2.041789818E0,5.101444227E-1,2.156983604E0
6.482507084E-1,6.180406080E-1,-2.910746875E-1,1.110130144E0,1.303490546E0
6.582207084E-1,-1.208362490E0,-8.310872725E-1,2.509454804E0,2.906580358E0
6.681917083E-1,1.533637104E0,-2.887606812E0,1.260646831E0,3.504218358E0
6.781617083E-1,1.810530978E0,-1.120835811E0,-1.332619039E0,2.512004944E0
6.881317084E-1,2.621015878E0,2.578496972E0,-5.093058735E0,6.281529921E0
6.981017084E-1,2.362763951E0,1.089523679E0,-2.707119929E0,3.754758800E0
7.080717083E-1,5.263244358E-1,-1.101860135E0,3.131350043E0,3.361021609E0
7.180417083E-1,6.526226494E-1,1.226093879E-1,1.320598918E0,1.478151171E0
7.280117084E-1,-1.130894046E0,1.307319306E0,1.611340606E-1,1.736078713E0
7.379817084E-1,-9.996755829E-1,3.420843936E0,-2.098135927E0,4.135661842E0
7.479517083E-1,-1.466789542E0,1.533063930E0,-2.324888027E0,3.147516626E0
7.579217083E-1,2.798430268E-1,1.678442376E0,-3.136407884E0,3.568267836E0
7.678917084E-1,1.277797445E0,1.962009823E0,-4.539626205E-1,2.385022205E0
7.778627084E-1,1.137263418E0,3.445606602E0,2.142291176E0,4.213666387E0
7.878327083E-1,2.363191675E0,4.430265146E0,-1.777438368E0,5.326463302E0
7.978010834E-1,1.193969861E0,-1.150168369E0,1.949017895E0,2.558734465E0
8.077710834E-1,2.421775659E0,-6.339288670E0,8.201415771E-1,6.835510983E0
8.177410833E-1,2.192587610E0,-6.235985327E-1,-2.927177551E0,3.710078702E0
8.277110833E-1,1.084319000E0,-1.253292495E0,2.357299728E0,2.881553709E0
8.376810834E-1,-8.164997850E-1,-4.032500700E0,3.011392075E0,5.098648450E0
8.476510834E-1,-8.691008254E-1,1.008003553E0,-7.338594782E-1,1.519854316E0
8.576210833E-1,-3.542792881E-1,1.031074912E0,1.599143314E-1,1.101908291E0
8.675910833E-1,-3.214645676E-1,-1.098192469E0,-9.516589057E-1,1.488294608E0
8.775610834E-1,1.940643915E-1,-4.078856841E-1,-1.227127667E0,1.307621517E0
8.875310834E-1,4.913091523E-1,-4.824207267E-1,2.049792318E0,2.162351263E0
8.975020833E-1,-2.074213506E-1,-1.812537450E0,1.666683333E0,2.471062313E0
9.074720833E-1,-1.188556874E0,-1.045392112E0,2.984879630E0,3.378611921E0
9.174420834E-1,-9.972828291E-1,-6.180784687E-1,2.525327656E0,2.784577850E0
9.274120834E-1,-1.427261633E0,-2.455259593E0,-1.469407048E0,3.197582292E0
9.373820833E-1,-2.755324375E0,-9.964976943E-1,2.626586813E-1,2.941735822E0
9.473520833E-1,-1.216127520E0,3.339654469E0,-3.152249161E0,4.750677098E0
9.573220834E-1,-2.948238345E0,3.571432250E0,-2.059307492E0,5.068331580E0
9.672920834E-1,-2.725459429E0,-9.286430955E-2,-1.326461336E0,3.032532366E0
9.772620833E-1,-1.757609144E0,-2.015615050E0,-1.846834878E0,3.250029692E0
9.872320833E-1,-1.190813315E0,-7.416929930E-1,1.000984263E0,1.723401967E0
9.972030834E-1,-5.151108284E-2,1.607633471E0,1.764550520E0,2.387630061E0
1.007173083E0,-8.416224202E-1,1.600175933E0,1.631838605E0,2.435526339E0
1.017143083E0,-1.023844026E0,9.091367841E-2,-7.473969519E-1,1.270875324E0
1.027113083E0,-4.179419448E-1,-1.422597163E0,-5.477975678E-1,1.580677175E0
1.037083083E0,7.640012902E-1,-9.094297296E-1,9.766516596E-1,1.537728477E0
1.047053083E0,1.203263937E0,-9.618605429E-1,2.026118696E-2,1.540594146E0
1.057023083E0,-6.590237425E-1,-6.741254926E-2,-1.794931483E0,1.913278802E0
1.066993083E0,-1.805220536E0,-2.121635887E-1,-1.004894881E0,2.076932424E0
1.076963083E0,-1.375195247E0,3.090925902E-2,-3.488687425E0,3.750074306E0
1.086933083E0,-1.262034521E0,7.306780082E-1,-1.665194632E0,2.213480211E0
1.096903083E0,-1.603048231E0,-1.666654974E0,2.198794575E0,3.190955972E0
1.106874083E0,-1.541256756E0,-1.372685915E0,3.706352951E0,4.242262510E0
1.116844083E0,4.593733780E-1,4.582298892E0,-5.582330936E-1,4.638977390E0
1.126814083E0,9.603453100E-1,2.801820849E0,3.687493926E0,4.729701327E0
1.136784083E0,9.945955950E-1,3.352720365E-1,5.402745987E0,5.503752532E0
1.146754083E0,1.073139196E0,4.612497715E0,-3.853337919E0,6.105323580E0
1.156724083E0,-1.198459938E-3,3.182858166E0,-3.615181410E0,4.816650721E0
1.166694083E0,-2.242866794E0,-1.430777710E0,-2.117083245E0,3.399943790E0
1.176664083E0,-1.080493239E0,-2.109309956E0,-3.965925472E0,4.620088633E0
1.186634083E0,-2.775424215E-1,1.009919393E0,-5.316389628E0,5.418575980E0
1.196604083E0,8.011328638E-1,-1.494672866E0,-4.228501707E-1,1.747759454E0
1.206574083E0,6.303646383E-1,-5.385627678E-1,1.284760748E0,1.529058407E0
1.216545083E0,-5.881496051E-1,-4.031807220E-1,3.295226448E0,3.371496996E0
1.226515083E0,-6.758064209E-1,-3.577809516E0,6.981957897E0,7.874336247E0
1.236485083E0,-7.547209550E-1,2.103301942E0,-1.452979295E0,2.665451484E0
1.246455083E0,-1.666070545E-1,5.761711818E-1,1.035602703E0,1.196747300E0
1.256425083E0,-9.900600560E-1,-8.292486155E-1,-6.082875985E-1,1.427545440E0
1.266395083E0,-1.767363908E0,-2.381700159E0,-3.706779213E0,4.747239510E0
1.276365083E0,-1.233491192E0,-1.720863633E0,2.416671771E-1,2.131026792E0
1.286335083E0,-5.686127419E-1,-6.855313638E-1,1.335620999E0,1.605352657E0
1.296305083E0,-1.151135133E-1,5.399903655E-3,1.878311024E0,1.881842869E0
1.306275083E0,-1.090165265E0,-1.167652421E0,2.953487683E0,3.357821016E0
1.316245083E0,-5.945420005E-1,-7.965366599E-1,8.358279026E-1,1.298675912E0
1.326216083E0,4.886155228E-1,2.069657063E0,-1.671788537E0,2.705014307E0
1.336186083E0,4.337549356E-1,2.890974808E0,-2.042755194E0,3.566332495E0
1.346156083E0,-2.830545735E-1,9.205555192E-1,-1.781600416E0,2.025251194E0
1.356126083E0,-7.648111296E-1,-2.678257488E0,-7.665699720E-2,2.786373186E0
1.366096083E0,-1.354450496E0,-2.510683304E-1,3.596657431E-1,1.423703234E0
1.376066083E0,-1.357529639E0,-1.443346007E0,2.485015197E0,3.178275467E0
1.386036083E0,-9.623664732E-1,-7.519905245E-1,3.533922654E-1,1.271426392E0
1.396006083E0,1.216134755E0,-1.423927112E0,-5.300816739E-1,1.946160000E0
1.405976083E0,6.793118998E-1,-6.993293309E-1,1.418197718E0,1.720991266E0
1.415946083E0,-8.770286997E-1,2.041120020E0,-1.219034536E0,2.534047252E0
1.425917083E0,-6.785762469E-1,2.212582310E0,-7.240542823E-1,2.424920783E0
1.435887083E0,2.656940440E-1,1.992727878E0,-3.435416366E0,3.980407433E0
1.445857083E0,1.282540122E0,3.962237048E-1,-2.214711281E0,2.589758376E0
1.455827083E0,1.719962285E0,7.591147721E-2,4.053231418E-1,1.768705646E0
1.465797083E0,1.121696083E0,-1.021564415E0,1.821949128E0,2.370926946E0
1.475767083E0,2.372042605E0,1.763756761E0,4.393217772E-1,2.988382113E0
1.485737083E0,2.658055943E0,8.805602717E-1,2.062498317E0,3.477721538E0
1.495707083E0,8.658450957E-2,9.570120317E-1,2.403198032E0,2.588190427E0
1.505677083E0,-8.404126313E-2,3.673132580E0,-2.651278435E0,4.530810438E0
1.515647083E0,2.943464971E0,4.720375920E0,-4.309013774E0,7.036585433E0
1.525617083E0,4.911158653E-1,3.520582524E0,-6.777084324E0,7.652749051E0
1.535588083E0,7.804790363E-1,-1.077059754E0,-3.338076013E-1,1.371361643E0
1.545558083E0,8.193327610E-1,-1.643506724E0,3.583176091E0,4.026359574E0
1.555528083E0,2.927869350E-1,8.127085966E-1,4.189522998E0,4.277653844E0
1.565498083E0,2.337315407E0,1.347268653E0,-5.986174732E-1,2.763425232E0
1.575468083E0,1.989653705E0,-1.187455478E-1,1.986357629E-2,1.993292987E0
1.585438083E0,9.208739001E-1,-1.435426831E0,-5.231480455E-1,1.783856161E0
1.595408083E0,4.455715371E-1,-1.147930639E0,8.754603302E-1,1.510863838E0
1.605378083E0,1.781932684E0,-1.660559544E0,1.816240491E0,3.038333690E0
1.615348083E0,1.090792087E0,-3.126814650E0,1.068281622E0,3.479658439E0
1.625318083E0,-6.090132380E-1,-1.891117304E0,1.305301432E0,2.377190276E0
1.635289083E0,8.979796388E-1,-1.667774131E0,9.248833358E-1,2.107901129E0
1.645259083E0,3.985695712E-1,-6.665872622E-1,1.567427432E0,1.749292724E0
1.655229083E0,2.052384096E0,-2.454912269E0,5.462655973E-1,3.246117809E0
1.665199083E0,4.459356725E-1,-1.951392449E0,1.750247061E0,2.658976474E0
1.675169083E0,1.098917816E0,1.778134479E0,-1.470705130E0,2.555847447E0
1.685139083E0,5.443421192E-1,-2.430278242E-2,-2.273859960E0,2.338233968E0
1.695109083E0,-1.937633512E0,-2.013833696E0,1.927370918E0,3.394806097E0
1.705079083E0,-4.248583239E-2,5.757481357E-1,-1.623344940E0,1.722945082E0
1.715049083E0,-7.015791933E-1,4.447740135E-1,-2.832987678E-1,8.776647876E-1
1.725019083E0,-3.113728289E0,-1.467378941E0,-2.234607017E-1,3.449411471E0
1.734990083E0,-8.746269558E-1,-7.087158662E-1,1.297708238E0,1.717933980E0
1.744960083E0,-9.396389307E-1,7.657308966E-2,2.366508508E-1,9.720022548E-1
1.754930083E0,1.450220579E0,1.958409693E0,-1.213285553E0,2.722236229E0
1.764900083E0,-6.793632822E-1,-8.551953426E-1,6.716667384E-1,1.282197235E0
1.774870083E0,-3.286097921E-1,2.822421759E-1,-3.033430815E0,3.064204228E0
1.784840083E0,2.073230809E-1,1.732220972E0,-3.164276884E0,3.613339252E0
1.794810083E0,-1.288100824E0,-2.167058520E0,5.830966240E-1,2.587537060E0
1.804780750E0,-1.567034353E0,1.730995104E-1,-2.415857254E0,2.884774926E0
1.814750750E0,6.985913392E-2,-1.256761648E0,-1.231878530E0,1.761208350E0
1.824720750E0,-6.161759309E-3,2.498123485E-1,3.028919104E0,3.039209620E0
1.834691750E0,7.214237662E-1,2.402783757E0,6.513271987E-1,2.591919974E0
1.844661750E0,1.699792899E-1,-1.586419481E0,2.492673880E-1,1.614854160E0
1.854631750E0,1.380712680E0,-2.145779333E0,3.383072677E0,4.237442293E0
1.864601750E0,2.457351946E-1,1.208958614E0,9.334448290E-1,1.547024875E0
1.874571750E0,-6.591020952E-1,3.336967089E0,-2.653250116E-1,3.411768205E0
