"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.346583478E-3,-2.492317200E-1,6.799460449E0,7.156617737E0
1.130258339E-2,-2.540217590E-1,6.829547882E0,7.167545013E0
2.125858376E-2,-2.161505127E-1,6.808441772E0,7.129224701E0
3.121358342E-2,-1.498384094E-1,6.774612122E0,7.099736023E0
4.116958333E-2,-1.703457642E-1,6.756948853E0,7.096143494E0
5.112458346E-2,-1.706451416E-1,6.747219086E0,7.104675751E0
6.108058337E-2,-1.580712891E-1,6.736291809E0,7.143145752E0
7.103558350E-2,-1.802252197E-1,6.739584961E0,7.154671783E0
8.099158341E-2,-1.913021851E-1,6.772815857E0,7.128176880E0
9.094658354E-2,-1.716929626E-1,6.779402161E0,7.097640381E0
1.009025835E-1,-2.116598511E-1,6.735243988E0,7.075187073E0
1.108575836E-1,-2.523751831E-1,6.737788696E0,7.090754700E0
1.208135835E-1,-2.284249878E-1,6.759044495E0,7.103478241E0
1.307695834E-1,-1.898052979E-1,6.775959320E0,7.142546997E0
1.407245835E-1,-1.618135071E-1,6.781497803E0,7.178472290E0
1.506805834E-1,-1.390608215E-1,6.770720215E0,7.174730072E0
1.606355836E-1,-1.477427673E-1,6.727759552E0,7.180717621E0
1.705915835E-1,-1.760339355E-1,6.706204376E0,7.157665558E0
1.805465836E-1,-1.727407837E-1,6.684948578E0,7.125332794E0
1.905025835E-1,-1.567240906E-1,6.707701263E0,7.119944000E0
2.004575836E-1,-1.806742859E-1,6.706503754E0,7.151678009E0
2.104135836E-1,-2.245330811E-1,6.690786438E0,7.209308167E0
2.203685837E-1,-2.504292297E-1,6.672674103E0,7.258256378E0
2.303245836E-1,-2.845582581E-1,6.679260406E0,7.250023499E0
2.402795837E-1,-2.945874023E-1,6.682104492E0,7.240593109E0
2.502355836E-1,-2.613565063E-1,6.645131378E0,7.179669800E0
2.601915835E-1,-2.471360779E-1,6.637796631E0,7.136409760E0
2.701465837E-1,-2.517764282E-1,6.642736359E0,7.148833923E0
2.801025836E-1,-2.249821472E-1,6.675817566E0,7.149732056E0
2.900575837E-1,-2.579136658E-1,6.705006866E0,7.182663574E0
3.000135836E-1,-2.514770508E-1,6.711892548E0,7.218289490E0
3.099685838E-1,-2.471360779E-1,6.709347839E0,7.250921631E0
3.199245837E-1,-2.179467773E-1,6.722819824E0,7.219636688E0
3.298795833E-1,-2.053729248E-1,6.723418579E0,7.161557465E0
3.398355837E-1,-2.020797729E-1,6.740183716E0,7.118297424E0
3.497905834E-1,-1.555265808E-1,6.721173248E0,7.102131042E0
3.597465837E-1,-1.109193420E-1,6.732250214E0,7.103029175E0
3.697025836E-1,-8.202941895E-2,6.755302277E0,7.125332794E0
3.796575833E-1,-6.795867920E-2,6.778354340E0,7.155270538E0
3.896135837E-1,-3.427871704E-2,6.763235779E0,7.178172913E0
3.995685834E-1,-3.188369751E-2,6.754104767E0,7.152875519E0
4.095245837E-1,-3.038681030E-2,6.942263489E0,7.062613220E0
4.194795834E-1,6.152206421E-2,6.861431580E0,6.974296875E0
4.294355838E-1,8.143066406E-2,6.954837341E0,6.939868469E0
4.393905834E-1,9.729766846E-2,6.823410645E0,6.971602478E0
4.493465833E-1,5.313949585E-2,6.843169556E0,6.987469482E0
4.593015835E-1,2.618055725E-1,6.807393951E0,7.109615479E0
4.692575834E-1,2.838098145E-1,6.807543640E0,7.079827423E0
4.792135837E-1,2.842588806E-1,6.699169006E0,7.168742523E0
4.891685834E-1,2.836601257E-1,6.649172974E0,7.246730347E0
4.991245833E-1,6.975494385E-2,6.691385193E0,7.156917114E0
5.090795835E-1,-8.666976929E-2,6.817872162E0,7.072193298E0
5.190355834E-1,-8.187973022E-2,6.790928192E0,7.225324860E0
5.289905835E-1,-2.435435486E-1,6.776857452E0,7.174879761E0
5.389465834E-1,-9.639953613E-2,6.744824066E0,7.069648590E0
5.489015835E-1,-3.394940186E-1,6.840475159E0,6.907086639E0
5.588575834E-1,-4.122427368E-1,6.863826599E0,6.914271698E0
5.688125836E-1,-5.379812622E-1,6.895710297E0,7.028184814E0
5.787685835E-1,-4.692741394E-1,6.902745667E0,7.144942017E0
5.887235836E-1,-2.194436646E-1,6.855743408E0,7.251670074E0
5.986795835E-1,-5.733078003E-2,6.792125702E0,7.249275055E0
6.086355834E-1,3.562591553E-2,6.702013092E0,7.149133301E0
6.185905836E-1,8.966354370E-2,6.692283325E0,7.065906372E0
6.285465835E-1,5.688171387E-2,6.674769745E0,7.078629913E0
6.385015836E-1,5.957611084E-2,6.627168732E0,7.169041901E0
6.484575835E-1,6.870712280E-2,6.624474335E0,7.231013031E0
6.584125836E-1,2.484832764E-2,6.637946320E0,7.251969452E0
6.683685835E-1,-3.742218018E-2,6.729555817E0,7.218439178E0
6.783235837E-1,-1.441502380E-1,6.727759552E0,7.200925598E0
6.882795836E-1,-2.567161560E-1,6.711443481E0,7.164102173E0
6.982345837E-1,-3.284170532E-1,6.718179474E0,7.135511627E0
7.081905836E-1,-3.745211792E-1,6.768325195E0,7.133565674E0
7.181465835E-1,-4.349954224E-1,6.757697296E0,7.107519836E0
7.281013336E-1,-4.264631653E-1,6.753805389E0,7.136409760E0
7.380573335E-1,-4.367916870E-1,6.746470642E0,7.135511627E0
7.480123336E-1,-4.231700134E-1,6.742728424E0,7.125033417E0
7.579683335E-1,-3.861968994E-1,6.776558075E0,7.116800537E0
7.679233337E-1,-3.379971313E-1,6.754703522E0,7.129823456E0
7.778793336E-1,-3.345542908E-1,6.725214844E0,7.147786102E0
7.878343337E-1,-3.022215271E-1,6.726861420E0,7.146887970E0
7.977903336E-1,-2.950364685E-1,6.727609863E0,7.118447113E0
8.077453338E-1,-2.636018372E-1,6.726562042E0,7.110962677E0
8.177013337E-1,-2.329156494E-1,6.731052704E0,7.112010498E0
8.276573336E-1,-2.363584900E-1,6.762637024E0,7.088808746E0
8.376123337E-1,-2.350112915E-1,6.791976013E0,7.104226685E0
8.475683336E-1,-2.553689575E-1,6.770869904E0,7.142097931E0
8.575233337E-1,-2.953358459E-1,6.749314728E0,7.147935791E0
8.674793337E-1,-3.267704773E-1,6.746770020E0,7.150031433E0
8.774343333E-1,-3.421884155E-1,6.739135895E0,7.155719604E0
8.873903337E-1,-3.947291565E-1,6.714287567E0,7.165599060E0
8.973453334E-1,-4.215234375E-1,6.703210602E0,7.155420227E0
9.073013337E-1,-4.070036316E-1,6.705306244E0,7.146289215E0
9.172563334E-1,-3.968247986E-1,6.702013092E0,7.160210266E0
9.272123338E-1,-3.938310242E-1,6.708749084E0,7.187752991E0
9.371683337E-1,-3.896397400E-1,6.716083832E0,7.193740540E0
9.471233333E-1,-3.631448364E-1,6.723717957E0,7.195686493E0
9.570793337E-1,-2.787203979E-1,6.750661926E0,7.156018982E0
9.670343334E-1,-2.275268555E-1,6.748865662E0,7.119494934E0
9.769903338E-1,-1.688488770E-1,6.764582977E0,7.068301392E0
9.869453334E-1,-1.592687988E-1,6.780150604E0,7.072342987E0
9.969013333E-1,-1.681004333E-1,6.763086090E0,7.135811005E0
1.006856333E0,-1.889071655E-1,6.745422821E0,7.163952484E0
1.016812333E0,-1.631607056E-1,6.726562042E0,7.165898438E0
1.026767334E0,-1.770817566E-1,6.737189941E0,7.121141510E0
1.036723333E0,-1.797761536E-1,6.745123444E0,7.097790070E0
