Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.006289946,-0.2070000172,3.733950138,9.133950233
0.00881326,-0.2310000062,3.733950138,9.18900013
0.011337568,-0.2350500077,3.745950222,9.136050224
0.013861665,-0.2430000156,3.744000196,9.141000748
0.016385973,-0.2520000041,3.7660501,9.164999962
0.018910203,-0.2590500116,3.73905015,9.130949974
0.02143428,-0.2639999986,3.720000267,9.153000832
0.023958607,-0.2190000117,3.754050255,9.118950844
0.026482915,-0.228000015,3.736950159,9.160050392
0.029007148,-0.1710000038,3.720000267,9.130949974
0.031531225,-0.1800000072,3.733950138,9.12405014
0.034055535,-0.166050002,3.745950222,9.112050056
0.036579843,-0.1469999999,3.730050087,9.145950317
0.039104076,-0.1279500127,3.718050241,9.169950485
0.041628381,-0.1469999999,3.742050171,9.11700058
0.044152459,-0.1110000089,3.754050255,9.11700058
0.046676765,-0.1350000054,3.768000126,9.157950401
0.049200998,-0.1110000089,3.763050079,9.12195015
0.051725303,-0.1200000048,3.792000294,9.138000488
0.054249402,-0.1249500066,3.792000294,9.130949974
0.056773708,-0.1350000054,3.799050093,9.141000748
0.059297941,-0.1369500011,3.817950249,9.115050316
0.061822247,-0.1519500017,3.811050177,9.154950142
0.064346345,-0.166050002,3.784950256,9.148050308
0.06687065,-0.1870500147,3.799050093,9.169950485
0.069394883,-0.228000015,3.792000294,9.190950394
0.071919189,-0.2089500129,3.784950256,9.153000832
0.074443268,-0.2470500171,3.784950256,9.164999962
0.076967573,-0.2500500083,3.805950165,9.153000832
0.079491806,-0.2620500028,3.781950235,9.162000656
0.082015883,-0.2659500241,3.78000021,9.11700058
0.084540218,-0.2830500007,3.760950089,9.12405014
0.087064525,-0.3310500085,3.78000021,9.133950233
0.089588758,-0.3289500177,3.742050171,9.153000832
0.092113064,-0.3570000231,3.733950138,9.154950142
0.094637157,-0.3550500274,3.748950243,9.142950058
0.097161463,-0.3550500274,3.73905015,9.148050308
0.099685695,-0.3859500289,3.71295023,9.162000656
0.102210001,-0.3790500164,3.736950159,9.11700058
0.104734089,-0.3769500256,3.708000183,9.160050392
0.107258395,-0.364950031,3.708000183,9.172050476
0.109782627,-0.3430500031,3.687000275,9.12195015
0.112306933,-0.3619500101,3.694050074,9.136050224
0.114831036,-0.3619500101,3.696000099,9.166950226
0.117355342,-0.3600000143,3.65805006,9.145950317
0.119879574,-0.4009500146,3.675000191,9.10695076
0.12240388,-0.3430500031,3.679050207,9.18405056
0.124927974,-0.2779500186,3.67200017,9.138000488
0.12745228,-0.2620500028,3.664950132,9.138000488
0.129976513,-0.2400000095,3.687000275,9.150000572
0.132500818,-0.1990500093,3.679050207,9.145950317
0.135024916,-0.2160000056,3.676950216,9.126000404
0.137549222,-0.2190000117,3.679050207,9.150000572
0.140073455,-0.2089500129,3.691050291,9.136050224
0.14259776,-0.2190000117,3.696000099,9.162000656
0.145121839,-0.1950000077,3.687000275,9.129000664
0.147646145,-0.2110500038,3.691050291,9.150000572
0.150170378,-0.2020500153,3.684000254,9.160050392
0.152694683,-0.1830000132,3.679050207,9.157950401
0.155218762,-0.1630500108,3.706050158,9.082950592
0.157743068,-0.2040000111,3.71295023,9.220050812
0.160267376,-0.1800000072,3.708000183,9.145950317
0.162791609,-0.1969500035,3.708000183,9.118950844
0.165315686,-0.2070000172,3.700950146,9.150000572
0.167839986,-0.2070000172,3.700950146,9.160050392
0.170364294,-0.2350500077,3.71505022,9.169950485
0.172888527,-0.2329500169,3.718050241,9.12405014
0.175412832,-0.2470500171,3.720000267,9.214950562
0.177936911,-0.2520000041,3.727050066,9.12195015
0.180461217,-0.2779500186,3.700950146,9.198000908
0.18298545,-0.3100500107,3.736950159,9.141000748
0.185509527,-0.3100500107,3.709950209,9.160050392
0.188033832,-0.3330000043,3.694050074,9.177000046
0.19055814,-0.364950031,3.69900012,9.18405056
0.193082373,-0.3570000231,3.71295023,9.162000656
0.195606679,-0.3360000253,3.706050158,9.130949974
0.198130763,-0.3670500219,3.67200017,9.208050728
0.200654991,-0.3570000231,3.691050291,9.150000572
0.203179299,-0.364950031,3.700950146,9.148050308
0.205703378,-0.3859500289,3.687000275,9.202950478
0.208227697,-0.3840000033,3.670050144,9.190950394
0.210751929,-0.3910500109,3.679050207,9.157950401
0.213276235,-0.3859500289,3.670050144,9.160050392
0.215800314,-0.405000031,3.676950216,9.162000656
0.21832462,-0.3720000088,3.679050207,9.097949982
0.220848852,-0.3600000143,3.679050207,9.253050804
0.223373158,-0.3220500052,3.691050291,9.103050232
0.225897466,-0.324000001,3.69900012,9.129000664
0.228421541,-0.2830500007,3.71295023,9.169950485
0.23094577,-0.2380500138,3.703050137,9.196050644
0.233470077,-0.228000015,3.696000099,9.130949974
0.235994156,-0.2400000095,3.71295023,9.150000572
0.238518466,-0.2089500129,3.709950209,9.172050476
0.241042699,-0.1870500147,3.696000099,9.154950142
0.243567004,-0.2190000117,3.708000183,9.160050392
0.246091312,-0.2070000172,3.691050291,9.130949974
0.248615387,-0.2020500153,3.706050158,9.18405056
0.251139693,-0.2020500153,3.694050074,9.133950233
0.253663925,-0.1609500051,3.71505022,9.12405014
0.256188231,-0.1750500053,3.727050066,9.172050476
0.258712305,-0.1630500108,3.709950209,9.129000664
0.261236611,-0.1540500075,3.71295023,9.142950058
0.263760844,-0.1300500035,3.721950293,9.153000832
0.266285149,-0.1350000054,3.703050137,9.162000656
0.268809218,-0.1469999999,3.71505022,9.164999962
0.271333524,-0.1129500046,3.708000183,9.133950233
0.273857757,-0.106050007,3.718050241,9.172050476
0.276382062,-0.1469999999,3.718050241,9.172050476
0.278906137,-0.1420500129,3.694050074,9.142950058
0.281430443,-0.118050009,3.724950075,9.162000656
0.283954676,-0.1399500072,3.724950075,9.153000832
0.286478981,-0.1319999993,3.709950209,9.153000832
0.28900306,-0.1279500127,3.708000183,9.148050308
0.291527366,-0.1420500129,3.706050158,9.150000572
0.294051599,-0.1469999999,3.703050137,9.145950317
0.296575905,-0.1920000017,3.694050074,9.177000046
0.299099974,-0.1990500093,3.696000099,9.115050316
0.301624279,-0.2520000041,3.69900012,9.202950478
0.304148512,-0.2520000041,3.682050228,9.145950317
0.306672818,-0.2809500098,3.703050137,9.141000748
0.309196887,-0.2710500062,3.691050291,9.17895031
0.311721192,-0.295050025,3.691050291,9.17400074
0.314245425,-0.2899500132,3.663000107,9.136050224
0.316769731,-0.3120000064,3.667050123,9.181950569
0.319293806,-0.2929500043,3.663000107,9.166950226
0.321818111,-0.3120000064,3.667050123,9.164999962
0.324342344,-0.324000001,3.65805006,9.164999962
0.326866421,-0.324000001,3.676950216,9.166950226
0.329390948,-0.3289500177,3.670050144,9.17400074
0.331915027,-0.3499500155,3.67200017,9.181950569
0.334439255,-0.3360000253,3.682050228,9.164999962
0.336963563,-0.3310500085,3.679050207,9.17400074
0.339487642,-0.3310500085,3.687000275,9.181950569
0.342011948,-0.3360000253,3.700950146,9.162000656
0.34453618,-0.3220500052,3.679050207,9.157950401
0.347060486,-0.3169500232,3.676950216,9.172050476
0.349584555,-0.3310500085,3.696000099,9.166950226
0.352108861,-0.3289500177,3.682050228,9.145950317
0.354633094,-0.324000001,3.696000099,9.172050476
0.357157399,-0.319050014,3.706050158,9.164999962
0.359681473,-0.3330000043,3.694050074,9.153000832
0.362205779,-0.3289500177,3.709950209,9.169950485
0.364730012,-0.3259500265,3.720000267,9.164999962
0.367254317,-0.3360000253,3.721950293,9.145950317
0.369778391,-0.3220500052,3.721950293,9.12405014
0.372302697,-0.319050014,3.724950075,9.153000832
0.374827005,-0.3139500022,3.720000267,9.166950226
0.377351237,-0.3310500085,3.703050137,9.142950058
0.379875539,-0.3139500022,3.721950293,9.154950142
0.382399618,-0.3450000286,3.718050241,9.154950142
0.384923924,-0.337950021,3.703050137,9.154950142
0.387448157,-0.3550500274,3.730050087,9.150000572
0.389972462,-0.3360000253,3.720000267,9.164999962
