"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.296504498E-2,4.550620239E1,9.156622764E0,1.413835643E2,NaN,NaN,9.176285273E1,4.094667723E0
5.389159918E-1,4.550592113E1,9.157331221E0,1.333105317E2,NaN,NaN,5.956739615E1,3.000000000E1
6.016296148E-1,4.550590330E1,9.156903779E0,1.709889717E2,0.000000000E0,NaN,2.306459491E1,2.400000000E1
1.536632657E0,4.550590862E1,9.156839010E0,1.341482124E2,0.000000000E0,NaN,7.587172770E0,4.000000000E0
2.536638498E0,4.550590969E1,9.156839746E0,1.348086128E2,0.000000000E0,NaN,4.753110527E0,4.000000000E0
3.536644459E0,4.550591240E1,9.156839133E0,1.353246651E2,0.000000000E0,NaN,4.674124826E0,4.000000000E0
4.536650538E0,4.550591198E1,9.156839537E0,1.372167549E2,0.000000000E0,1.543359375E2,3.618060041E0,4.000000000E0
5.536656499E0,4.550590823E1,9.156840787E0,1.374931831E2,1.460000038E0,1.480078125E2,3.524771605E0,3.000000000E0
6.536239147E0,4.550590471E1,9.156847426E0,1.374295235E2,1.460000038E0,1.378125000E2,3.527163885E0,3.000000000E0
7.536240578E0,4.550590009E1,9.156860498E0,1.376629829E2,1.460000038E0,1.325390625E2,3.530192509E0,3.000000000E0
8.536251903E0,4.550589427E1,9.156877950E0,1.363263741E2,1.860000014E0,1.293750000E2,3.363035102E0,3.000000000E0
9.536254883E0,4.550588435E1,9.156894271E0,1.361478462E2,1.940000057E0,1.420312500E2,3.436321382E0,3.000000000E0
1.053626072E1,4.550587106E1,9.156910202E0,1.360229683E2,2.279999971E0,1.413281250E2,3.465760056E0,3.000000000E0
1.153627312E1,4.550585635E1,9.156923725E0,1.358138618E2,2.279999971E0,1.476562500E2,3.480220648E0,3.000000000E0
1.253627312E1,4.550584046E1,9.156936986E0,1.360185127E2,2.279999971E0,1.469531250E2,3.491828200E0,3.000000000E0
1.353627515E1,4.550582341E1,9.156952470E0,1.360185132E2,2.279999971E0,1.469531363E2,2.926962369E0,4.029364438E0
1.453628683E1,4.550580791E1,9.156968148E0,1.359706005E2,2.089999914E0,1.466015730E2,3.046360381E0,4.029364438E0
1.553629529E1,4.550579167E1,9.156982967E0,1.360650220E2,2.339999914E0,1.476562614E2,3.321110279E0,4.029364438E0
1.653629804E1,4.550577524E1,9.156999531E0,1.361219068E2,2.339999914E0,1.458984495E2,3.524631949E0,4.029364438E0
1.753631008E1,4.550575975E1,9.157015213E0,1.365137524E2,2.220000029E0,1.451953241E2,3.672439901E0,4.029364438E0
1.853631222E1,4.550574242E1,9.157029777E0,1.363842358E2,2.220000029E0,1.501171976E2,3.890413466E0,4.029364438E0
1.953630972E1,4.550572727E1,9.157041936E0,1.367813915E2,1.899999976E0,1.504687585E2,4.024380122E0,4.029364438E0
