"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.811916707E-3,-4.183799744E-1,5.916446686E0,7.785310364E0
1.176891674E-2,-4.855902100E-1,5.916895752E0,7.827372894E0
2.172591677E-2,-5.050497437E-1,5.949527893E0,7.817792816E0
3.168291668E-2,-4.799020386E-1,5.956563263E0,7.801177368E0
4.164091672E-2,-4.408332825E-1,5.949378204E0,7.770341492E0
5.159791675E-2,-4.468208313E-1,5.925877075E0,7.808512115E0
6.155491667E-2,-4.760101318E-1,5.915997620E0,7.830067291E0
7.151291671E-2,-5.034031677E-1,5.908363495E0,7.829318848E0
8.146991674E-2,-4.945715332E-1,5.920338593E0,7.834707642E0
9.142691677E-2,-4.851411438E-1,5.912854156E0,7.826923828E0
1.013839167E-1,-4.653822327E-1,5.909261627E0,7.828121338E0
1.113419167E-1,-5.022056580E-1,5.892795868E0,7.855065308E0
1.212989168E-1,-5.242098999E-1,5.888305206E0,7.898475037E0
1.312559167E-1,-5.484594727E-1,5.900130615E0,7.878416748E0
1.412139167E-1,-5.032534790E-1,5.915548553E0,7.887847137E0
1.511709167E-1,-4.333488464E-1,5.888604584E0,7.891289978E0
1.611279168E-1,-4.038601685E-1,5.867947540E0,7.894882507E0
1.710849167E-1,-4.330494690E-1,5.823190613E0,7.901468811E0
1.810429167E-1,-5.083428955E-1,5.800587616E0,7.870782623E0
1.909999168E-1,-5.477110291E-1,5.801036682E0,7.852819977E0
2.009569167E-1,-5.060975647E-1,5.838907928E0,7.842491455E0
2.109149167E-1,-4.737648010E-1,5.878276062E0,7.827672272E0
2.208719167E-1,-4.782554626E-1,5.911956024E0,7.835755463E0
2.308289168E-1,-5.090913391E-1,5.933660889E0,7.857759705E0
2.407859167E-1,-4.872367859E-1,5.973178711E0,7.842192078E0
2.507439167E-1,-4.587959290E-1,5.983956299E0,7.824528809E0
2.607009168E-1,-4.731660461E-1,5.963898010E0,7.786956940E0
2.706579167E-1,-4.393363953E-1,5.952371979E0,7.722890167E0
2.806159167E-1,-4.451742554E-1,5.968837738E0,7.718698883E0
2.905729167E-1,-4.252656555E-1,5.968837738E0,7.785310364E0
3.005299168E-1,-3.933819580E-1,5.990692291E0,7.834108887E0
3.104869167E-1,-3.517684937E-1,5.981860657E0,7.856262817E0
3.204449167E-1,-3.844006348E-1,5.968238983E0,7.846982117E0
3.304019168E-1,-3.387455750E-1,5.942043457E0,7.822283478E0
3.403589167E-1,-3.194357300E-1,5.940396881E0,7.782166901E0
3.503169167E-1,-3.614982605E-1,5.950126648E0,7.758665771E0
3.602739167E-1,-4.314028931E-1,5.925428009E0,7.797734528E0
3.702309168E-1,-4.595443726E-1,5.918841705E0,7.824379120E0
3.801879167E-1,-4.757107544E-1,5.967640228E0,7.853269043E0
3.901459167E-1,-4.408332825E-1,5.952371979E0,7.878416748E0
4.001029168E-1,-4.393363953E-1,5.903274078E0,7.892188110E0
4.100599167E-1,-4.222718811E-1,5.884113922E0,7.867639160E0
4.200179167E-1,-4.213737488E-1,5.900280304E0,7.821684723E0
4.299749167E-1,-4.234693909E-1,5.914201355E0,7.789950714E0
4.399319168E-1,-3.538641357E-1,5.890700226E0,7.802823944E0
4.498889167E-1,-3.134481812E-1,5.885311432E0,7.779921570E0
