Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.007242979,-0.9610500336,3.727050066,9.367950439
0.009765761,-0.9250500202,3.73905015,9.378000259
0.012289761,-0.9300000668,3.745950222,9.366000175
0.014813698,-0.8959500194,3.754050255,9.349050522
0.017337467,-0.9030000567,3.751050234,9.325050354
0.019861467,-0.9010500312,3.754050255,9.304050446
0.02238539,-0.8839500546,3.732000113,9.258000374
0.024909166,-0.8770500422,3.732000113,9.222000122
0.027433087,-0.8220000267,3.71295023,9.220050812
0.029957087,-0.7759500146,3.688950062,9.234000206
0.032480858,-0.7120500207,3.660000086,9.205050468
0.035004794,-0.6589500308,3.616950274,9.169950485
0.037528565,-0.6139500141,3.610050201,9.105000496
0.040052563,-0.5730000138,3.583950281,9.105000496
0.042576488,-0.5490000248,3.56400013,9.0499506
0.045100291,-0.541950047,3.526050091,9.04695034
0.047624289,-0.5250000358,3.520950079,9.0499506
0.050148214,-0.4630500078,3.481050253,9.021000862
0.052671983,-0.4240500331,3.478050232,9.045000076
0.055195895,-0.3550500274,3.439950228,9.076050758
0.057719895,-0.3070500195,3.421050072,9.061950684
0.060243666,-0.2470500171,3.406050205,9.115050316
0.062767587,-0.2190000117,3.387000084,9.12195015
0.065291363,-0.184950009,3.39195013,9.130949974
0.067815361,-0.1590000093,3.39195013,9.129000664
0.070339286,-0.1729500145,3.409050226,9.129000664
0.072863055,-0.1729500145,3.423000097,9.105000496
0.075387067,-0.1750500053,3.438000202,9.109950066
0.077910993,-0.1800000072,3.451950073,9.091050148
0.080434762,-0.1540500075,3.471000195,9.112050056
0.082958683,-0.1469999999,3.49695015,9.138000488
0.085482683,-0.1300500035,3.508950233,9.153000832
0.088006454,-0.1230000034,3.538050175,9.164999962
0.090530375,-0.1009500027,3.550050259,9.193950653
0.093054146,-0.07695000619,3.56400013,9.217050552
0.095578144,-0.0580500029,3.571950197,9.244050026
0.098102069,-0.07500000298,3.598050117,9.268050194
0.100625839,-0.09900000691,3.612000227,9.265050888
0.103149837,-0.118050009,3.628950119,9.261000633
0.105673776,-0.1399500072,3.640950203,9.24600029
0.108197545,-0.1420500129,3.643050194,9.205050468
0.110721466,-0.1350000054,3.664950132,9.18405056
0.113245466,-0.09600000083,3.655050278,9.160050392
0.115769251,-0.1039500013,3.670050144,9.17400074
0.118293172,-0.09405000508,3.679050207,9.172050476
0.120816944,-0.0889500007,3.667050123,9.148050308
0.123340942,-0.09405000508,3.675000191,9.154950142
0.125864882,-0.1159500033,3.687000275,9.162000656
0.128388651,-0.1159500033,3.708000183,9.141000748
0.130912572,-0.1129500046,3.706050158,9.130949974
0.133436572,-0.08400000632,3.700950146,9.136050224
0.135960347,-0.06495000422,3.708000183,9.100049973
0.138484268,-0.03405000269,3.71505022,9.129000664
0.141008268,-0.0390000008,3.71295023,9.133950233
0.14353204,-0.03195000067,3.71295023,9.138000488
0.146055981,-0.01305000018,3.708000183,9.130949974
0.148579752,-0.0150000006,3.71505022,9.164999962
0.15110375,-0.0390000008,3.721950293,9.153000832
0.153627675,-0.03195000067,3.718050241,9.141000748
0.156151444,-0.01005000062,3.718050241,9.162000656
0.158675442,-0.01305000018,3.709950209,9.181950569
0.161199367,-0.007950000465,3.724950075,9.17400074
0.163723137,-0.003000000026,3.718050241,9.213000298
0.166247062,-0.01305000018,3.694050074,9.208050728
0.168770833,-0.04395000264,3.720000267,9.220050812
0.171294831,-0.08400000632,3.721950293,9.225000381
0.173818756,-0.1519500017,3.721950293,9.217050552
0.176342511,-0.2020500153,3.732000113,9.150000572
0.178866509,-0.2689500153,3.720000267,9.145950317
0.181390434,-0.3310500085,3.73905015,9.133950233
0.183914204,-0.3550500274,3.733950138,9.088050842
0.186438202,-0.3529500067,3.718050241,9.073950768
0.188962132,-0.3330000043,3.733950138,9.069000244
0.191485901,-0.3139500022,3.721950293,9.069000244
0.194009822,-0.2809500098,3.687000275,9.073950768
0.196533593,-0.2639999986,3.684000254,9.11700058
0.199057615,-0.2350500077,3.684000254,9.094950676
0.20158154,-0.2020500153,3.679050207,9.058950424
0.20410531,-0.1950000077,3.675000191,9.069000244
0.206629308,-0.1990500093,3.667050123,9.082950592
0.209152987,-0.1900500059,3.688950062,9.070950508
0.211676985,-0.1680000126,3.700950146,9.093000412
0.214200985,-0.1830000132,3.682050228,9.079050064
0.21672491,-0.1800000072,3.676950216,9.129000664
0.219248694,-0.1780500114,3.684000254,9.12405014
0.221772615,-0.184950009,3.700950146,9.136050224
0.224296387,-0.1830000132,3.708000183,9.148050308
0.226820385,-0.1590000093,3.703050137,9.172050476
0.229344291,-0.1710000038,3.721950293,9.181950569
0.23186806,-0.1710000038,3.724950075,9.196050644
0.234392058,-0.1729500145,3.724950075,9.202950478
0.236915983,-0.1969500035,3.732000113,9.18405056
0.239439756,-0.184950009,3.733950138,9.208050728
0.241963754,-0.1950000077,3.763050079,9.181950569
0.244487679,-0.1870500147,3.748950243,9.222000122
0.247011449,-0.1920000017,3.748950243,9.226950645
0.249535361,-0.1969500035,3.754050255,9.213000298
0.252059361,-0.1540500075,3.744000196,9.172050476
0.254583055,-0.166050002,3.720000267,9.17895031
0.257107053,-0.1710000038,3.706050158,9.162000656
0.259630853,-0.1540500075,3.720000267,9.157950401
0.262154774,-0.1560000032,3.703050137,9.109950066
0.264678774,-0.1519500017,3.708000183,9.12195015
0.267202546,-0.1870500147,3.724950075,9.081000328
0.269726482,-0.2329500169,3.71295023,9.052050591
0.272250253,-0.2209500074,3.757950068,9.013950348
0.274774251,-0.2760000229,3.748950243,8.98800087
0.277298176,-0.2659500241,3.781950235,8.956050873
0.279822174,-0.2639999986,3.799050093,8.92305088
0.282345868,-0.2470500171,3.816000223,8.913000107
0.284869866,-0.2329500169,3.816000223,8.935050011
0.287393637,-0.2209500074,3.816000223,8.965950012
0.289917535,-0.2430000156,3.837000132,8.965950012
0.292441535,-0.2470500171,3.811050177,9.025950432
0.294965306,-0.3049500287,3.799050093,9.025950432
0.297489227,-0.3619500101,3.801000118,9.028050423
0.300012988,-0.4219500124,3.792000294,9.05700016
0.302536986,-0.4870500267,3.804000139,9.094950676
0.305060911,-0.5179499984,3.778050184,9.093000412
0.307584909,-0.5110500455,3.768000126,9.088050842
0.310108614,-0.5080500245,3.763050079,9.093000412
0.312632612,-0.5029500127,3.772950172,9.097949982
0.315156383,-0.49605003,3.7660501,9.145950317
0.317680304,-0.4720500112,3.768000126,9.138000488
0.320204308,-0.4530000091,3.751050234,9.164999962
0.322728079,-0.4410000145,3.744000196,9.196050644
0.325252,-0.4320000112,3.75600028,9.190950394
0.327775771,-0.4120500088,3.730050087,9.217050552
0.330299755,-0.4080000222,3.718050241,9.220050812
0.332823681,-0.4170000255,3.724950075,9.225000381
0.335347679,-0.4030500054,3.721950293,9.244050026
0.337871373,-0.4150500298,3.708000183,9.273000717
