Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.53767556,45.07958,9.20253,64.65318166,0.01647111028,322.25,2.099999905,11.69999981
1.03767556,45.07958,9.20253,64.65318166,0.2475813925,288.9700012,2.099999905,11.0
1.57867556,45.07958,9.202518333,64.85315509,0.5167810917,286.3200073,1.899999976,10.89999962
2.07867556,45.07957667,9.202508333,65.05314237,0.6526677608,272.4200134,1.799999952,10.0
2.57867556,45.07957667,9.202508333,65.05314237,0.3036861122,256.0700073,1.700000048,10.0
3.07867556,45.07956833,9.20251,65.35317132,0.2089772224,277.2000122,1.700000048,10.60000038
4.07867556,45.07957333,9.20251,65.25315623,0.1389749944,303.0299988,1.600000024,11.19999981
5.57867556,45.07957833,9.202513333,65.05314873,0.09985610843,358.6000061,1.600000024,10.30000019
6.57867556,45.07958167,9.202511667,64.95313487,0.04066305608,39.18999863,1.600000024,9.399999619
7.57867556,45.07959,9.20251,64.95310592,0.3170688748,333.6799927,1.600000024,9.199999809
8.57867556,45.07959667,9.202508333,65.15308199,0.5728858113,332.3999939,1.600000024,9.0
9.57867556,45.07960667,9.202501667,65.15303662,1.58946228,342.0,1.600000024,8.300000191
10.57867556,45.07963,9.20249,64.9529396,1.902413368,337.3699951,1.600000024,7.900000095
11.57867556,45.07964833,9.202478333,64.45285768,2.120140791,338.730011,1.600000024,7.900000095
12.57867556,45.07966833,9.20247,63.95277832,2.263233662,333.3099976,1.600000024,7.900000095
13.57867556,45.07968833,9.202458333,63.75269137,2.321397305,340.3800049,1.600000024,8.0
14.57867556,45.07970833,9.202446667,63.45260442,2.051167965,336.7399902,1.600000024,8.199999809
15.57867556,45.07972667,9.202435,63.05252251,1.814395785,343.6600037,1.600000024,7.900000095
16.57867556,45.079745,9.202425,62.65244438,1.908589959,339.4200134,1.600000024,7.900000095
17.57867556,45.07976333,9.202421667,62.75238145,1.932267189,339.0599976,1.600000024,7.599999905
18.57867556,45.07978167,9.20241,62.55229953,1.937414408,338.2999878,1.600000024,7.800000191
19.57867556,45.07979667,9.202396667,62.35222388,1.816969395,343.2399902,1.600000024,7.5
20.57867556,45.07981,9.202393333,62.35217604,1.996607542,336.0,1.600000024,7.400000095
21.57867556,45.07982,9.202386667,61.95213067,1.836014152,323.7000122,1.5,7.099999905
22.57867556,45.07982,9.202386667,61.65213067,1.625492811,335.230011,1.5,7.099999905
23.17314692,45.1151535,9.2124078,,,,565.6740112,0.0
23.70659625,45.07981833,9.20239,61.75214329,0.002058888786,317.8999939,2.599999905,15.89999962
24.20659625,45.07981667,9.202391667,61.75215212,0.009265000001,55.31999969,2.599999905,13.80000019
24.81959625,45.07981333,9.2024,62.75218116,0.05713416636,82.11000061,2.099999905,13.5
25.31959625,45.07981333,9.2024,62.75218116,0.04426611215,59.08000183,1.799999952,13.60000038
25.81959625,45.07981333,9.2024,62.75218116,0.05404583365,253.7899933,1.700000048,14.10000038
26.31959625,45.07981333,9.2024,62.75218116,0.05301639065,282.9500122,1.600000024,13.60000038
