"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.267599344E-1,4.549987369E1,9.162288223E0,1.290278549E2,0.000000000E0,NaN,3.509680119E0,3.000000000E0
1.826772213E0,4.549987370E1,9.162292302E0,1.290625839E2,0.000000000E0,NaN,3.535510185E0,3.000000000E0
2.826780558E0,4.549987366E1,9.162293177E0,1.292913437E2,0.000000000E0,NaN,3.441783203E0,3.000000000E0
3.826785445E0,4.549987858E1,9.162289693E0,1.300545883E2,0.000000000E0,3.199218750E2,3.499006055E0,3.000000000E0
4.826793671E0,4.549991004E1,9.162264336E0,1.305583115E2,1.350000024E0,3.209765625E2,6.176011886E0,3.000000000E0
5.826798201E0,4.549990570E1,9.162264434E0,1.305583117E2,1.350000024E0,3.209765547E2,3.814985704E0,4.029364438E0
6.826803088E0,4.549992853E1,9.162247232E0,1.312889029E2,2.640000105E0,3.297656129E2,4.005116407E0,4.029364438E0
7.826816797E0,4.549994376E1,9.162228388E0,1.318812489E2,2.200000048E0,3.202734247E2,4.186078069E0,4.029364438E0
8.826823354E0,4.549996014E1,9.162208705E0,1.323271718E2,2.250000000E0,3.199218618E2,4.268758782E0,4.029364438E0
9.826831341E0,4.549997741E1,9.162184098E0,1.330495840E2,2.470000029E0,3.171093597E2,4.372251069E0,4.029364438E0
1.082684076E1,4.549999291E1,9.162162935E0,1.332015005E2,2.470000029E0,3.167577971E2,4.312859983E0,4.029364438E0
1.182684767E1,4.550001030E1,9.162145649E0,1.331994252E2,2.309999943E0,3.227343622E2,4.414366250E0,4.029364438E0
1.282685208E1,4.550002923E1,9.162124975E0,1.335829091E2,2.309999943E0,3.237890500E2,4.748651530E0,4.029364438E0
1.382685554E1,4.550005095E1,9.162103151E0,1.336490713E2,2.509999990E0,3.251952994E2,4.748651530E0,4.029364438E0
1.482685828E1,4.550007353E1,9.162080127E0,1.341546256E2,2.690000057E0,3.251952985E2,4.748651530E0,4.029364438E0
1.582686126E1,4.550009252E1,9.162057408E0,1.347776113E2,2.559999943E0,3.220312356E2,4.748651530E0,4.029364438E0
1.682686317E1,4.550011257E1,9.162032420E0,1.348219840E2,2.690000057E0,3.209765470E2,4.748651530E0,4.029364438E0
1.782686532E1,4.550013238E1,9.162008703E0,1.350068594E2,2.690000057E0,3.206249844E2,4.748651530E0,4.029364438E0
1.882686746E1,4.550015274E1,9.161986988E0,1.348520743E2,2.700000048E0,3.223827975E2,4.748651530E0,4.029364438E0
1.982686937E1,4.550017255E1,9.161965611E0,1.350777823E2,2.690000057E0,3.234374854E2,4.748651530E0,4.029364438E0
2.082687056E1,4.550019221E1,9.161944144E0,1.349474722E2,2.680000067E0,3.230859228E2,4.748651530E0,4.029364438E0
2.182687211E1,4.550021474E1,9.161922083E0,1.351556022E2,2.829999924E0,3.244921725E2,4.748651530E0,4.029364438E0
2.282687294E1,4.550023604E1,9.161901142E0,1.353084952E2,2.829999924E0,3.248437351E2,4.748651530E0,4.029364438E0
2.382687426E1,4.550025443E1,9.161878196E0,1.354390494E2,2.710000038E0,3.220312348E2,4.748651530E0,4.029364438E0
2.482687533E1,4.550027175E1,9.161856075E0,1.350017325E2,2.700000048E0,3.202734218E2,4.748651530E0,4.029364438E0
2.582687628E1,4.550029745E1,9.161810728E0,1.364340017E2,2.775555009E0,3.229234406E2,5.115059222E0,3.000000000E0
2.682687724E1,4.550030763E1,9.161783142E0,1.360876257E2,2.817855495E0,3.204617749E2,4.803251718E0,3.000000000E0
2.782687795E1,4.550032323E1,9.161765755E0,1.361348543E2,2.541406206E0,3.211740340E2,5.055477573E0,3.000000000E0
2.882687843E1,4.550034816E1,9.161754336E0,1.363758825E2,2.662100890E0,3.339310220E2,4.612336416E0,3.000000000E0
2.982687891E1,4.550036732E1,9.161722881E0,1.363379684E2,2.921485046E0,3.234902431E2,4.427773338E0,3.000000000E0
3.082687902E1,4.550038113E1,9.161702250E0,1.364540971E2,2.661661735E0,3.230926347E2,4.501889747E0,3.000000000E0
3.182688010E1,4.550039906E1,9.161668919E0,1.363123834E2,2.883389964E0,3.167524876E2,4.468361939E0,3.000000000E0
3.282688010E1,4.550042523E1,9.161663096E0,1.359943409E2,2.617955439E0,3.194144509E2,4.633065780E0,4.164718050E0
3.382687986E1,4.550044565E1,9.161634724E0,1.356314318E2,2.918966415E0,3.190576330E2,4.672107161E0,4.258994393E0
3.482687950E1,4.550046280E1,9.161607813E0,1.364663029E2,2.903837737E0,3.165319995E2,4.747485430E0,4.371136923E0
