"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.863291487E-3,2.158511353E-1,7.006479950E0,6.854695587E0
1.181829162E-2,2.531236267E-1,7.013515320E0,6.907086639E0
2.177229151E-2,2.860551453E-1,7.018005981E0,6.929989014E0
3.172729164E-2,2.987786865E-1,7.007527771E0,6.898853760E0
4.168229131E-2,2.698887634E-1,7.009623413E0,6.875502319E0
5.163729144E-2,2.204914856E-1,6.993906097E0,6.901099091E0
6.159129133E-2,2.070195007E-1,6.965315552E0,6.949298859E0
7.154629147E-2,2.139051819E-1,6.964716797E0,6.971153412E0
8.150129160E-2,2.231858826E-1,6.953041077E0,6.968608704E0
9.145629173E-2,2.332150269E-1,6.933282166E0,6.944359131E0
1.014102916E-1,2.248324585E-1,6.935228119E0,6.906338196E0
1.113652913E-1,1.601669312E-1,6.953340454E0,6.915768585E0
1.213202914E-1,9.385482788E-2,6.977140961E0,6.912026367E0
1.312752916E-1,3.802093506E-2,6.989565125E0,6.896458740E0
1.412292914E-1,3.996688843E-2,6.982829132E0,6.910379791E0
1.511842916E-1,7.933502197E-2,6.992858276E0,6.914720764E0
1.611392917E-1,1.115180969E-1,6.999145203E0,6.920558624E0
1.710942914E-1,1.095721436E-1,6.980284424E0,6.913074188E0
1.810482913E-1,1.384620667E-1,6.962621155E0,6.897207184E0
1.910032914E-1,1.152603149E-1,6.956034851E0,6.908733215E0
2.009582915E-1,1.230441284E-1,6.948849792E0,6.913373566E0
2.109132917E-1,1.437011719E-1,6.985673218E0,6.919211426E0
2.208672916E-1,1.291813660E-1,7.004084930E0,6.934030609E0
2.308222917E-1,1.640588379E-1,6.965465240E0,6.974147186E0
2.407772914E-1,1.462458801E-1,6.947801971E0,6.942113800E0
2.507322915E-1,1.648072815E-1,6.979236603E0,6.913523254E0
2.606862914E-1,1.493893433E-1,6.977440338E0,6.910679169E0
2.706412915E-1,1.196012878E-1,6.968159637E0,6.905739441E0
2.805962916E-1,1.155596924E-1,6.973997498E0,6.889423370E0
2.905512913E-1,1.118174744E-1,6.981182556E0,6.913373566E0
3.005052917E-1,1.216969299E-1,6.986721039E0,6.926396484E0
3.104602913E-1,1.661544800E-1,6.982978821E0,6.909182281E0
3.204152915E-1,2.276765442E-1,7.002588043E0,6.884783020E0
3.303702916E-1,2.643502808E-1,7.004983063E0,6.854994965E0
3.403242915E-1,2.942880249E-1,6.997199249E0,6.847061462E0
3.502792916E-1,2.502795410E-1,6.989116058E0,6.860084381E0
3.602342913E-1,2.112107849E-1,6.997947693E0,6.875951385E0
3.701892914E-1,2.170486450E-1,7.009623413E0,6.863976288E0
3.801432913E-1,2.324665833E-1,7.021748199E0,6.822512512E0
3.900982914E-1,2.342628479E-1,7.036567383E0,6.833739166E0
4.000532916E-1,2.134561157E-1,7.022496643E0,6.856192474E0
4.100082917E-1,2.145039368E-1,6.998396759E0,6.909331970E0
4.199622916E-1,2.224374390E-1,6.993307343E0,6.932234344E0
4.299172913E-1,2.502795410E-1,6.994504852E0,6.910828857E0
4.398722914E-1,2.775228882E-1,6.967411194E0,6.921456757E0
4.498262913E-1,2.978805542E-1,6.913373566E0,6.966363373E0
4.597812914E-1,2.992277527E-1,6.823560333E0,7.001390533E0
4.697362916E-1,2.396516418E-1,6.844067688E0,6.959328003E0
4.796912917E-1,4.357438660E-1,6.913523254E0,6.938371582E0
4.896452916E-1,3.201841736E-1,6.962770844E0,6.965914307E0
4.996002917E-1,4.710704041E-1,6.954687653E0,6.983727264E0
5.095552914E-1,4.426295471E-1,6.997947693E0,6.969806213E0
5.195102915E-1,4.541555786E-1,7.076534271E0,6.823859711E0
5.294642914E-1,3.344046021E-1,7.093449097E0,6.791526947E0
5.394192915E-1,1.517843628E-1,7.070397034E0,6.754703522E0
5.493742917E-1,-5.613327026E-2,7.117998047E0,6.731801147E0
5.593292913E-1,-1.320254517E-1,7.172784119E0,6.740333405E0
5.692832917E-1,-6.735992432E-2,7.194638672E0,6.774462433E0
5.792382914E-1,3.832031250E-2,7.160659332E0,6.812782745E0
5.891932915E-1,8.083190918E-2,7.095544739E0,6.835086365E0
5.991482916E-1,8.053253174E-2,7.067552948E0,6.869065704E0
6.091022915E-1,1.245410156E-1,6.989415436E0,6.975344696E0
6.190572917E-1,1.204994202E-1,6.896758118E0,7.023245087E0
6.290122913E-1,1.351689148E-1,6.837631073E0,7.039860535E0
6.389672915E-1,1.547781372E-1,6.786138153E0,7.034322052E0
6.489212913E-1,1.483415222E-1,6.767726440E0,7.066954193E0
6.588762915E-1,1.537303162E-1,6.747967529E0,7.096742249E0
6.688312916E-1,1.261875916E-1,6.800208893E0,7.135661316E0
6.787862913E-1,2.174977112E-1,6.875502319E0,7.081024933E0
6.887402916E-1,2.396516418E-1,6.899452515E0,6.976542206E0
6.986952913E-1,2.880010986E-1,6.904392242E0,6.868616638E0
7.086502914E-1,2.824626160E-1,6.933282166E0,6.810387726E0
7.186052916E-1,3.158432007E-1,6.997049561E0,6.790179749E0
