"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.443099976E-2,4.550090200E1,9.156049279E0,1.323271684E2,2.449048790E0,2.509622717E2,4.811439719E0,3.411522797E0
2.942192554E-2,4.550109113E1,9.156626509E0,1.324875004E2,NaN,NaN,3.657134224E1,3.000000000E1
1.511459351E-1,4.550109094E1,9.156629093E0,1.324870350E2,NaN,NaN,3.658247598E1,3.000000003E1
1.432668209E0,4.550096327E1,9.156099510E0,1.316709175E2,0.000000000E0,2.510156250E2,5.283989089E0,3.000000000E0
2.432672977E0,4.550094224E1,9.156095980E0,1.330072823E2,0.000000000E0,NaN,5.507682233E0,4.000000000E0
3.432678223E0,4.550094374E1,9.156076892E0,1.334558296E2,0.000000000E0,NaN,4.716916080E0,4.000000000E0
4.432683587E0,4.550094067E1,9.156058069E0,1.331906319E2,0.000000000E0,NaN,4.486787771E0,3.000000000E0
5.432688713E0,4.550094110E1,9.156048497E0,1.325965767E2,0.000000000E0,NaN,4.249504082E0,3.000000000E0
6.432931185E0,4.550094245E1,9.156042195E0,1.321816597E2,0.000000000E0,NaN,4.007343146E0,3.000000000E0
7.432932258E0,4.550094439E1,9.156047569E0,1.319414864E2,0.000000000E0,NaN,2.661689629E0,3.000000000E0
8.432924390E0,4.550094129E1,9.156056238E0,1.315373726E2,0.000000000E0,8.015625000E1,2.599357016E0,3.000000000E0
9.432914615E0,4.550094226E1,9.156065398E0,1.310219917E2,1.700000048E0,7.066406250E1,2.550838190E0,3.000000000E0
1.043290806E1,4.550094633E1,9.156088469E0,1.311543159E2,1.919999957E0,7.839843750E1,2.665774986E0,3.000000000E0
1.143289483E1,4.550094892E1,9.156121638E0,1.311450386E2,1.919999957E0,8.191406250E1,2.981654840E0,3.000000000E0
1.243288815E1,4.550094902E1,9.156150433E0,1.308190498E2,2.000000000E0,7.593750000E1,3.206760658E0,3.000000000E0
1.343288088E1,4.550095290E1,9.156180536E0,1.308190502E2,2.000000000E0,7.593751770E1,2.848581825E0,4.029364438E0
1.443286550E1,4.550095750E1,9.156211898E0,1.306855663E2,2.119999886E0,7.312501851E1,3.153690327E0,4.029364438E0
1.543284702E1,4.550096503E1,9.156239256E0,1.304724926E2,2.210000038E0,6.679689354E1,3.416474524E0,4.029364438E0
1.643282962E1,4.550096676E1,9.156273359E0,1.305017285E2,2.369999886E0,7.417970831E1,3.695844987E0,4.029364438E0
1.743280888E1,4.550097398E1,9.156302767E0,1.306406446E2,2.369999886E0,6.960939527E1,3.841227162E0,4.029364438E0
1.843280017E1,4.550097883E1,9.156332955E0,1.306504102E2,2.369999886E0,7.382814577E1,3.955741531E0,4.029364438E0
1.943278599E1,4.550098611E1,9.156361104E0,1.308813672E2,2.369999886E0,6.820314508E1,4.057380298E0,4.029364438E0
2.043276727E1,4.550099286E1,9.156392688E0,1.309558302E2,2.490000010E0,7.207033412E1,4.145662087E0,4.029364438E0
2.143274713E1,4.550099912E1,9.156424575E0,1.308584180E2,2.490000010E0,7.277345920E1,4.235165241E0,4.029364438E0
2.243272913E1,4.550100602E1,9.156456677E0,1.309338575E2,2.490000010E0,7.136720903E1,4.355044568E0,4.029364438E0
2.343271220E1,4.550101114E1,9.156488441E0,1.313437696E2,2.480000019E0,7.382814674E1,4.411807860E0,4.029364438E0
2.443269622E1,4.550101763E1,9.156518837E0,1.309385572E2,2.430000067E0,7.207033360E1,4.484585546E0,4.029364438E0
2.543268239E1,4.550102458E1,9.156552066E0,1.309604078E2,2.539999962E0,7.171877201E1,4.559401064E0,4.029364438E0
2.643266904E1,4.550103369E1,9.156587080E0,1.311313673E2,2.670000076E0,7.101564804E1,4.561263069E0,4.029364438E0
2.743265617E1,4.550104243E1,9.156616760E0,1.310750929E2,2.539999962E0,6.996095928E1,4.585943566E0,4.029364438E0
2.843264484E1,4.550105179E1,9.156648726E0,1.310703932E2,2.609999895E0,7.031252243E1,4.622230750E0,4.029364438E0
2.943263459E1,4.550106129E1,9.156680824E0,1.310927321E2,2.609999895E0,6.996095988E1,4.643188464E0,4.029364438E0
3.043262482E1,4.550106794E1,9.156715735E0,1.307831007E2,2.650000095E0,7.417971077E1,4.656652002E0,4.029364438E0
3.143261588E1,4.550107504E1,9.156748765E0,1.308878371E2,2.650000095E0,7.453127331E1,4.677548125E0,4.029364438E0
3.243260801E1,4.550108274E1,9.156776489E0,1.312007032E2,2.509999990E0,7.382814700E1,4.655633319E0,4.029364438E0
3.343260109E1,4.550107975E1,9.156817165E0,1.336035015E2,2.401492099E0,7.194386665E1,4.131629807E0,3.997171102E0
3.443259418E1,4.550108601E1,9.156846729E0,1.338612125E2,2.409794340E0,7.561250998E1,4.208444245E0,3.810440696E0
3.543258727E1,4.550109266E1,9.156875305E0,1.341794506E2,2.446746008E0,6.936915425E1,4.453526548E0,3.858952195E0
3.643258202E1,4.550110046E1,9.156901627E0,1.340467031E2,2.442768514E0,6.467515933E1,4.637931247E0,3.617360284E0
