"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.403458416E-3,2.710862732E-1,6.616091766E0,7.224127350E0
8.551541716E-3,3.369493103E-1,6.594985657E0,7.257058868E0
1.850554161E-2,3.827540588E-1,6.575975189E0,7.278314667E0
2.846054174E-2,3.861968994E-1,6.587201843E0,7.274123383E0
3.841554187E-2,3.956272888E-1,6.587201843E0,7.244485016E0
4.837054200E-2,4.073030090E-1,6.600973206E0,7.234306183E0
5.832554167E-2,4.105961609E-1,6.579418030E0,7.273824005E0
6.827954203E-2,3.956272888E-1,6.575675812E0,7.290439453E0
7.823454170E-2,3.611988831E-1,6.599176941E0,7.272327118E0
8.818954183E-2,4.076023865E-1,6.621031494E0,7.268584900E0
9.814454196E-2,3.390449524E-1,6.612050171E0,7.279661865E0
1.080995416E-1,3.100053406E-1,6.614894257E0,7.287894745E0
1.180535420E-1,2.920426941E-1,6.613547058E0,7.288194122E0
1.280085417E-1,3.080593872E-1,6.599476318E0,7.304809570E0
1.379635418E-1,3.188369751E-1,6.595584412E0,7.266938324E0
1.479185419E-1,3.353027344E-1,6.574029236E0,7.234605560E0
1.578725418E-1,3.424877930E-1,6.600973206E0,7.231312408E0
1.678275419E-1,4.013154602E-1,6.583459625E0,7.276967468E0
1.777825416E-1,4.523593140E-1,6.600075073E0,7.289691010E0
1.877375417E-1,4.822970581E-1,6.622977448E0,7.327113190E0
1.976925419E-1,4.903802490E-1,6.606362000E0,7.333998871E0
2.076465418E-1,4.914280701E-1,6.583459625E0,7.303612061E0
2.176015419E-1,4.953199768E-1,6.573879547E0,7.257957001E0
2.275565420E-1,4.514611816E-1,6.571035461E0,7.187603302E0
2.375115417E-1,4.228706360E-1,6.577921143E0,7.191195831E0
2.474665418E-1,3.538641357E-1,6.583459625E0,7.216493225E0
2.574205417E-1,3.653901672E-1,6.615343323E0,7.228917389E0
2.673755419E-1,3.833528137E-1,6.672973480E0,7.242089996E0
2.773305420E-1,3.611988831E-1,6.664890289E0,7.251071320E0
2.872855416E-1,3.782633972E-1,6.651268616E0,7.243137817E0
2.972395420E-1,3.796105957E-1,6.655310211E0,7.194638672E0
3.071945417E-1,3.402424622E-1,6.647676086E0,7.159162445E0
3.171495418E-1,3.143463135E-1,6.640940094E0,7.195237427E0
3.271045419E-1,2.799179077E-1,6.643784180E0,7.221582642E0
3.370595416E-1,2.330653381E-1,6.644083557E0,7.273824005E0
3.470135420E-1,2.758763123E-1,6.643484802E0,7.310797119E0
3.569685416E-1,3.775149536E-1,6.613696747E0,7.286846924E0
3.669235418E-1,4.342469788E-1,6.590794373E0,7.240892487E0
3.768785419E-1,4.379891968E-1,6.585704956E0,7.200775909E0
3.868325418E-1,4.047583008E-1,6.592440948E0,7.205416260E0
3.967875419E-1,4.326004028E-1,6.592141571E0,7.248526611E0
4.067425416E-1,4.237687683E-1,6.615193634E0,7.266788635E0
4.166975417E-1,4.599934387E-1,6.638395386E0,7.240144043E0
4.266525418E-1,4.773573303E-1,6.655459900E0,7.214996338E0
4.366065417E-1,4.531077576E-1,6.667884064E0,7.209607544E0
4.465615419E-1,4.242178345E-1,6.672225037E0,7.199728088E0
4.565165420E-1,3.878434753E-1,6.660549316E0,7.196584625E0
4.664715417E-1,3.698808289E-1,6.660699005E0,7.217690735E0
4.764265418E-1,3.465293884E-1,6.639143829E0,7.265142059E0
4.863805417E-1,3.107537842E-1,6.606661377E0,7.302115173E0
4.963355418E-1,2.725831604E-1,6.598877563E0,7.296127625E0
5.062905420E-1,2.146536255E-1,6.586303711E0,7.283104706E0
5.162455416E-1,2.478845215E-1,6.586004333E0,7.270530853E0
5.261995420E-1,2.715353394E-1,6.575376434E0,7.277117157E0
5.361545417E-1,3.156935120E-1,6.608607330E0,7.268435211E0
5.461095418E-1,2.933898926E-1,6.606362000E0,7.288643188E0
5.560645419E-1,2.592608643E-1,6.614744568E0,7.266938324E0
