Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.003457378,0.3550500274,3.5239501,9.013950348
0.005980448,-0.3889500201,3.583950281,10.11300087
0.008504217,0.1420500129,3.615000248,8.925000191
0.011028217,0.6540000439,3.373050213,9.325050354
0.013552264,0.337950021,3.676950216,9.136050224
0.016076264,0.3100500107,3.49695015,9.091050148
0.018600264,0.4890000224,3.550050259,9.249000549
0.021124187,0.1609500051,3.607950211,9.205050468
0.023648207,0.09900000691,3.71295023,9.004050255
0.026172207,0.228000015,3.67200017,9.186000824
0.028696207,0.1590000093,3.64800024,9.11700058
0.031220207,0.3019500077,3.694050074,9.06704998
0.033744221,0.2569500208,3.736950159,9.150000572
0.036267993,0.2070000172,3.7660501,9.012000084
0.038791991,0.3100500107,3.732000113,9.097949982
0.041315991,0.2070000172,3.733950138,9.17400074
0.043840005,0.1969500035,3.772950172,9.043050766
0.046364005,0.1080000028,3.801000118,9.079050064
0.04888793,0.0270000007,3.787050247,9.103050232
0.051411928,-0.02205000073,3.78000021,9.12405014
0.053935938,-0.0390000008,3.784950256,9.148050308
0.056459938,-0.08205000311,3.805950165,9.052050591
0.058983938,-0.09195000678,3.778050184,9.052050591
0.061507709,-0.06795000285,3.787050247,9.05700016
0.064031692,-0.06795000285,3.799050093,8.977950096
0.066555692,-0.09900000691,3.784950256,9.064050674
0.069079692,-0.1609500051,3.796950102,8.93295002
0.071603692,-0.1369500011,3.760950089,9.040050507
0.074127697,-0.1630500108,3.7660501,8.992050171
0.076651622,-0.166050002,3.744000196,9.085950851
0.07917562,-0.1900500059,3.75600028,9.034950256
0.08169962,-0.1990500093,3.748950243,9.105000496
0.084223653,-0.1630500108,3.732000113,9.148050308
0.086747653,-0.1729500145,3.709950209,9.129000664
0.089271424,-0.1489500105,3.73905015,9.115050316
0.091795422,-0.1129500046,3.748950243,9.237000465
0.094319413,-0.1710000038,3.745950222,9.12405014
0.096843413,-0.1710000038,3.748950243,9.229050636
0.099367413,-0.1540500075,3.781950235,9.244050026
0.101891338,-0.2089500129,3.796950102,9.141000748
0.104415341,-0.184950009,3.796950102,9.190950394
0.106939342,-0.228000015,3.835050106,9.217050552
0.109463342,-0.2639999986,3.864000082,9.138000488
0.111987342,-0.2779500186,3.864000082,9.129000664
0.114511351,-0.3409500122,3.897000074,9.10695076
0.117035122,-0.3499500155,3.909000158,9.05505085
0.11955912,-0.2880000174,3.889950275,9.115050316
0.12208312,-0.3100500107,3.907050133,9.091050148
0.12460713,-0.3259500265,3.924000263,9.009000778
0.12713113,-0.3220500052,3.925950289,9.0499506
0.129655055,-0.3100500107,3.901950121,9.070950508
0.132179053,-0.3499500155,3.88800025,9.061950684
0.134703043,-0.4080000222,3.909000158,9.073950768
0.137227043,-0.4240500331,3.892050266,9.115050316
0.139751043,-0.4770000279,3.873000145,9.058950424
0.142275043,-0.5130000114,3.873000145,9.05700016
0.144798824,-0.4530000091,3.868050098,9.115050316
0.147322822,-0.4750500321,3.865950108,9.037950516
0.149846822,-0.4770000279,3.856950283,9.0499506
0.152370822,-0.4170000255,3.844950199,9.06704998
0.154894822,-0.4630500078,3.844950199,8.992050171
0.157418747,-0.45600003,3.837000132,9.105000496
0.159942745,-0.4600500166,3.829950094,9.085950851
0.162466745,-0.5269500017,3.844950199,9.05700016
0.164990754,-0.5350500345,3.837000132,9.045000076
0.167514754,-0.5490000248,3.832950115,9.172050476
0.170038526,-0.5850000381,3.82095027,9.058950424
0.172562524,-0.5509500504,3.832950115,9.088050842
0.17508651,-0.5539500117,3.835050106,9.061950684
0.17761051,-0.541950047,3.82095027,9.013950348
0.18013451,-0.4840500355,3.816000223,9.079050064
0.18265851,-0.5200500488,3.82095027,9.045000076
0.18518242,-0.4890000224,3.817950249,9.052050591
0.187706418,-0.5230500102,3.828000069,9.079050064
0.190230418,-0.5029500127,3.811050177,9.05505085
0.192754418,-0.5010000467,3.817950249,9.082950592
0.195278404,-0.5250000358,3.804000139,9.070950508
0.197802175,-0.4870500267,3.82095027,9.073950768
0.200326173,-0.4939500093,3.825000286,9.070950508
0.202850173,-0.4870500267,3.808950186,9.079050064
0.205374158,-0.4360500276,3.816000223,9.064050674
0.207898158,-0.4459500313,3.804000139,9.076050758
0.210422158,-0.433950007,3.811050177,9.052050591
0.212946083,-0.4200000167,3.793950081,9.093000412
0.215470077,-0.4219500124,3.781950235,9.091050148
0.217994077,-0.4080000222,3.768000126,9.118950844
0.220518077,-0.4240500331,3.768000126,9.129000664
0.223042077,-0.433950007,3.778050184,9.130949974
0.225565852,-0.4390500188,3.760950089,9.177000046
0.22808985,-0.42900002,3.75600028,9.198000908
0.230614081,-0.4920000136,3.7660501,9.172050476
0.233137852,-0.5250000358,3.775050163,9.198000908
0.23566185,-0.5590500236,3.763050079,9.181950569
0.23818585,-0.5779500008,3.763050079,9.166950226
0.240709775,-0.6040500402,3.763050079,9.130949974
0.243233773,-0.5200500488,3.748950243,9.217050552
0.245757773,-0.5350500345,3.742050171,9.093000412
0.24828176,-0.4800000191,3.732000113,9.094950676
0.25080576,-0.4579500258,3.71505022,9.141000748
0.25332976,-0.4390500188,3.69900012,9.097949982
0.255853532,-0.433950007,3.700950146,9.076050758
0.258377548,-0.42900002,3.700950146,9.112050056
0.260901548,-0.4360500276,3.676950216,9.103050232
0.263425548,-0.3720000088,3.655050278,9.073950768
0.265949473,-0.3570000231,3.655050278,9.079050064
0.268473457,-0.3720000088,3.63105011,9.070950508
0.270997457,-0.364950031,3.634050131,9.091050148
0.273521457,-0.3790500164,3.636000156,9.112050056
0.276045457,-0.3739500046,3.60495019,9.115050316
0.278569457,-0.3930000067,3.592950106,9.138000488
0.281093228,-0.4030500054,3.576000214,9.153000832
0.283617226,-0.4480500221,3.588000059,9.142950058
0.286141226,-0.4870500267,3.583950281,9.18900013
0.288665231,-0.5299500227,3.612000227,9.193950653
0.291189231,-0.5320500135,3.60495019,9.193950653
0.293713156,-0.4990500212,3.571950197,9.226950645
0.296237154,-0.4840500355,3.58095026,9.202950478
0.298761154,-0.5029500127,3.607950211,9.115050316
0.301285154,-0.4240500331,3.556950092,9.237000465
0.303809154,-0.4200000167,3.550050259,9.214950562
0.306332925,-0.3889500201,3.568950176,9.190950394
0.308856928,-0.3790500164,3.555000067,9.202950478
0.311380928,-0.364950031,3.562050104,9.097949982
0.313904928,-0.3859500289,3.514050245,9.507000923
0.316428928,-0.2590500116,3.519000053,9.273000717
0.318952923,-0.1560000032,3.507000208,9.234000206
0.321476848,-0.1780500114,3.519000053,9.423000336
0.324000846,-0.2310000062,3.520950079,9.190950394
0.326524846,-0.1249500066,3.493050098,9.358950615
0.329048836,-0.2760000229,3.531000137,9.322950363
0.331572837,-0.2520000041,3.532950163,9.229050636
0.334096608,-0.2140500098,3.550050259,9.262950897
0.336620606,-0.3330000043,3.5400002,9.30600071
0.339144847,-0.2539499998,3.529050112,9.24600029
0.341668618,-0.2929500043,3.5239501,9.334950447
0.344192616,-0.3670500219,3.555000067,9.162000656
0.346716541,-0.4030500054,3.538050175,9.201000214
0.349240539,-0.3979500234,3.517050266,9.325050354
0.351764616,-0.4459500313,3.5400002,9.112050056
0.354288541,-0.4990500212,3.552000284,9.17400074
0.356812539,-0.4390500188,3.526050091,9.202950478
0.359336553,-0.3930000067,3.511950254,9.100049973
0.361860553,-0.3769500256,3.526050091,9.0
0.364384324,-0.3360000253,3.517050266,9.091050148
0.366908322,-0.2779500186,3.487950087,9.334950447
0.369432322,-0.1920000017,3.532950163,8.455950737
0.371956322,-0.3139500022,3.555000067,9.92400074
0.374480322,-0.1110000089,3.469050169,9.181950569
0.377004247,-0.1590000093,3.567000151,8.99505043
0.379528241,-0.08400000632,3.56400013,9.268050194
0.382052241,-0.07005000114,3.562050104,9.18405056
0.384576241,-0.07695000619,3.555000067,9.073950768
0.387100241,-0.0580500029,3.531000137,9.478050232
0.38962425,-0.07695000619,3.60495019,9.040050507
0.392148021,-0.1590000093,3.634050131,9.210000038
0.394672019,-0.08700000495,3.555000067,9.532950401
0.39719602,-0.1420500129,3.610050201,9.058950424
0.399720011,-0.1420500129,3.607950211,9.439949989
0.402244011,-0.1369500011,3.670050144,9.330000877
0.404767936,-0.1830000132,3.667050123,9.213000298
0.407291934,-0.1540500075,3.64800024,9.399000168
0.409815919,-0.1710000038,3.664950132,9.37305069
0.412339919,-0.2040000111,3.694050074,9.238950729
0.41486369,-0.1920000017,3.706050158,9.310950279
0.417387919,-0.2209500074,3.724950075,9.292050362
0.419911671,-0.1830000132,3.703050137,9.330000877
0.422435669,-0.1950000077,3.71505022,9.292050362
0.424959669,-0.1420500129,3.730050087,9.238950729
0.427483669,-0.1110000089,3.720000267,9.270000458
0.430007603,-0.1039500013,3.724950075,9.153000832
0.432531601,-0.1230000034,3.71295023,9.138000488
0.435055601,-0.1540500075,3.688950062,9.258000374
0.437579601,-0.1729500145,3.667050123,9.234000206
0.440103616,-0.2520000041,3.709950209,9.177000046
0.442627387,-0.3070500195,3.708000183,9.141000748
0.445151385,-0.3169500232,3.71295023,9.082950592
0.447675616,-0.3810000122,3.655050278,9.454050064
0.450199373,-0.3840000033,3.687000275,9.232050896
0.452723371,-0.3600000143,3.67200017,9.292050362
0.455247371,-0.3769500256,3.703050137,9.358950615
0.457771371,-0.3480000198,3.696000099,9.11700058
0.460295371,-0.3139500022,3.684000254,9.238950729
