Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.541873072,45.08070167,9.200573333,63.64534121,0.01595638879,201.7100067,2.0,12.0
1.041873072,45.08070333,9.200571667,63.64533239,0.06176666543,240.2400055,1.899999976,9.0
1.898873072,45.0807,9.200576667,63.54535383,0.113238886,231.2100067,1.700000048,8.899999619
2.398873072,45.08069667,9.20058,63.44537147,0.1430927813,232.9799957,1.600000024,9.5
2.898873072,45.08069667,9.200585,63.14538285,0.1106652766,218.2599945,1.5,10.10000038
3.398873072,45.08069667,9.200591667,63.04539803,0.06588444114,189.8600006,1.399999976,11.10000038
4.398873072,45.08069667,9.200591667,62.94539803,0.02985388972,259.1300049,1.399999976,12.0
5.398873072,45.08069667,9.200585,63.04538285,0.5425172448,293.8099976,1.299999952,9.699999809
6.398873072,45.08069833,9.200575,63.14535506,0.8837780356,286.4700012,1.399999976,9.300000191
7.398873072,45.08070333,9.200553333,63.24529066,1.524092555,288.8299866,1.399999976,8.899999619
8.398873072,45.08070333,9.200528333,63.34523375,1.614168882,281.2799988,1.5,8.899999619
9.398873072,45.08070333,9.200503333,63.64517684,1.819543004,287.3299866,1.5,8.699999809
10.39887307,45.080705,9.200475,63.84510731,1.879765511,275.3900146,1.5,8.300000191
11.39887307,45.08071,9.200448333,64.04503152,1.978592277,285.4200134,1.5,8.300000191
12.39887307,45.080715,9.20042,63.84495194,2.03418231,281.0299988,1.5,8.0
13.39887307,45.08071833,9.200395,64.14488498,2.125802755,283.9500122,1.5,7.900000095
14.39887307,45.08072333,9.200371667,64.44481678,2.048594475,288.3599854,1.600000024,7.900000095
15.39887307,45.08073,9.200343333,64.34473218,2.07175684,285.9400024,1.600000024,7.800000191
16.39887307,45.080735,9.200316667,64.34465639,2.054256439,281.8200073,1.600000024,7.800000191
17.39887307,45.08074,9.200288333,64.14457682,2.101096153,284.8200073,1.600000024,7.900000095
18.39887307,45.08074333,9.200263333,64.44450985,2.018740654,283.2799988,1.600000024,8.0
19.39887307,45.080745,9.200238333,64.24444792,1.839102507,277.6000061,1.5,7.800000191
20.39887307,45.08074667,9.20022,64.44440116,1.976533294,278.0499878,1.5,7.800000191
21.39887307,45.08075,9.200205,64.64435696,1.860206127,280.9100037,1.5,7.800000191
22.39887307,45.08075333,9.200198333,64.84433173,1.668729424,154.6399994,1.399999976,7.699999809
23.39887307,45.08075167,9.200196667,64.94433296,1.460266948,217.3600006,1.399999976,7.400000095
24.39887307,45.08075,9.200193333,65.3443304,1.259525299,228.0599976,1.299999952,7.300000191
25.39887307,45.08075167,9.200191667,65.34432158,1.057239413,256.7099915,1.299999952,7.300000191
26.39887307,45.08075,9.20019,65.34432281,0.8564977646,219.2400055,1.299999952,7.0
27.39887307,45.08075,9.20019,65.34432281,0.6480352879,260.7900085,1.299999952,7.0
28.39887307,45.08074833,9.200186667,65.44432025,0.4524408281,296.0100098,1.299999952,7.400000095
29.39887307,45.08074833,9.200186667,65.44432025,0.2614789009,252.75,1.299999952,7.199999809
30.39887307,45.08074833,9.200186667,65.44432025,0.1266216636,341.269989,1.299999952,7.199999809
31.39887307,45.08074833,9.200181667,65.74430887,0.0,109.5299988,1.299999952,7.400000095
