Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.544549136,45.083965,9.201335,63.5372285,0.002573611215,94.81999969,2.0,10.5
1.044549136,45.08396667,9.201323333,63.73719696,0.05301639065,128.7899933,1.799999952,10.0
1.634549136,45.08396667,9.201323333,63.73719696,0.07978194207,284.5299988,1.600000024,10.39999962
2.134549136,45.08396667,9.201323333,63.73719696,0.1487547159,306.0700073,1.600000024,10.80000019
2.634549136,45.08396667,9.201323333,63.73719696,0.07000222057,293.8800049,1.5,11.39999962
3.134549136,45.08396667,9.201323333,63.73719696,0.0,293.8800049,1.5,12.10000038
4.134549136,45.08396667,9.201323333,63.73719696,0.0,293.8800049,1.399999976,12.89999962
5.634549136,45.08396667,9.201323333,63.73719696,0.0,293.8800049,1.399999976,10.10000038
6.634549136,45.08396667,9.201323333,63.73719696,0.0,293.8800049,1.399999976,8.899999619
7.634549136,45.08398167,9.201313333,62.53712898,0.0,293.8800049,1.299999952,8.600000381
8.634549136,45.08398167,9.201315,62.43713277,0.02007416636,62.72999954,1.299999952,8.199999809
9.634549136,45.08398,9.201316667,62.43714158,0.02316249907,251.3099976,1.299999952,7.800000191
10.63454914,45.08397833,9.201318333,62.3371504,0.09934139252,186.3600006,1.299999952,7.400000095
11.63454914,45.08397333,9.201316667,62.2371617,0.4215574861,206.3099976,1.299999952,7.099999905
12.63454914,45.08395667,9.201315,62.4372082,2.110875845,190.4600067,1.299999952,7.199999809
13.63454914,45.083935,9.201308333,62.03725843,2.331691742,193.1999969,1.5,7.5
14.63454914,45.08391167,9.201303333,61.83731747,2.840237141,191.7599945,1.5,7.5
15.63454914,45.08388667,9.201296667,61.53737775,2.77795577,193.3800049,1.600000024,7.5
16.63454914,45.08386,9.201286667,61.63743549,2.92619586,191.8800049,1.600000024,7.5
17.63454914,45.08383,9.201283333,61.33751843,3.061053038,188.9799957,1.600000024,7.5
18.63454914,45.0838,9.201276667,61.4375938,3.126937389,192.6199951,1.600000024,7.400000095
19.63454914,45.08377333,9.201268333,61.53765533,2.248306751,190.5899963,1.799999952,7.900000095
20.63454914,45.08374833,9.201261667,61.33771561,2.553022146,189.8899994,2.0,8.5
21.63454914,45.08372,9.201251667,60.93777837,2.833545923,191.4199982,1.700000048,7.300000191
22.63454914,45.08369333,9.201243333,60.8378399,2.936490297,196.1900024,1.899999976,7.800000191
23.63454914,45.083665,9.201233333,60.93790266,3.019360542,192.6199951,2.0,8.300000191
24.63454914,45.08363833,9.201225,60.93796418,3.041493654,194.8399963,2.099999905,8.800000191
25.63454914,45.08361167,9.201216667,61.0380257,3.082156658,190.0700073,2.099999905,8.899999619
26.63454914,45.08358167,9.201208333,61.03809728,3.123334408,194.3600006,2.099999905,9.0
27.63454914,45.08355167,9.2012,60.93816885,3.134658337,192.75,2.099999905,9.0
28.63454914,45.083525,9.20119,60.93822658,3.153188229,194.8099976,2.099999905,8.899999619
29.63454914,45.0835,9.20118,60.63827928,3.180468559,194.3899994,2.099999905,9.0
30.63454914,45.08347,9.201171667,60.43835086,3.188704252,190.7700043,2.099999905,8.899999619
31.63454914,45.08344167,9.201161667,60.53841361,3.199513435,196.7899933,2.099999905,8.899999619
32.63454914,45.08341167,9.20115,60.73847761,3.235543966,195.9299927,2.200000048,8.600000381
33.63454914,45.08338167,9.201136667,60.73853782,3.273633242,196.9600067,2.200000048,8.199999809
34.63454914,45.08335167,9.201123333,60.93859802,3.278265715,200.4600067,2.200000048,8.199999809
35.63454914,45.08332333,9.201111667,60.93865699,3.280324697,196.9499969,2.200000048,8.199999809
