Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.006552797,0.4170000255,3.912000179,8.413050652
0.009076882,0.2659500241,3.861000299,9.565050125
0.011600882,0.295050025,3.852000237,9.037950516
0.014124881,0.2590500116,3.835050106,9.081000328
0.016649112,0.2209500074,3.868050098,9.17895031
0.019173112,0.2689500153,3.844950199,8.971050262
0.021697112,0.1609500051,3.832950115,9.097949982
0.024221194,0.2230500132,3.825000286,9.019050598
0.026745196,0.1780500114,3.84705019,9.105000496
0.029269196,0.2040000111,3.841950178,8.965950012
0.031793424,0.166050002,3.828000069,9.153000832
0.034317445,0.1369500011,3.82095027,9.009000778
0.036841445,0.1950000077,3.865950108,9.021000862
0.039365445,0.1420500129,3.84705019,8.98995018
0.04188952,0.1750500053,3.835050106,9.001950264
0.044413532,0.1609500051,3.837000132,9.073950768
0.046937761,0.1780500114,3.837000132,9.031050682
0.049461763,0.1830000132,3.84705019,9.031050682
0.051985763,0.2140500098,3.852000237,9.045000076
0.054509838,0.228000015,3.837000132,9.045000076
0.05703384,0.2190000117,3.841950178,9.079050064
0.05955784,0.2260500044,3.859050274,9.129000664
0.06208184,0.2190000117,3.873000145,9.079050064
0.064606078,0.2160000056,3.856950283,9.088050842
0.06713008,0.2190000117,3.84705019,9.100049973
0.069654155,0.2110500038,3.880050182,9.10695076
0.07217808,0.2230500132,3.880050182,9.115050316
0.07470216,0.228000015,3.876000166,9.094950676
0.077226162,0.2329500169,3.864000082,9.105000496
0.07975039,0.2400000095,3.889950275,9.109950066
0.082274393,0.2190000117,3.88800025,9.088050842
0.084798417,0.2310000062,3.865950108,9.093000412
0.087322491,0.2160000056,3.871050119,9.088050842
0.089846493,0.2400000095,3.873000145,9.088050842
0.092370722,0.2400000095,3.883050203,9.073950768
0.094894743,0.2430000156,3.873000145,9.052050591
0.097418743,0.2500500083,3.873000145,9.070950508
0.099942743,0.2260500044,3.871050119,9.069000244
0.102466818,0.2230500132,3.889950275,9.052050591
0.10499082,0.2209500074,3.876000166,9.061950684
0.10751482,0.1990500093,3.865950108,9.061950684
0.110039049,0.1900500059,3.873000145,9.064050674
0.112563051,0.1830000132,3.852000237,9.070950508
0.115087056,0.1780500114,3.864000082,9.064050674
0.117611131,0.1800000072,3.861000299,9.079050064
0.120135133,0.1590000093,3.856950283,9.069000244
0.122659133,0.1680000126,3.849000216,9.076050758
0.125183371,0.1680000126,3.849000216,9.079050064
0.127707373,0.1800000072,3.849000216,9.10695076
0.130231373,0.1590000093,3.828000069,9.091050148
0.132755448,0.1750500053,3.813000202,9.150000572
0.135279455,0.184950009,3.825000286,9.126000404
0.137803455,0.1729500145,3.816000223,9.12195015
0.140327683,0.1750500053,3.808950186,9.126000404
0.142851685,0.1950000077,3.823050261,9.136050224
0.14537569,0.1729500145,3.816000223,9.126000404
0.147899765,0.1870500147,3.82095027,9.136050224
0.150423767,0.1900500059,3.805950165,9.141000748
0.152947767,0.1950000077,3.808950186,9.12195015
0.155471767,0.1750500053,3.813000202,9.10695076
0.157995996,0.1639500111,3.813000202,9.103050232
0.160519998,0.1440000087,3.804000139,9.115050316
0.163043998,0.1420500129,3.805950165,9.100049973
0.165568068,0.1399500072,3.813000202,9.112050056
0.16809207,0.1420500129,3.808950186,9.097949982
0.17061607,0.1489500105,3.808950186,9.093000412
0.173140299,0.1279500127,3.816000223,9.097949982
0.175664319,0.1249500066,3.825000286,9.081000328
0.178188319,0.09900000691,3.808950186,9.079050064
0.180712394,0.1080000028,3.825000286,9.093000412
0.183236396,0.08700000495,3.811050177,9.094950676
0.185760391,0.08700000495,3.804000139,9.082950592
0.18828462,0.07995000482,3.813000202,9.103050232
0.190808622,0.07995000482,3.805950165,9.097949982
0.193332622,0.07695000619,3.805950165,9.11700058
0.195856684,0.07005000114,3.793950081,9.126000404
0.198380686,0.07500000298,3.799050093,9.133950233
0.200904686,0.06105000153,3.805950165,9.142950058
0.203428686,0.05295000225,3.801000118,9.115050316
0.205952918,0.02895000204,3.813000202,9.129000664
0.20847692,0.01995000057,3.805950165,9.133950233
0.211000995,-0.001050000079,3.801000118,9.133950233
0.213524997,-0.02895000204,3.82095027,9.129000664
0.216049222,-0.02895000204,3.823050261,9.130949974
0.218573224,-0.04095000029,3.825000286,9.10695076
0.221097224,-0.0390000008,3.832950115,9.12195015
0.223621299,-0.06300000101,3.832950115,9.115050316
0.226145204,-0.06495000422,3.832950115,9.109950066
0.228669279,-0.07500000298,3.835050106,9.103050232
0.231193281,-0.07500000298,3.841950178,9.118950844
0.23371751,-0.1039500013,3.844950199,9.10695076
0.236241532,-0.09195000678,3.856950283,9.12195015
0.238765532,-0.1159500033,3.861000299,9.109950066
0.241289532,-0.106050007,3.861000299,9.094950676
0.243813607,-0.1039500013,3.871050119,9.073950768
0.246337604,-0.1039500013,3.856950283,9.069000244
0.248861604,-0.09600000083,3.876000166,9.082950592
0.251385833,-0.09195000678,3.871050119,9.061950684
0.253909835,-0.09405000508,3.852000237,9.081000328
0.256433909,-0.1009500027,3.853950262,9.061950684
0.258957911,-0.07500000298,3.877950191,9.064050674
0.261481911,-0.0580500029,3.871050119,9.069000244
0.26400614,-0.07005000114,3.841950178,9.10695076
0.266530146,-0.06300000101,3.856950283,9.103050232
0.269054146,-0.0580500029,3.859050274,9.094950676
0.271578146,-0.04395000264,3.853950262,9.109950066
