"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.012833022E-3,6.381230164E-1,6.847211151E0,6.934180298E0
1.196783315E-2,6.891668701E-1,6.829847260E0,7.004983063E0
2.192283329E-2,7.209008789E-1,6.808890839E0,7.084467773E0
3.187783342E-2,7.216493225E-1,6.809639282E0,7.112758942E0
4.183283309E-2,7.571255493E-1,6.824757843E0,7.096293182E0
5.178783322E-2,7.824229431E-1,6.836732941E0,7.041207733E0
6.174283335E-2,8.330177307E-1,6.822512512E0,6.984475708E0
7.169783302E-2,8.662486267E-1,6.778803406E0,6.979835358E0
8.165283315E-2,8.325686646E-1,6.754254456E0,7.014263763E0
9.160783328E-2,7.547305298E-1,6.752158813E0,7.025340729E0
1.015638332E-1,7.135661316E-1,6.775809631E0,7.031627655E0
1.115188333E-1,7.203021240E-1,6.806645508E0,7.034172363E0
1.214738335E-1,7.524851990E-1,6.823859711E0,7.075187073E0
1.314288331E-1,7.628137207E-1,6.820865936E0,7.082372131E0
1.413838333E-1,7.628137207E-1,6.791676636E0,7.081174622E0
1.513388334E-1,7.473957825E-1,6.753655701E0,7.065606995E0
1.612938331E-1,7.515870667E-1,6.747518463E0,7.063661041E0
1.712488332E-1,7.479945374E-1,6.746320953E0,7.055727539E0
1.812038333E-1,7.720944214E-1,6.742728424E0,7.065906372E0
1.911588334E-1,8.125103760E-1,6.730004883E0,7.110513611E0
2.011138331E-1,8.511300659E-1,6.717730408E0,7.176676025E0
2.110688332E-1,9.286688232E-1,6.699019318E0,7.182962952E0
2.210238334E-1,9.053173828E-1,6.667734375E0,7.195686493E0
2.309788330E-1,8.509803772E-1,6.647825775E0,7.189399567E0
2.409348334E-1,8.728349304E-1,6.619384918E0,7.151678009E0
2.508898331E-1,8.783734131E-1,6.621031494E0,7.106472015E0
2.608448332E-1,8.584648132E-1,6.639293518E0,7.109765167E0
2.707998333E-1,8.436456299E-1,6.663543091E0,7.124284973E0
2.807548330E-1,7.598199463E-1,6.666087799E0,7.156168671E0
2.907098331E-1,7.518864441E-1,6.675069122E0,7.185507660E0
3.006648333E-1,8.294252014E-1,6.681655426E0,7.194488983E0
3.106198334E-1,9.006770325E-1,6.664890289E0,7.180717621E0
3.205748331E-1,9.231303406E-1,6.654262390E0,7.148085480E0
3.305298332E-1,8.881031799E-1,6.654711456E0,7.113956451E0
3.404848333E-1,8.647517395E-1,6.682703247E0,7.096592560E0
3.504398335E-1,8.640032959E-1,6.702312469E0,7.129823456E0
3.603948331E-1,8.982820129E-1,6.693031769E0,7.207212524E0
3.703508331E-1,9.400451660E-1,6.656208344E0,7.219037933E0
3.803058332E-1,9.023236084E-1,6.662195892E0,7.194488983E0
3.902608333E-1,8.631051636E-1,6.678961029E0,7.125931549E0
4.002158334E-1,8.890013123E-1,6.694229279E0,7.120393066E0
4.101708331E-1,9.113049316E-1,6.705006866E0,7.127428436E0
4.201258332E-1,8.930429077E-1,6.734345856E0,7.163054352E0
4.300808334E-1,8.635542297E-1,6.715934143E0,7.193291473E0
4.400358330E-1,8.253836060E-1,6.717431030E0,7.163653107E0
4.499908332E-1,8.140072632E-1,6.722520447E0,7.133565674E0
4.599458333E-1,8.376580811E-1,6.685846710E0,7.087611237E0
4.699008334E-1,8.321195984E-1,6.615193634E0,7.025789795E0
4.798558331E-1,7.441026306E-1,6.752308502E0,6.950047302E0
4.898108332E-1,7.888595581E-1,6.756649475E0,7.029232635E0
4.997668331E-1,6.614744568E-1,6.826853485E0,7.085665283E0
5.097218333E-1,7.988887024E-1,6.731202393E0,7.191644897E0
5.196768334E-1,7.765850830E-1,6.723119202E0,7.083869019E0
5.296318331E-1,7.441026306E-1,6.815776520E0,6.949298859E0
5.395868332E-1,6.556365967E-1,6.905889130E0,6.959328003E0
5.495418333E-1,4.587959290E-1,6.930737457E0,6.992858276E0
5.594968335E-1,3.998185730E-1,6.887926483E0,7.014862518E0
5.694518331E-1,4.273612976E-1,6.917564850E0,7.016359406E0
5.794068333E-1,4.174818420E-1,6.915020142E0,7.048841858E0
5.893618334E-1,3.908372498E-1,6.900500336E0,7.058871002E0
5.993168331E-1,3.767665100E-1,6.882837067E0,7.070247345E0
6.092718332E-1,4.035607910E-1,6.854845276E0,7.102280731E0
6.192268333E-1,5.725593567E-1,6.819219360E0,7.068151703E0
6.291818335E-1,7.048841858E-1,6.724017334E0,7.094047852E0
6.391360834E-1,7.914042664E-1,6.693031769E0,7.069648590E0
6.490910831E-1,9.277706909E-1,6.693181458E0,7.081773376E0
6.590460832E-1,9.906399536E-1,6.665638733E0,7.113507385E0
6.690010834E-1,1.041833496E0,6.625222778E0,7.073839874E0
6.789560830E-1,1.026864624E0,6.646328888E0,7.104226685E0
6.889110832E-1,1.056502991E0,6.682403870E0,7.104076996E0
6.988660833E-1,1.054856415E0,6.691085815E0,7.154372406E0
7.088210834E-1,1.050964508E0,6.668333130E0,7.156468048E0
7.187760831E-1,1.068627777E0,6.662046204E0,7.135960693E0
7.287310832E-1,9.975256348E-1,6.669081573E0,7.131619720E0
7.386860834E-1,9.553134155E-1,6.705306244E0,7.056326294E0
7.486410830E-1,9.105564880E-1,6.716532898E0,7.097790070E0
7.585960831E-1,8.825646973E-1,6.734944611E0,7.087311859E0
7.685510833E-1,8.593629456E-1,6.715634766E0,7.117249603E0
7.785070832E-1,9.313632202E-1,6.760242004E0,7.052883453E0
7.884620833E-1,9.439370728E-1,6.783144379E0,7.092401276E0
7.984170835E-1,9.782157898E-1,6.754104767E0,7.106472015E0
8.083720831E-1,1.004860382E0,6.742578735E0,7.083569641E0
8.183270833E-1,9.648934937E-1,6.706054688E0,7.128625946E0
8.282820834E-1,8.878038025E-1,6.750512238E0,7.046746216E0
8.382370831E-1,8.375083923E-1,6.737639008E0,7.062912598E0
8.481920832E-1,8.385562134E-1,6.760092316E0,6.999743958E0
8.581470833E-1,8.901988220E-1,6.715036011E0,7.063211975E0
8.681020834E-1,9.056167603E-1,6.716532898E0,7.150929565E0
8.780570831E-1,9.026229858E-1,6.690786438E0,7.189399567E0
8.880120832E-1,9.222322083E-1,6.670428772E0,7.201075287E0
8.979670834E-1,9.147477722E-1,6.664291534E0,7.114405518E0
9.079230833E-1,9.681866455E-1,6.614744568E0,7.136409760E0
9.178780834E-1,9.547146606E-1,6.589746552E0,7.195985870E0
9.278330831E-1,8.970845032E-1,6.545289001E0,7.255561981E0
9.377880832E-1,8.740324402E-1,6.623875580E0,7.274871826E0
9.477430834E-1,8.128097534E-1,6.752607880E0,7.190148010E0
9.576980830E-1,7.710466003E-1,6.780300293E0,7.129524078E0
9.676530831E-1,7.014413452E-1,6.748566284E0,7.086713104E0
9.776080833E-1,6.113287354E-1,6.679559784E0,7.100783844E0
9.875630834E-1,5.692662048E-1,6.719676361E0,7.058122559E0
9.975180831E-1,5.692662048E-1,6.771019592E0,7.030280457E0
1.007473083E0,6.174659729E-1,6.793472900E0,7.054530029E0
1.017428083E0,6.572831726E-1,6.810836792E0,7.084617462E0
1.027383083E0,6.450086975E-1,6.815177765E0,7.094197540E0
1.037338083E0,5.902226257E-1,6.815028076E0,7.049739990E0
1.047294083E0,5.535488892E-1,6.822811890E0,7.031178589E0
1.057249083E0,5.459147644E-1,6.861281891E0,7.012467499E0
1.067204083E0,6.212081909E-1,6.828200684E0,7.039710846E0
1.077159083E0,6.722520447E-1,6.786138153E0,7.065008240E0
1.087114083E0,7.159611511E-1,6.760092316E0,7.068900146E0
1.097069083E0,7.794291687E-1,6.750512238E0,7.095544739E0
1.107024083E0,8.403524780E-1,6.733747101E0,7.106022949E0
1.116979083E0,9.024732971E-1,6.691684570E0,7.151079254E0
1.126934083E0,9.286688232E-1,6.652466125E0,7.154073029E0
1.136889083E0,9.087602234E-1,6.624624023E0,7.149432678E0
1.146844083E0,9.000782776E-1,6.640640717E0,7.123835907E0
1.156799083E0,8.783734131E-1,6.666686554E0,7.138655090E0
1.166754083E0,8.744815063E-1,6.677314453E0,7.150779877E0
1.176710083E0,8.732839966E-1,6.669231262E0,7.169790344E0
1.186665083E0,8.575666809E-1,6.677314453E0,7.189549255E0
1.196620083E0,8.063731384E-1,6.673572235E0,7.138505402E0
1.206575083E0,7.643106079E-1,6.690936127E0,7.112309875E0
1.216530083E0,7.509883118E-1,6.729555817E0,7.122488708E0
1.226485083E0,7.665559387E-1,6.763086090E0,7.106022949E0
1.236440083E0,8.285270691E-1,6.747967529E0,7.125033417E0
1.246395083E0,8.415499878E-1,6.749314728E0,7.112908630E0
1.256350083E0,8.253836060E-1,6.741381226E0,7.085515594E0
1.266305083E0,7.902067566E-1,6.742429047E0,7.074738007E0
1.276260083E0,7.673043823E-1,6.750961304E0,7.093898163E0
1.286215083E0,7.451504517E-1,6.761439514E0,7.081024933E0
1.296170083E0,6.899153137E-1,6.761888580E0,7.059619446E0
1.306125083E0,7.354206848E-1,6.763684845E0,7.064559174E0
1.316081083E0,7.711962891E-1,6.761140137E0,7.047644348E0
1.326036083E0,8.170010376E-1,6.791077881E0,7.030579834E0
1.335991083E0,8.083190918E-1,6.793472900E0,7.064409485E0
1.345946083E0,7.702981567E-1,6.808890839E0,7.091203766E0
1.355901083E0,7.490423584E-1,6.806046753E0,7.079827423E0
1.365856083E0,7.400610352E-1,6.790628815E0,7.072043610E0
1.375811083E0,7.469467163E-1,6.768923950E0,7.043602753E0
1.385766083E0,7.854167175E-1,6.751709747E0,7.038213959E0
1.395721083E0,7.937992859E-1,6.749464417E0,7.039710846E0
1.405676083E0,7.743397522E-1,6.742279358E0,7.063211975E0
1.415631083E0,7.803273010E-1,6.770121460E0,7.077432404E0
1.425586083E0,7.791297913E-1,6.771019592E0,7.117548981E0
1.435541083E0,7.909552002E-1,6.756499786E0,7.100933533E0
1.445496083E0,7.735913086E-1,6.758296051E0,7.085964661E0
1.455452083E0,7.698490906E-1,6.740483093E0,7.067702637E0
1.465407083E0,7.752378845E-1,6.768923950E0,7.042854309E0
1.475362083E0,7.909552002E-1,6.794820099E0,7.063361664E0
1.485317083E0,7.653584290E-1,6.799460449E0,7.078180847E0
1.495272083E0,7.384144592E-1,6.782845001E0,7.087311859E0
1.505227083E0,7.301815796E-1,6.771768036E0,7.077582092E0
1.515182083E0,7.640112305E-1,6.782845001E0,7.075935516E0
1.525137083E0,7.750881958E-1,6.759792938E0,7.083569641E0
1.535092083E0,7.985893250E-1,6.760840759E0,7.066355438E0
1.545047083E0,7.764353943E-1,6.749314728E0,7.073091431E0
1.555002083E0,7.803273010E-1,6.738686829E0,7.080276489E0
1.564957083E0,7.970924377E-1,6.730004883E0,7.097041626E0
1.574912083E0,7.692503357E-1,6.715185699E0,7.104825439E0
1.584868083E0,7.843688965E-1,6.733298035E0,7.087910614E0
1.594823083E0,7.728428650E-1,6.740483093E0,7.084617462E0
1.604778083E0,7.665559387E-1,6.755002899E0,7.059769135E0
1.614733083E0,7.705975342E-1,6.777156830E0,7.080875244E0
1.624688083E0,7.692503357E-1,6.790479126E0,7.121291199E0
1.634643083E0,7.671546936E-1,6.775809631E0,7.120542755E0
1.644598375E0,7.692503357E-1,6.779851227E0,7.103478241E0
1.654553375E0,7.589218140E-1,6.748266907E0,7.081923065E0
1.664508375E0,7.795788574E-1,6.740782471E0,7.048392792E0
1.674463375E0,7.927514648E-1,6.752907257E0,7.061266022E0
1.684418375E0,7.972421265E-1,6.743476868E0,7.091802521E0
1.694373375E0,7.990383911E-1,6.737639008E0,7.106172638E0
1.704328375E0,7.981402588E-1,6.743027802E0,7.115004272E0
1.714283375E0,7.640112305E-1,6.740932159E0,7.103927307E0
1.724238375E0,6.866221619E-1,6.742429047E0,7.064259796E0
1.734194375E0,6.908134460E-1,6.761888580E0,7.035669250E0
1.744149375E0,7.009922791E-1,6.801256714E0,7.041956177E0
1.754104375E0,7.101232910E-1,6.810088348E0,7.095095673E0
1.764059375E0,7.282356262E-1,6.768624573E0,7.140002289E0
1.774014375E0,6.936575317E-1,6.740782471E0,7.112459564E0
1.783969375E0,6.789880371E-1,6.747069397E0,7.103178864E0
1.793924375E0,7.038363647E-1,6.743925934E0,7.082072754E0
1.803879375E0,7.099736023E-1,6.739584961E0,7.086713104E0
1.813834375E0,7.361691284E-1,6.729855194E0,7.083419952E0
1.823789375E0,7.557783508E-1,6.734196167E0,7.082521820E0
1.833744375E0,7.505392456E-1,6.762038269E0,7.082521820E0
1.843699375E0,7.366181946E-1,6.753655701E0,7.111860809E0
1.853654375E0,7.143145752E-1,6.756499786E0,7.121889954E0
1.863609375E0,6.969506836E-1,6.767277374E0,7.114255829E0
1.873565375E0,7.200027466E-1,6.758595428E0,7.111860809E0
1.883520375E0,7.503895569E-1,6.750661926E0,7.086264038E0
1.893475375E0,7.381150818E-1,6.731052704E0,7.073091431E0
1.903430375E0,7.253915405E-1,6.755451965E0,7.074438629E0
1.913385375E0,7.056326294E-1,6.728358307E0,7.103777618E0
1.923340375E0,6.650669861E-1,6.719676361E0,7.101083221E0
1.933295375E0,6.521937561E-1,6.731651459E0,7.114106140E0
1.943250375E0,6.453080750E-1,6.746620331E0,7.093299408E0
1.953205375E0,6.864724731E-1,6.765331421E0,7.094197540E0
1.963160375E0,6.836283875E-1,6.773564301E0,7.102280731E0
1.973115375E0,6.957531738E-1,6.766528931E0,7.098688202E0
1.983070375E0,7.161108398E-1,6.767726440E0,7.102580109E0
1.993025375E0,6.896159363E-1,6.758745117E0,7.093449097E0
2.002980375E0,6.743476868E-1,6.736890564E0,7.101532288E0
2.012935375E0,6.683601379E-1,6.742728424E0,7.062912598E0
2.022891375E0,6.662644958E-1,6.758894806E0,7.061565399E0
2.032846375E0,7.177574158E-1,6.742728424E0,7.070397034E0
2.042801375E0,6.990463257E-1,6.765481110E0,7.109914856E0
2.052756375E0,6.864724731E-1,6.765630798E0,7.132667542E0
2.062711375E0,6.899153137E-1,6.767277374E0,7.132368164E0
2.072666375E0,6.981481934E-1,6.756799164E0,7.096293182E0
2.082621375E0,7.246430969E-1,6.736890564E0,7.078031158E0
2.092576375E0,7.385641479E-1,6.721472626E0,7.082970886E0
2.102531375E0,6.991960144E-1,6.722221069E0,7.094197540E0
2.112486375E0,6.888674927E-1,6.744674377E0,7.092700653E0
2.122441375E0,6.935078430E-1,6.768025818E0,7.087461548E0
2.132396375E0,7.075785828E-1,6.768624573E0,7.108118591E0
2.142351375E0,7.029382324E-1,6.752458191E0,7.093000031E0
2.152306375E0,6.875202942E-1,6.751260681E0,7.093748474E0
2.162262375E0,6.744973755E-1,6.774612122E0,7.062912598E0
2.172217375E0,6.554869080E-1,6.771019592E0,7.047644348E0
2.182172375E0,6.465055847E-1,6.792874146E0,7.054829407E0
2.192127375E0,6.466552734E-1,6.801855469E0,7.065906372E0
2.202082375E0,6.252497864E-1,6.791676636E0,7.083719330E0
2.212037375E0,6.152206421E-1,6.783743134E0,7.088060303E0
2.221992375E0,5.785469055E-1,6.776408386E0,7.118596802E0
2.231947375E0,5.414241028E-1,6.751560059E0,7.087461548E0
2.241902375E0,5.300477600E-1,6.743327179E0,7.097790070E0
2.251857375E0,5.658233643E-1,6.755901031E0,7.075486450E0
2.261812375E0,6.406677246E-1,6.754853210E0,7.091054077E0
2.271767375E0,6.854246521E-1,6.737040253E0,7.117099915E0
2.281722375E0,7.123686218E-1,6.737339630E0,7.116650848E0
2.291677375E0,6.953041077E-1,6.744375000E0,7.096143494E0
2.301632375E0,6.512956238E-1,6.732699280E0,7.105274506E0
2.311588375E0,6.231541443E-1,6.745422821E0,7.088060303E0
2.321543375E0,6.321354675E-1,6.762936401E0,7.074438629E0
2.331498375E0,6.860234070E-1,6.781348114E0,7.069798279E0
2.341453375E0,6.773414612E-1,6.772366791E0,7.072492676E0
2.351408375E0,6.715036011E-1,6.768175507E0,7.092700653E0
2.361363375E0,6.384223938E-1,6.750811615E0,7.107968903E0
2.371318375E0,6.176156616E-1,6.761589203E0,7.082222443E0
2.381273375E0,6.197113037E-1,6.748266907E0,7.069648590E0
2.391228375E0,6.219566345E-1,6.774312744E0,7.061116333E0
2.401183375E0,6.355783081E-1,6.780300293E0,7.064259796E0
2.411138375E0,6.509962463E-1,6.775809631E0,7.083270264E0
2.421093375E0,6.673123169E-1,6.781647491E0,7.128027191E0
2.431048375E0,6.319857788E-1,6.778354340E0,7.119494934E0
2.441003375E0,5.878276062E-1,6.746021576E0,7.103328552E0
2.450958375E0,5.861810303E-1,6.730753326E0,7.084617462E0
2.460914375E0,6.354286194E-1,6.751410370E0,7.068151703E0
2.470869375E0,6.506968689E-1,6.759194183E0,7.089706879E0
2.480824375E0,6.788383484E-1,6.747668152E0,7.134613495E0
2.490779375E0,7.039860535E-1,6.750063171E0,7.122339020E0
2.500734375E0,6.837780762E-1,6.763385468E0,7.103328552E0
2.510689375E0,7.051835632E-1,6.735243988E0,7.093598785E0
2.520644375E0,6.876699829E-1,6.749314728E0,7.074738007E0
2.530599375E0,6.701564026E-1,6.762637024E0,7.069498901E0
2.540554375E0,6.562353516E-1,6.785838776E0,7.078330536E0
2.550509375E0,6.676116943E-1,6.780599670E0,7.066804504E0
2.560464375E0,6.685098267E-1,6.775210876E0,7.086713104E0
2.570419375E0,6.274951172E-1,6.773264923E0,7.084916840E0
2.580374375E0,6.370751953E-1,6.751709747E0,7.063810730E0
2.590329375E0,6.620732117E-1,6.759792938E0,7.069199524E0
2.600285375E0,6.698570251E-1,6.750362549E0,7.076683960E0
2.610240375E0,7.301815796E-1,6.766379242E0,7.101532288E0
2.620195375E0,7.176077271E-1,6.760092316E0,7.132817230E0
2.630150375E0,6.890171814E-1,6.747219086E0,7.137756958E0
2.640106208E0,6.460565186E-1,6.741979980E0,7.126380615E0
2.650061208E0,6.264472961E-1,6.734046478E0,7.094047852E0
2.660016208E0,6.584806824E-1,6.738537140E0,7.079977112E0
2.669971208E0,6.941065979E-1,6.752757568E0,7.087611237E0
2.679926208E0,7.173083496E-1,6.751260681E0,7.118297424E0
2.689881208E0,6.828799438E-1,6.747817841E0,7.121440887E0
2.699836208E0,6.973997498E-1,6.753206635E0,7.096143494E0
2.709791208E0,6.812333679E-1,6.758595428E0,7.083869019E0
2.719746208E0,6.468049622E-1,6.768325195E0,7.079378357E0
2.729701208E0,6.548881531E-1,6.766977997E0,7.084318085E0
2.739656208E0,6.412664795E-1,6.785689087E0,7.084467773E0
2.749612208E0,6.471043396E-1,6.779551849E0,7.099286957E0
2.759567208E0,6.575825500E-1,6.780150604E0,7.099286957E0
2.769522208E0,6.581813049E-1,6.741381226E0,7.081324310E0
2.779477208E0,6.545887756E-1,6.760990448E0,7.075636139E0
2.789432208E0,6.388714600E-1,6.751260681E0,7.083569641E0
2.799387208E0,6.111790466E-1,6.756499786E0,7.071444855E0
2.809342208E0,6.057902527E-1,6.780449982E0,7.082222443E0
2.819297208E0,6.484515381E-1,6.763684845E0,7.082671509E0
2.829252208E0,6.647676086E-1,6.762786713E0,7.102131042E0
2.839207208E0,6.557862854E-1,6.757697296E0,7.096442871E0
2.849162208E0,6.463558960E-1,6.749614105E0,7.063810730E0
2.859117208E0,6.358776855E-1,6.761289825E0,7.053033142E0
2.869072208E0,6.343807983E-1,6.767427063E0,7.079677734E0
2.879027208E0,6.262976074E-1,6.771019592E0,7.087012482E0
2.888982208E0,6.664141846E-1,6.791826324E0,7.112160187E0
2.898937208E0,6.746470642E-1,6.763984222E0,7.106172638E0
2.908893208E0,6.831793213E-1,6.731352081E0,7.118596802E0
2.918848208E0,6.954537964E-1,6.743327179E0,7.114405518E0
2.928803208E0,6.665638733E-1,6.743476868E0,7.082372131E0
2.938758208E0,6.526428223E-1,6.743476868E0,7.067403259E0
2.948713208E0,6.789880371E-1,6.737339630E0,7.094796295E0
2.958668208E0,6.761439514E-1,6.750961304E0,7.120243378E0
2.968623208E0,6.481521606E-1,6.765780487E0,7.110064545E0
2.978578208E0,6.710545349E-1,6.769672394E0,7.101981354E0
2.988533208E0,6.758445740E-1,6.767876129E0,7.068750458E0
2.998488208E0,6.816824341E-1,6.766828308E0,7.084318085E0
3.008443208E0,7.162605286E-1,6.756948853E0,7.079677734E0
3.018398208E0,6.656657410E-1,6.752757568E0,7.078031158E0
3.028353208E0,6.056405640E-1,6.775510254E0,7.083419952E0
3.038308208E0,5.941145325E-1,6.808890839E0,7.083869019E0
3.048263208E0,5.902226257E-1,6.809489594E0,7.081923065E0
3.058219208E0,6.514453125E-1,6.778953094E0,7.097490692E0
3.068174208E0,7.069798279E-1,6.771618347E0,7.084318085E0
3.078129208E0,7.149133301E-1,6.757996674E0,7.055727539E0
3.088084208E0,7.081773376E-1,6.746021576E0,7.054530029E0
3.098039208E0,6.676116943E-1,6.764882355E0,7.082072754E0
3.107994208E0,6.105802917E-1,6.777605896E0,7.081923065E0
3.117949208E0,6.321354675E-1,6.772815857E0,7.095694427E0
3.127904208E0,6.599775696E-1,6.763984222E0,7.062762909E0
3.137859208E0,6.761439514E-1,6.765930176E0,7.080725555E0
3.147814208E0,6.855743408E-1,6.759194183E0,7.088808746E0
3.157769208E0,6.897656250E-1,6.735094299E0,7.090155945E0
3.167724208E0,6.873706055E-1,6.737189941E0,7.084168396E0
3.177679208E0,7.262896729E-1,6.739584961E0,7.103178864E0
