"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.582694054E-2,4.550140474E1,9.158383983E0,1.316080659E2,NaN,NaN,2.281768433E1,3.000000000E1
1.582694054E-2,4.550140474E1,9.158383983E0,1.316080659E2,NaN,NaN,2.281768433E1,3.000000000E1
4.528200626E-2,4.550140493E1,9.158384097E0,1.316079706E2,NaN,NaN,2.281830431E1,3.000000000E1
3.647018671E-1,4.550146777E1,9.158455703E0,1.451671333E2,1.259999990E0,2.823046875E2,1.682484508E1,1.600000000E1
1.311700702E0,4.550146770E1,9.158447365E0,1.331494331E2,1.259999990E0,2.830078125E2,1.659072433E1,4.000000000E0
2.311699867E0,4.550146693E1,9.158441404E0,1.332426949E2,0.000000000E0,2.830078125E2,1.651243222E1,4.000000000E0
3.311698794E0,4.550146365E1,9.158442583E0,1.332853584E2,0.000000000E0,2.830078125E2,1.650280273E1,4.000000000E0
4.311706066E0,4.550146130E1,9.158442998E0,1.335173531E2,0.000000000E0,NaN,1.646727500E1,4.000000000E0
5.311696649E0,4.550147538E1,9.158468210E0,1.345949898E2,6.299999952E-1,2.615625000E2,2.024327280E1,4.000000000E0
6.311666846E0,4.550141662E1,9.158408393E0,1.345492134E2,1.690000057E0,2.506640625E2,1.609035691E1,4.000000000E0
7.311672807E0,4.550140896E1,9.158385761E0,1.343886909E2,1.690000057E0,2.496093750E2,1.612529299E1,3.000000000E0
8.311676621E0,4.550140022E1,9.158362210E0,1.341076851E2,1.960000038E0,2.492578125E2,1.616097332E1,3.000000000E0
9.311674476E0,4.550141738E1,9.158367854E0,1.338162422E2,2.059999943E0,2.485546875E2,1.310402748E1,3.000000000E0
1.031168175E1,4.550141962E1,9.158356648E0,1.329825020E2,2.230000019E0,2.397656250E2,1.146304972E1,3.000000000E0
1.231168878E1,4.550137318E1,9.158308247E0,1.324228706E2,2.230000019E0,2.521116028E2,1.024535836E1,3.000000000E0
1.331169450E1,4.550136559E1,9.158281981E0,1.324228711E2,2.230000019E0,2.521116028E2,1.038217228E1,3.000000000E0
1.431169903E1,4.550135697E1,9.158256382E0,1.322505688E2,2.190000057E0,2.521116028E2,1.051682143E1,3.000000000E0
1.531169999E1,4.550135576E1,9.158236574E0,1.319350171E2,2.369999886E0,2.521116028E2,9.623512424E0,3.000000000E0
1.631170499E1,4.550134973E1,9.158214154E0,1.320053907E2,2.369999886E0,2.521116028E2,8.994591504E0,3.000000000E0
1.731170893E1,4.550134196E1,9.158185111E0,1.320872998E2,2.369999886E0,2.510089722E2,9.210539048E0,3.000000000E0
1.831171012E1,4.550133429E1,9.158172001E0,1.320966992E2,2.109999895E0,2.510089722E2,8.879817649E0,3.000000000E0
1.931171513E1,4.550132843E1,9.158145453E0,1.320399975E2,2.220000029E0,2.510089722E2,9.017018720E0,3.000000000E0
2.031171751E1,4.550132580E1,9.158115784E0,1.321028029E2,2.619999886E0,2.510089722E2,8.478430230E0,3.000000000E0
2.131171942E1,4.550131846E1,9.158084428E0,1.323288159E2,2.359999895E0,2.510089722E2,8.701340504E0,3.000000000E0
2.231172168E1,4.550131271E1,9.158054862E0,1.323278394E2,2.359999895E0,2.510089722E2,8.817128662E0,3.000000000E0
2.331172323E1,4.550130744E1,9.158052047E0,1.323565870E2,2.490000010E0,2.510089722E2,8.549267252E0,3.000000000E0
2.431172431E1,4.550129987E1,9.158021453E0,1.322390333E2,2.490000010E0,2.510089722E2,8.690018368E0,3.000000000E0
2.531172609E1,4.550129233E1,9.157991179E0,1.318954053E2,2.390000105E0,2.510089722E2,8.801765363E0,3.000000000E0
2.631172788E1,4.550128572E1,9.157961822E0,1.315587354E2,2.390000105E0,2.510089722E2,8.911958197E0,3.000000000E0
