"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.223010063E-3,4.550088292E1,9.161353214E0,1.354119607E2,NaN,NaN,3.678049414E1,4.115757855E0
4.171001911E-2,4.550088274E1,9.161351083E0,1.354120713E2,NaN,NaN,7.009655791E1,4.134120972E0
4.192019701E-1,4.550097012E1,9.161603703E0,1.354119225E2,NaN,NaN,3.710971785E1,4.134136721E0
5.587844849E-1,4.550071170E1,9.161408419E0,1.305521431E2,0.000000000E0,1.110937500E2,1.315517461E1,1.200000000E1
1.469782352E0,4.550064326E1,9.161412677E0,1.324961128E2,2.300000042E-1,NaN,4.719908550E0,4.000000000E0
2.469777703E0,4.550063553E1,9.161435980E0,1.336994209E2,0.000000000E0,NaN,3.733596162E0,4.000000000E0
3.469771624E0,4.550062808E1,9.161425797E0,1.334544258E2,0.000000000E0,NaN,3.738214826E0,4.000000000E0
4.469766617E0,4.550063222E1,9.161417554E0,1.334030952E2,0.000000000E0,NaN,3.641288017E0,4.000000000E0
5.469761968E0,4.550062260E1,9.161403512E0,1.327462349E2,9.800000191E-1,1.483593750E2,3.609805632E0,4.000000000E0
6.469519019E0,4.550061311E1,9.161415434E0,1.321693916E2,2.099999905E0,1.388671875E2,3.598020670E0,3.000000000E0
7.469499350E0,4.550059678E1,9.161430832E0,1.321019478E2,2.099999905E0,1.448437500E2,3.594508380E0,3.000000000E0
8.469490767E0,4.550058976E1,9.161450509E0,1.318584175E2,2.099999905E0,1.427343750E2,3.535533906E0,3.000000000E0
9.469474673E0,4.550057870E1,9.161470542E0,1.317679024E2,2.099999905E0,1.427343750E2,3.535533906E0,3.000000000E0
1.046946847E1,4.550056361E1,9.161490072E0,1.313758736E2,2.349999905E0,1.427343750E2,3.535533906E0,3.000000000E0
1.146946537E1,4.550054861E1,9.161508512E0,1.311980171E2,2.349999905E0,1.378125000E2,3.535533906E0,3.000000000E0
1.246945620E1,4.550053239E1,9.161526114E0,1.305134468E2,2.349999905E0,1.423828125E2,3.535533906E0,3.000000000E0
1.346944463E1,4.550051564E1,9.161544466E0,1.305134473E2,2.349999905E0,1.423828256E2,4.748651530E0,4.029364438E0
1.446944261E1,4.550049522E1,9.161560001E0,1.311121411E2,2.359999895E0,1.466015744E2,4.748651530E0,4.029364438E0
1.546943414E1,4.550047811E1,9.161577950E0,1.310545850E2,2.359999895E0,1.448437624E2,4.748651530E0,4.029364438E0
1.646943235E1,4.550046162E1,9.161597518E0,1.308557325E2,2.450000048E0,1.416797014E2,4.748651530E0,4.029364438E0
1.746943271E1,4.550044325E1,9.161621917E0,1.309720656E2,2.680000067E0,1.385156412E2,4.748651530E0,4.029364438E0
1.846943235E1,4.550042659E1,9.161642995E0,1.306318556E2,2.529999971E0,1.395703275E2,4.748651530E0,4.029364438E0
1.946943152E1,4.550040841E1,9.161667441E0,1.305819289E2,2.680000067E0,1.388672036E2,4.748651530E0,4.029364438E0
2.046943200E1,4.550039232E1,9.161688642E0,1.306013380E2,2.529999971E0,1.388672027E2,4.748651530E0,4.029364438E0
2.146943164E1,4.550037826E1,9.161708523E0,1.311194043E2,2.329999924E0,1.381640767E2,4.748651530E0,4.029364438E0
2.246942997E1,4.550036017E1,9.161735258E0,1.315233351E2,2.670000076E0,1.405413818E2,4.748651530E0,4.029364438E0
2.346942925E1,4.550034301E1,9.161761012E0,1.321704298E2,2.670000076E0,1.405413818E2,4.748651530E0,4.029364438E0
2.446942699E1,4.550032394E1,9.161783339E0,1.323866774E2,2.720000029E0,1.405413818E2,4.748651530E0,4.029364438E0
2.546942616E1,4.550030570E1,9.161803501E0,1.324427687E2,2.720000029E0,1.405413818E2,4.748651530E0,4.029364438E0
2.646942532E1,4.550028649E1,9.161820154E0,1.327724806E2,2.640000105E0,1.405413818E2,4.748651530E0,4.029364438E0
2.746942270E1,4.550026876E1,9.161837590E0,1.329701124E2,2.640000105E0,1.405413818E2,4.748651530E0,4.029364438E0
2.846942222E1,4.550025630E1,9.161851739E0,1.328131909E2,2.220000029E0,1.405413818E2,4.748651530E0,4.029364438E0
2.946942043E1,4.550023602E1,9.161874201E0,1.329636426E2,2.220000029E0,1.405413818E2,4.748651530E0,4.029364438E0
3.046941972E1,4.550021094E1,9.161908521E0,1.329461868E2,2.920000076E0,1.405413818E2,4.748651530E0,4.029364438E0
3.146941745E1,4.550018999E1,9.161936011E0,1.330996292E2,3.079999924E0,1.405413818E2,4.748651530E0,4.029364438E0
3.246941710E1,4.550016835E1,9.161961525E0,1.326786698E2,3.099999905E0,1.405413818E2,4.748651530E0,4.029364438E0
3.346941507E1,4.550014381E1,9.162005496E0,1.345051260E2,2.833521956E0,1.405413818E2,8.002542787E0,3.989296023E0
3.446941328E1,4.550012620E1,9.162023791E0,1.346070750E2,2.581266342E0,1.405413818E2,7.410279593E0,3.691154097E0
3.546941209E1,4.550010184E1,9.162060626E0,1.348069682E2,2.930889410E0,1.414328308E2,7.335722111E0,3.655777488E0
3.646941042E1,4.550007359E1,9.162065419E0,1.355216272E2,3.079440059E0,1.414328308E2,7.787469910E0,6.985916853E0
3.746940935E1,4.550005620E1,9.162091749E0,1.351629436E2,2.845161048E0,1.414328308E2,7.694215115E0,6.907315513E0
3.846940756E1,4.550002487E1,9.162128512E0,1.352202574E2,3.548139853E0,1.414328308E2,7.565774755E0,6.836407062E0
3.946940637E1,4.550001124E1,9.162150779E0,1.349134052E2,2.833620404E0,1.414328308E2,7.499125170E0,6.737048675E0
4.046940506E1,4.549999092E1,9.162185133E0,1.345607601E2,2.921901990E0,1.414328308E2,7.475584926E0,6.684005826E0
4.146940398E1,4.549996644E1,9.162206818E0,1.339137871E2,2.996288945E0,1.414328308E2,7.535740347E0,6.763275590E0
4.246940136E1,4.549993819E1,9.162240756E0,1.343630376E2,3.548840039E0,1.414328308E2,7.267187259E0,6.493838874E0
4.346940064E1,4.549992381E1,9.162263994E0,1.348819758E2,2.990080809E0,1.414328308E2,7.091894738E0,6.479305312E0
4.446939921E1,4.549989400E1,9.162289728E0,1.349886809E2,3.340585338E0,1.414328308E2,7.097696301E0,6.350428544E0
