"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.508625224E-3,-2.380050659E-2,6.870562592E0,6.947801971E0
8.445374668E-3,-1.856140137E-2,6.940018158E0,6.968459015E0
1.840037480E-2,-4.977149963E-1,6.991960144E0,7.046446838E0
2.835537493E-2,-6.307882690E-1,6.926097107E0,7.240144043E0
3.830937482E-2,8.342152405E-1,6.885232086E0,7.003186798E0
4.826437496E-2,-4.954696655E-1,6.764882355E0,6.741680603E0
5.821837485E-2,1.712438965E-1,7.035818939E0,6.704557800E0
6.817337498E-2,-6.825805664E-2,7.217391357E0,6.713090057E0
7.812737487E-2,-3.555107117E-1,7.030280457E0,6.976542206E0
8.808237500E-2,3.300636292E-1,6.974895630E0,7.042554932E0
9.803637490E-2,3.617976379E-1,7.043003998E0,6.994953918E0
1.079913746E-1,-3.442840576E-2,7.117399292E0,6.807543640E0
1.179453749E-1,-1.660047913E-1,7.116501160E0,6.850504303E0
1.279003746E-1,-5.418731689E-2,7.023993530E0,6.841073914E0
1.378543749E-1,-1.715432739E-1,7.015161896E0,6.799759827E0
1.478093746E-1,-1.966909790E-1,6.963369598E0,6.805298309E0
1.577643747E-1,-7.604187012E-2,6.932982788E0,6.906936951E0
1.677183746E-1,-9.370513916E-2,6.979835358E0,6.918612671E0
1.776733748E-1,-2.004331970E-1,7.030430145E0,6.946754150E0
1.876273747E-1,-1.999841309E-1,7.032675476E0,6.957681427E0
1.975823748E-1,-2.085163879E-1,6.954238586E0,6.992409210E0
2.075363747E-1,-2.368075562E-1,6.907086639E0,6.977739716E0
2.174913748E-1,-2.679428101E-1,6.947502594E0,6.936575317E0
2.274453747E-1,-2.583627319E-1,6.934180298E0,6.916067963E0
2.374004996E-1,-1.579216003E-1,6.901847534E0,6.949298859E0
2.473545000E-1,-1.688488770E-1,6.888375549E0,6.968758392E0
2.573094997E-1,-1.676513672E-1,6.865772552E0,7.042704620E0
2.672634996E-1,-1.273851013E-1,6.843768311E0,7.119494934E0
2.772184997E-1,-1.782792664E-1,6.822811890E0,7.143594818E0
2.871724996E-1,-2.076182556E-1,6.800508270E0,7.126679993E0
2.971274997E-1,-1.454974365E-1,6.778803406E0,7.102879486E0
3.070814996E-1,-1.010398865E-1,6.760391693E0,7.065457306E0
3.170364997E-1,-7.559280396E-2,6.794371033E0,7.043303375E0
3.269914999E-1,-2.859054565E-2,6.756799164E0,7.105274506E0
3.369454998E-1,-5.014572144E-2,6.708599396E0,7.190447388E0
3.469004999E-1,-7.274871826E-2,6.739135895E0,7.238946533E0
3.568544998E-1,-1.706451416E-2,6.765780487E0,7.233108673E0
3.668094999E-1,1.077758789E-2,6.762786713E0,7.150181122E0
3.767634998E-1,6.571334839E-2,6.731052704E0,7.097041626E0
3.867184999E-1,1.149609375E-1,6.678362274E0,7.135511627E0
3.966724998E-1,4.430786133E-2,6.679559784E0,7.156318359E0
4.066275000E-1,3.787124634E-2,6.651867371E0,7.243736572E0
4.165814999E-1,4.505630493E-2,6.610104218E0,7.330106964E0
4.265365000E-1,6.706054688E-2,6.573879547E0,7.321275330E0
4.364904999E-1,1.630110168E-1,6.586154022E0,7.257058868E0
4.464455000E-1,2.273771667E-1,6.531517639E0,7.259304199E0
4.564004997E-1,2.363584900E-1,6.441105652E0,7.344926147E0
4.663544996E-1,2.233355713E-1,6.456972656E0,7.421866150E0
4.763094997E-1,2.749781799E-1,6.451284485E0,7.421716461E0
4.862634996E-1,2.339634705E-1,6.522386627E0,7.329657898E0
4.962184997E-1,3.095562744E-1,6.572232971E0,7.282505951E0
5.061724996E-1,2.507286072E-1,6.508465576E0,7.369774475E0
5.161274998E-1,1.833686829E-1,6.447093201E0,7.468569031E0
5.260814996E-1,9.370513916E-2,6.453380127E0,7.482340393E0
5.360364998E-1,-6.616241455E-2,6.447392578E0,7.410340118E0
