"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.228110313E-3,4.550109667E1,9.157076823E0,1.384245689E2,NaN,NaN,4.057475216E1,3.043429508E1
1.439905167E-2,4.550111466E1,9.157003605E0,1.384245842E2,NaN,NaN,6.053149646E1,3.043548931E1
4.191100597E-2,4.550111411E1,9.157009976E0,1.384240883E2,NaN,NaN,6.047713111E1,3.043548931E1
4.057711363E-1,4.550114716E1,9.156956567E0,1.221869698E2,0.000000000E0,NaN,2.155158953E1,1.200000000E1
1.475774527E0,4.550114109E1,9.156945563E0,1.294867134E2,0.000000000E0,NaN,4.464473042E0,4.000000000E0
2.475781441E0,4.550113243E1,9.156940966E0,1.297817574E2,0.000000000E0,NaN,4.202540660E0,4.000000000E0
3.475787044E0,4.550112809E1,9.156937977E0,1.299967842E2,0.000000000E0,NaN,4.120668177E0,4.000000000E0
4.475793481E0,4.550112577E1,9.156937540E0,1.299283638E2,0.000000000E0,NaN,4.003190029E0,4.000000000E0
5.475799799E0,4.550112047E1,9.156936249E0,1.298511543E2,0.000000000E0,NaN,6.914164332E0,4.000000000E0
6.475924969E0,4.550111978E1,9.156935077E0,1.295849190E2,0.000000000E0,NaN,5.374223509E0,3.000000000E0
7.475929141E0,4.550111721E1,9.156927089E0,1.294287300E2,0.000000000E0,2.531250000E2,5.226994423E0,3.000000000E0
8.475927591E0,4.550110922E1,9.156896080E0,1.299331856E2,1.820000052E0,2.524218750E2,4.856223150E0,3.000000000E0
9.475926042E0,4.550110899E1,9.156890290E0,1.297766914E2,1.820000052E0,2.531250000E2,4.765352880E0,3.000000000E0
1.147592115E1,4.550110169E1,9.156850691E0,1.300634346E2,1.779999971E0,2.517187500E2,4.332021966E0,3.000000000E0
1.247592056E1,4.550109336E1,9.156822169E0,1.308936958E2,1.909999967E0,2.510156250E2,3.956283441E0,3.000000000E0
1.347592521E1,4.550108779E1,9.156795468E0,1.308936962E2,1.909999967E0,2.510156085E2,3.224655048E0,4.029364438E0
1.447591972E1,4.550107979E1,9.156764159E0,1.307742506E2,2.509999990E0,2.506640409E2,3.594880573E0,4.029364438E0
1.547591150E1,4.550107138E1,9.156732572E0,1.307984815E2,2.509999990E0,2.489062286E2,3.762639179E0,4.029364438E0
1.647590446E1,4.550106558E1,9.156703510E0,1.307488599E2,2.410000086E0,2.510156042E2,3.863780355E0,4.029364438E0
1.747589564E1,4.550106151E1,9.156674437E0,1.307878003E2,2.299999952E0,2.545312298E2,4.034557375E0,4.029364438E0
1.847589040E1,4.550105815E1,9.156641335E0,1.303236279E2,2.299999952E0,2.569921670E2,4.209737486E0,4.029364438E0
1.947588718E1,4.550104854E1,9.156605731E0,1.302860914E2,2.579999924E0,2.478515407E2,4.364399814E0,4.029364438E0
2.047588241E1,4.550104153E1,9.156573803E0,1.305653883E2,2.579999924E0,2.499609154E2,4.429482060E0,4.029364438E0
2.147587979E1,4.550103282E1,9.156543211E0,1.301761671E2,2.539999962E0,2.496093533E2,4.499464701E0,4.029364438E0
2.247587740E1,4.550102455E1,9.156513494E0,1.301525464E2,2.400000095E0,2.499609169E2,4.537595354E0,4.029364438E0
2.347587633E1,4.550101622E1,9.156479882E0,1.299515577E2,2.539999962E0,2.503124782E2,4.566302300E0,4.029364438E0
2.447587538E1,4.550100781E1,9.156448491E0,1.300247999E2,2.490000010E0,2.503124786E2,4.589167675E0,4.029364438E0
2.647587442E1,4.550099276E1,9.156384351E0,1.301922194E2,2.640000105E0,2.517187271E2,4.523674448E0,4.029364438E0
2.747587466E1,4.550098493E1,9.156350208E0,1.300615431E2,2.640000105E0,2.520702896E2,4.557527345E0,4.029364438E0
2.847587442E1,4.550097615E1,9.156315023E0,1.300728957E2,2.680000067E0,2.510156019E2,4.582466451E0,4.029364438E0
2.947587585E1,4.550096897E1,9.156278847E0,1.304027297E2,2.690000057E0,2.524218516E2,4.604493044E0,4.029364438E0
3.047587645E1,4.550096316E1,9.156244927E0,1.302003371E2,2.690000057E0,2.541796639E2,4.634981264E0,4.029364438E0
3.247587931E1,4.550094816E1,9.156184531E0,1.300454908E2,2.589999914E0,2.506640402E2,4.559698140E0,4.029364438E0
3.347588074E1,4.550092991E1,9.156147117E0,1.321945143E2,2.732208196E0,2.517720463E2,4.242496049E0,4.072864698E0
3.447588241E1,4.550092049E1,9.156114072E0,1.320947873E2,2.662066478E0,2.498042975E2,4.508608453E0,3.923741609E0
3.547588456E1,4.550091342E1,9.156080341E0,1.322704766E2,2.711488170E0,2.525959157E2,4.794780488E0,3.887999415E0
3.647588658E1,4.550090200E1,9.156049279E0,1.323271684E2,2.449048790E0,2.509622717E2,4.811439719E0,3.411522797E0
