"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.034917034E-3,3.722758484E-1,6.553222504E0,7.308402100E0
1.498991670E-2,4.236190796E-1,6.552174683E0,7.351811829E0
2.494491683E-2,4.433779907E-1,6.537954254E0,7.390581207E0
3.489891673E-2,4.309538269E-1,6.521787872E0,7.382647705E0
4.485391686E-2,4.213737488E-1,6.503675537E0,7.332951050E0
5.480891699E-2,4.070036316E-1,6.528523865E0,7.290589142E0
6.476391666E-2,4.183799744E-1,6.549330597E0,7.235952759E0
7.471891679E-2,3.968247986E-1,6.514902191E0,7.293582916E0
8.467391692E-2,3.802093506E-1,6.535858612E0,7.330406342E0
9.462791681E-2,3.179388428E-1,6.557713165E0,7.359146576E0
1.045829169E-1,2.998265076E-1,6.579567719E0,7.337441711E0
1.145379171E-1,2.856060791E-1,6.559359741E0,7.336393890E0
1.244929167E-1,3.146456909E-1,6.519243164E0,7.298971710E0
1.344479169E-1,3.347039795E-1,6.518494720E0,7.273075562E0
1.444029170E-1,3.203338623E-1,6.547234955E0,7.312593384E0
1.543579167E-1,2.754272461E-1,6.532116394E0,7.389234009E0
1.643119170E-1,2.320175171E-1,6.524631958E0,7.404352570E0
1.742669167E-1,2.405497742E-1,6.513255615E0,7.356751556E0
1.842219168E-1,2.387535095E-1,6.517147522E0,7.318880310E0
1.941769170E-1,2.595602417E-1,6.488556976E0,7.294481049E0
2.041319166E-1,2.809657288E-1,6.503974915E0,7.320676575E0
2.140869168E-1,2.869532776E-1,6.515201569E0,7.366631012E0
2.240409167E-1,2.999761963E-1,6.504423981E0,7.414381714E0
2.339959168E-1,3.870950317E-1,6.462062073E0,7.409741364E0
2.439509169E-1,3.620970154E-1,6.483916626E0,7.394622803E0
2.539059171E-1,3.001258850E-1,6.489006042E0,7.328161011E0
2.638609167E-1,3.152444458E-1,6.504274292E0,7.294031982E0
2.738159169E-1,2.962339783E-1,6.505172424E0,7.275769958E0
2.837709170E-1,2.983296204E-1,6.539600830E0,7.253466339E0
2.937249169E-1,2.785707092E-1,6.583908691E0,7.268135834E0
3.036799170E-1,2.445913696E-1,6.628216553E0,7.303312683E0
3.136349167E-1,2.701881409E-1,6.639143829E0,7.298223267E0
3.235899168E-1,2.986289978E-1,6.671925659E0,7.252568207E0
3.335449169E-1,3.519181824E-1,6.648424530E0,7.216493225E0
3.434999171E-1,3.851490784E-1,6.623576202E0,7.227719879E0
3.534539170E-1,3.980223083E-1,6.617588654E0,7.208110657E0
3.634089171E-1,3.971241760E-1,6.596482544E0,7.245083771E0
3.733639168E-1,4.168830872E-1,6.589297485E0,7.294930115E0
3.833189169E-1,4.614903259E-1,6.550977173E0,7.342082062E0
3.932739170E-1,5.011578369E-1,6.524482269E0,7.340734863E0
4.032289167E-1,5.072950745E-1,6.525081024E0,7.327861633E0
4.131839168E-1,5.328918457E-1,6.519243164E0,7.316335602E0
4.231379167E-1,5.084925842E-1,6.491401062E0,7.327262878E0
4.330929169E-1,5.255570984E-1,6.486910400E0,7.318580933E0
4.430479170E-1,5.692662048E-1,6.514303436E0,7.327562256E0
4.530029166E-1,6.005511475E-1,6.535858612E0,7.312294006E0
4.629579168E-1,6.186634827E-1,6.534661102E0,7.329208832E0
4.729129169E-1,5.842350769E-1,6.535110168E0,7.320676575E0
4.828669168E-1,5.153782654E-1,6.546636200E0,7.310647430E0
4.928220417E-1,4.831951904E-1,6.539451141E0,7.308102722E0
5.027770419E-1,4.790039062E-1,6.519692230E0,7.333998871E0
5.127320420E-1,4.879852295E-1,6.517147522E0,7.345225525E0
5.226870417E-1,5.192701721E-1,6.514303436E0,7.348368988E0
5.326420418E-1,5.330415344E-1,6.513854370E0,7.326963501E0
5.425970419E-1,5.442681885E-1,6.502478027E0,7.335645447E0
5.525510418E-1,5.315446472E-1,6.509214020E0,7.336094513E0
5.625060420E-1,5.093907166E-1,6.511010284E0,7.335495758E0
5.724610421E-1,5.019062805E-1,6.499334564E0,7.336842957E0
5.824160418E-1,4.709207153E-1,6.500532074E0,7.315287781E0
5.923710419E-1,4.734654236E-1,6.512357483E0,7.294181671E0
6.023260420E-1,4.860392761E-1,6.502627716E0,7.295828247E0
6.122800419E-1,4.314028931E-1,6.534361725E0,7.257208557E0
6.222350420E-1,4.079017639E-1,6.571185150E0,7.313491516E0
6.321900417E-1,3.522175598E-1,6.651268616E0,7.366780701E0
6.421450418E-1,3.507206726E-1,6.660399628E0,7.340884552E0
6.521000420E-1,2.763253784E-1,6.568790131E0,7.293283539E0
6.620550416E-1,2.056723022E-1,6.583010559E0,7.231911163E0
6.720100418E-1,1.392105103E-1,6.586603088E0,7.251969452E0
6.819640417E-1,2.694396973E-3,6.570885773E0,7.320826263E0
6.919190418E-1,1.032852173E-2,6.513405304E0,7.399712219E0
7.018740419E-1,1.068777466E-1,6.485862579E0,7.402256927E0
7.118290421E-1,2.216889954E-1,6.469696198E0,7.364385681E0
7.217840417E-1,3.537144470E-1,6.456373901E0,7.351811829E0
7.317390419E-1,4.079017639E-1,6.465504913E0,7.346123657E0
7.416930418E-1,4.125421143E-1,6.500831451E0,7.325017548E0
7.516480419E-1,4.553530884E-1,6.506669312E0,7.325466614E0
7.616030420E-1,4.135899353E-1,6.521488495E0,7.310647430E0
7.715580417E-1,4.703219604E-1,6.568939819E0,7.249424744E0
7.815130418E-1,4.667294312E-1,6.582411804E0,7.268135834E0
7.914680419E-1,3.936813354E-1,6.598877563E0,7.300917664E0
8.014220418E-1,3.613485718E-1,6.585255890E0,7.330256653E0
8.113770420E-1,3.158432007E-1,6.586752777E0,7.331154785E0
8.213320416E-1,3.037184143E-1,6.569688263E0,7.301815796E0
8.312870418E-1,2.653981018E-1,6.536157990E0,7.300318909E0
8.412420419E-1,2.478845215E-1,6.537355499E0,7.288643188E0
8.511970420E-1,2.055226135E-1,6.524482269E0,7.322173462E0
8.611520417E-1,1.923500061E-1,6.505621490E0,7.348668365E0
8.711060421E-1,2.151026917E-1,6.529571686E0,7.335196381E0
8.810610417E-1,1.824705505E-1,6.564149780E0,7.325616302E0
8.910160419E-1,2.032772827E-1,6.553671570E0,7.338639221E0
9.009710420E-1,2.493814087E-1,6.584357758E0,7.323520660E0
9.109260417E-1,2.844085693E-1,6.584507446E0,7.269183655E0
