"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.231916714E-3,-7.601193237E-1,5.919739838E0,7.915539551E0
1.118391659E-2,-2.644999695E-1,6.136189728E0,8.259823608E0
2.113691671E-2,8.517288208E-2,6.426735535E0,8.763077087E0
3.108891658E-2,2.664459229E-1,6.789580994E0,8.260272675E0
4.104091669E-2,9.505233765E-1,6.088588715E0,8.127049713E0
5.099391658E-2,7.274871826E-1,6.050268402E0,7.436535645E0
6.094591669E-2,4.492158508E-1,6.777306519E0,5.996380463E0
7.089891657E-2,-1.492396545E-1,7.628137207E0,5.758375397E0
8.085091668E-2,-4.561015320E-1,5.793252869E0,7.624544678E0
9.080391657E-2,-1.031055908E0,5.922284546E0,8.421038361E0
1.007559167E-1,-7.072792053E-1,6.781048737E0,8.167315979E0
1.107089166E-1,-8.660989380E-1,6.421346741E0,7.030280457E0
1.206609167E-1,-7.575746155E-1,6.793772278E0,7.457492065E0
1.306139166E-1,-8.155041504E-1,6.662644958E0,8.578361206E0
1.405659167E-1,-1.061592407E0,5.538632355E0,1.093835358E1
1.505189165E-1,-7.011419678E-1,5.642815704E0,1.025966492E1
1.604709167E-1,4.502636719E-1,7.701634369E0,5.996230774E0
1.704239165E-1,1.333726501E-1,6.916517029E0,6.195616150E0
1.803759167E-1,3.903881836E-1,6.459517365E0,7.144043884E0
1.903289165E-1,-1.841171265E-2,5.762416992E0,8.268206177E0
2.002809166E-1,-1.324745178E0,5.416037292E0,8.747509460E0
2.102339165E-1,-8.650511169E-1,5.882617035E0,6.557413788E0
2.201859166E-1,-2.095642090E-1,7.255861359E0,4.654121704E0
2.301389165E-1,-7.637118530E-1,6.531068573E0,5.199737091E0
2.400909166E-1,-1.133742371E0,6.498885498E0,7.695347443E0
2.500439165E-1,-7.732919312E-1,6.301595764E0,9.488318939E0
2.599959166E-1,-1.298998718E0,6.004763031E0,7.867938538E0
2.699479167E-1,-9.199868774E-1,6.123166809E0,6.727460175E0
2.799009166E-1,1.317260742E-1,5.471422119E0,8.032745819E0
2.898529167E-1,-7.289840698E-1,6.550977173E0,7.917186127E0
2.998059166E-1,-6.204597473E-1,7.327711945E0,5.855373688E0
3.097579167E-1,-2.640509033E-1,5.799689484E0,4.901856537E0
3.197109166E-1,-1.312620392E0,5.339246979E0,7.508984985E0
3.296629167E-1,-1.316063232E0,6.754404144E0,9.088500366E0
3.396159166E-1,6.698570251E-1,8.267757111E0,8.351582794E0
3.495679167E-1,-6.116281128E-1,9.837093658E0,5.758674774E0
3.595209166E-1,-1.272204437E0,6.648424530E0,8.469238129E0
3.694729167E-1,-8.503816223E-1,4.224814453E0,9.716294861E0
3.794259166E-1,5.812413025E-1,3.666176147E0,6.755901031E0
3.893779167E-1,2.553539886E0,4.890480194E0,3.707041168E0
3.993309166E-1,2.984493713E0,8.067323914E0,2.952310638E0
4.092829167E-1,2.203417969E-1,8.975335693E0,6.240073700E0
4.192359166E-1,-3.025658112E0,1.012210098E1,7.116351471E0
4.291879167E-1,-3.237767029E0,8.063881073E0,8.483009491E0
4.391409166E-1,-2.206711121E0,5.694608002E0,1.086500610E1
4.490929167E-1,-1.048719177E0,4.455784149E0,1.139235947E1
4.590449166E-1,1.794169006E0,7.163353729E0,6.832092590E0
4.689979167E-1,1.969753876E0,7.359895020E0,5.804329834E0
4.789499165E-1,1.912572784E0,8.625513153E0,4.097579041E0
4.889029167E-1,-3.118016052E-1,8.326435089E0,5.683830414E0
4.988549165E-1,-5.885760498E-1,5.778134308E0,6.817423096E0
5.088079167E-1,3.914360046E-1,4.568050690E0,7.550598450E0
5.187599165E-1,1.180145874E0,6.708150330E0,6.092330933E0
5.287129167E-1,9.252259827E-1,6.756799164E0,5.622458038E0
5.386649165E-1,1.543290710E0,7.268285522E0,7.552993469E0
5.486179166E-1,1.494941254E0,8.281229095E0,8.365054779E0
5.585699165E-1,1.219963074E-1,8.636590118E0,7.843090210E0
5.685229166E-1,5.692662048E-1,7.608677673E0,7.602989502E0
5.784749165E-1,6.893165588E-1,5.674100647E0,8.126151581E0
5.884279166E-1,1.293759613E0,6.176755371E0,7.337591400E0
5.983799167E-1,2.340832214E0,7.298822021E0,6.080655212E0
6.083329166E-1,2.079924774E0,6.849456482E0,6.903494110E0
6.182849167E-1,2.144889679E0,5.559738464E0,7.799081726E0
6.282379166E-1,2.040856018E0,7.256011047E0,7.094496918E0
6.381899167E-1,1.889670410E0,7.557933197E0,7.819589081E0
6.481429166E-1,1.548978882E0,8.028255157E0,7.550299072E0
6.580949167E-1,1.707499237E0,6.600823517E0,6.152954865E0
