"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.497932434E-3,4.550114091E1,9.162080119E0,1.328966802E2,0.000000000E0,1.870312500E2,3.142514868E1,1.006335207E1
3.009189487E0,4.550077218E1,9.161332914E0,1.353070869E2,8.100000024E-1,1.870312500E2,3.474964078E0,3.000000000E0
4.009195566E0,4.550076022E1,9.161325560E0,1.355628853E2,8.100000024E-1,1.996875000E2,3.481699200E0,3.000000000E0
5.009189487E0,4.550073653E1,9.161313130E0,1.353734322E2,1.529999971E0,1.852734375E2,3.535533906E0,3.000000000E0
6.009195328E0,4.550072027E1,9.161315309E0,1.347484322E2,1.860000014E0,1.606640625E2,3.535533906E0,3.000000000E0
7.009197831E0,4.550070448E1,9.161323188E0,1.347484325E2,1.860000014E0,1.606640681E2,4.748651530E0,4.029364438E0
8.009192824E0,4.550068230E1,9.161339242E0,1.344215284E2,2.430000067E0,1.550390719E2,4.748651530E0,4.029364438E0
9.009194136E0,4.550066501E1,9.161359480E0,1.342430616E2,2.410000086E0,1.483593865E2,4.748651530E0,4.029364438E0
1.000919902E1,4.550064761E1,9.161381382E0,1.340595289E2,2.430000067E0,1.441406380E2,4.748651530E0,4.029364438E0
1.100919104E1,4.550062947E1,9.161401071E0,1.334017530E2,2.440000057E0,1.441406380E2,4.748651530E0,4.029364438E0
1.200919008E1,4.550061425E1,9.161420923E0,1.332082715E2,2.440000057E0,1.437890757E2,4.748651530E0,4.029364438E0
1.300919449E1,4.550059928E1,9.161445986E0,1.328383375E2,2.440000057E0,1.402734517E2,4.748651530E0,4.029364438E0
1.400918639E1,4.550058210E1,9.161471801E0,1.324201246E2,2.509999990E0,1.388672026E2,4.748651530E0,4.029364438E0
1.500917757E1,4.550056104E1,9.161494077E0,1.318607985E2,2.670000076E0,1.434375145E2,4.748651530E0,4.029364438E0
1.600916922E1,4.550054289E1,9.161515534E0,1.314039503E2,2.559999943E0,1.434375139E2,4.748651530E0,4.029364438E0
1.700916076E1,4.550051972E1,9.161540573E0,1.315847366E2,2.900000095E0,1.437890781E2,4.748651530E0,4.029364438E0
1.800915325E1,4.550050097E1,9.161562298E0,1.313081252E2,2.680000067E0,1.423828274E2,4.748651530E0,4.029364438E0
1.900914490E1,4.550047895E1,9.161584944E0,1.313555495E2,2.799999952E0,1.423828281E2,4.748651530E0,4.029364438E0
2.000913692E1,4.550045810E1,9.161605263E0,1.308659865E2,2.730000019E0,1.430859525E2,4.748651530E0,4.029364438E0
2.100912929E1,4.550043351E1,9.161627253E0,1.307293289E2,2.980000019E0,1.451953280E2,4.748651530E0,4.029364438E0
2.200912154E1,4.550040998E1,9.161651661E0,1.306181229E2,3.069999933E0,1.437890791E2,4.748651530E0,4.029364438E0
2.300911379E1,4.550038962E1,9.161675666E0,1.310712478E2,2.980000019E0,1.413281420E2,4.748651530E0,4.029364438E0
2.400910664E1,4.550037014E1,9.161700468E0,1.309370926E2,2.930000067E0,1.392187675E2,4.748651530E0,4.029364438E0
2.500909925E1,4.550035058E1,9.161722268E0,1.308674514E2,2.779999971E0,1.402734537E2,4.748651530E0,4.029364438E0
2.600909162E1,4.550033067E1,9.161745895E0,1.307715041E2,2.829999924E0,1.402734540E2,4.748651530E0,4.029364438E0
2.700908339E1,4.550031295E1,9.161776696E0,1.328244328E2,2.866337943E0,1.422888873E2,6.392368210E0,3.324848730E0
2.800907588E1,4.550029359E1,9.161799565E0,1.324291274E2,2.732545536E0,1.427648661E2,4.526641890E0,3.000000000E0
2.900906897E1,4.550027233E1,9.161826321E0,1.324890756E2,2.832140265E0,1.418605919E2,5.058875118E0,3.000000000E0
3.000906205E1,4.550024977E1,9.161850981E0,1.324002597E2,2.923190822E0,1.442832418E2,5.125314201E0,3.000000000E0
3.100905490E1,4.550023280E1,9.161867539E0,1.324156207E2,2.832669572E0,1.431822715E2,5.468388138E0,3.000000000E0
3.200904810E1,4.550021569E1,9.161894690E0,1.326933627E2,2.921486594E0,1.434942806E2,5.429376178E0,3.000000000E0
3.300904071E1,4.550019351E1,9.161920330E0,1.330672157E2,2.963676223E0,1.420425063E2,5.228334093E0,3.000000000E0
3.400903380E1,4.550017712E1,9.161951651E0,1.330602336E2,2.920969141E0,1.395002014E2,5.384028516E0,3.000000000E0
3.500902677E1,4.550015856E1,9.161974642E0,1.330620546E2,3.084953424E0,1.427145585E2,5.361857769E0,3.000000000E0
3.600902009E1,4.550013993E1,9.162000395E0,1.333755214E2,3.081746719E0,1.378695565E2,5.402871846E0,3.000000000E0
3.700901341E1,4.550010968E1,9.162016065E0,1.334109226E2,3.069039193E0,1.423402429E2,5.468716203E0,4.506442095E0
3.800900662E1,4.550008959E1,9.162047438E0,1.336348923E2,3.137084392E0,1.383718501E2,5.688110420E0,4.644915295E0
3.900900006E1,4.550007185E1,9.162071285E0,1.339780682E2,2.923420039E0,1.410257868E2,6.063301187E0,4.956355448E0
4.000899327E1,4.550004928E1,9.162102616E0,1.337716308E2,3.126617429E0,1.403522600E2,6.163921248E0,4.981709087E0
4.100898600E1,4.550002543E1,9.162133731E0,1.335717638E2,3.345294205E0,1.406390024E2,6.220437020E0,4.994624909E0
4.200897956E1,4.550000860E1,9.162158860E0,1.334827273E2,3.004896077E0,1.378684687E2,6.373868391E0,5.018992048E0
4.300897229E1,4.549998569E1,9.162187316E0,1.337240703E2,3.136280513E0,1.392682466E2,6.369848149E0,4.980489326E0
4.400896585E1,4.549996244E1,9.162214838E0,1.336574500E2,3.258662956E0,1.404188563E2,6.392193756E0,5.008720087E0
4.500895977E1,4.549994249E1,9.162242749E0,1.334671181E2,3.239319741E0,1.417196496E2,6.538623308E0,5.122328888E0
4.600895262E1,4.549992586E1,9.162274388E0,1.339924398E2,3.115266218E0,1.368999680E2,6.632551763E0,5.166852382E0
4.700894594E1,4.549990466E1,9.162299213E0,1.344090245E2,3.090846377E0,1.422950722E2,6.742711599E0,5.243583573E0
4.800894010E1,4.549988390E1,9.162331797E0,1.343353926E2,3.288786194E0,1.396085503E2,6.944356483E0,5.378947338E0
4.900893295E1,4.549985938E1,9.162355418E0,1.342083400E2,3.275123483E0,1.431886524E2,6.956444555E0,5.414360058E0
5.000892663E1,4.549983833E1,9.162376815E0,1.339782032E2,3.086423650E0,1.437208542E2,7.043075857E0,5.430505533E0
5.100891960E1,4.549981396E1,9.162402539E0,1.335893788E2,3.240768260E0,1.435728116E2,7.041520332E0,5.457019566E0
5.200891447E1,4.549979601E1,9.162431430E0,1.337667289E2,3.138416995E0,1.389451072E2,7.014359331E0,5.399495911E0
5.300890708E1,4.549977753E1,9.162462630E0,1.339969813E2,3.128075489E0,1.359728205E2,6.966904454E0,5.347667330E0
5.400890064E1,4.549975560E1,9.162489754E0,1.338703863E2,3.138431952E0,1.368729893E2,7.062852787E0,5.386697974E0
5.500889373E1,4.549972782E1,9.162516071E0,1.337987481E2,3.399472744E0,1.424012379E2,7.066687951E0,5.408107920E0
5.600888729E1,4.549970924E1,9.162539793E0,1.340131774E2,2.968550696E0,1.406140929E2,7.008797080E0,5.425391835E0
5.700888145E1,4.549968194E1,9.162562793E0,1.337139842E2,3.155757896E0,1.447974087E2,6.988265749E0,5.547819342E0
5.800887477E1,4.549965911E1,9.162592731E0,1.339850583E2,3.243856768E0,1.407011009E2,6.998333467E0,5.634625574E0
5.900886810E1,4.549962990E1,9.162618554E0,1.339068290E2,3.541883645E0,1.426627482E2,6.919492339E0,5.679803773E0
6.000886118E1,4.549960555E1,9.162641168E0,1.335157578E2,3.260003485E0,1.415642080E2,6.893202717E0,5.658516846E0
6.100885558E1,4.549957878E1,9.162666964E0,1.335997690E2,3.331188850E0,1.419135981E2,6.860100892E0,5.762847072E0
6.200884902E1,4.549955359E1,9.162692324E0,1.337473358E2,3.308159808E0,1.404965603E2,6.772223423E0,5.675157563E0
6.300884283E1,4.549952640E1,9.162714565E0,1.333787155E2,3.361881066E0,1.441405714E2,6.691103513E0,5.765846862E0
6.400883615E1,4.549950057E1,9.162737768E0,1.333011691E2,3.295244337E0,1.433718257E2,6.598372818E0,5.677877162E0
6.500883031E1,4.549947448E1,9.162767146E0,1.335883929E2,3.532171907E0,1.399335273E2,6.444339533E0,5.607847245E0
6.600882339E1,4.549945038E1,9.162789402E0,1.333438143E2,3.272581248E0,1.414259414E2,6.382010841E0,5.543414449E0
6.700881791E1,4.549942386E1,9.162813735E0,1.333832669E2,3.337944583E0,1.432775588E2,6.318916475E0,5.527505037E0
6.800881100E1,4.549940158E1,9.162843246E0,1.335497353E2,3.361253608E0,1.386949987E2,6.200803840E0,5.390274655E0
6.900880432E1,4.549937722E1,9.162865000E0,1.330783076E2,3.165863509E0,1.417936275E2,6.113648172E0,5.379388978E0
7.000879753E1,4.549935424E1,9.162889416E0,1.330193644E2,3.094100213E0,1.415645253E2,6.047846377E0,5.254163309E0
7.100879169E1,4.549932596E1,9.162916426E0,1.331735816E2,3.531837666E0,1.438455941E2,5.970697182E0,5.217414033E0
7.200878513E1,4.549930482E1,9.162939516E0,1.331350065E2,3.286596590E0,1.441235054E2,5.930509628E0,5.151030526E0
7.300877905E1,4.549927975E1,9.162973835E0,1.337747338E2,3.642057591E0,1.383932600E2,5.927572661E0,5.208205094E0
7.400897658E1,4.549926041E1,9.162994590E0,1.334033253E2,3.088394950E0,1.399246465E2,5.885449201E0,5.165907119E0
7.500876582E1,4.549923716E1,9.163022944E0,1.336595442E2,3.233965065E0,1.403003600E2,5.895808419E0,4.914210579E0
7.600876081E1,4.549921276E1,9.163048133E0,1.337531789E2,3.271274708E0,1.416932905E2,5.913101262E0,4.884873593E0
7.700875330E1,4.549918685E1,9.163070935E0,1.333455663E2,3.292767193E0,1.445510312E2,5.886871251E0,4.892712582E0
7.800874722E1,4.549916594E1,9.163101364E0,1.334935768E2,3.272813188E0,1.397938612E2,5.987121493E0,4.973699482E0
7.900874054E1,4.549914228E1,9.163129325E0,1.335442845E2,3.327247070E0,1.408431831E2,5.952020174E0,4.944091352E0
8.000873363E1,4.549911887E1,9.163160878E0,1.339401547E2,3.404463738E0,1.384997228E2,5.970683167E0,4.942501957E0
8.100872803E1,4.549909792E1,9.163185570E0,1.336842353E2,3.221803323E0,1.413413382E2,5.957613211E0,4.935453613E0
8.200872231E1,4.549907611E1,9.163211484E0,1.339367160E2,3.134494726E0,1.426643934E2,5.917136805E0,4.974616117E0
8.300871563E1,4.549905330E1,9.163240659E0,1.341842288E2,3.265008284E0,1.408376515E2,5.843772706E0,5.062651980E0
8.400870931E1,4.549903044E1,9.163269110E0,1.341121866E2,3.366809188E0,1.411899559E2,5.835094292E0,5.036957692E0
8.500870252E1,4.549900684E1,9.163298303E0,1.342046789E2,3.489582927E0,1.407775182E2,5.764394315E0,5.012503929E0
8.600869656E1,4.549898751E1,9.163329841E0,1.340551048E2,3.444083421E0,1.351587481E2,5.745095981E0,4.941469694E0
8.700868988E1,4.549897448E1,9.163357589E0,1.340496295E2,2.905293793E0,1.326806675E2,5.737328340E0,4.870657903E0
8.800868344E1,4.549894530E1,9.163383401E0,1.339164039E2,3.244014499E0,1.416888178E2,5.751264374E0,4.980767908E0
8.900867748E1,4.549892018E1,9.163414961E0,1.340285386E2,3.540291020E0,1.382411745E2,5.812948983E0,5.030411898E0
9.000867116E1,4.549889513E1,9.163436081E0,1.338133167E2,3.360600544E0,1.432511815E2,5.741733070E0,4.740510516E0
9.100866497E1,4.549887055E1,9.163461830E0,1.339544490E2,3.339081669E0,1.431335034E2,5.694484316E0,4.668434811E0
9.200865817E1,4.549884915E1,9.163485892E0,1.334877838E2,3.155632267E0,1.425988925E2,5.739286541E0,4.738659854E0
9.300865233E1,4.549883186E1,9.163513024E0,1.335198913E2,2.987567187E0,1.375939859E2,5.808700018E0,4.907757187E0
9.400864565E1,4.549880559E1,9.163536724E0,1.331932927E2,3.163794757E0,1.436113341E2,5.837862835E0,4.933951538E0
