"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.699708312E-3,9.278613959E-2,-2.487826538E-1,-3.988859421E-1,4.791785381E-1
1.467070833E-2,5.218554820E-1,-2.477643612E-1,5.932427126E-1,8.280442252E-1
2.464170835E-2,7.929381372E-1,-2.076916382E-1,6.499718142E-1,1.046111880E0
3.461170831E-2,6.586563912E-1,1.737283784E-1,4.297884768E-1,8.054364816E-1
4.458270833E-2,8.365528111E-1,-2.131719410E-2,5.228936917E-1,9.867587554E-1
5.455370835E-2,6.356408733E-1,-3.290117151E-1,3.834796983E-1,8.120004356E-1
6.452470832E-2,3.407506217E-1,8.033869654E-2,1.389222425E-1,3.766492823E-1
7.449445833E-2,4.024767172E-1,1.337635365E-1,5.768593991E-1,7.159936857E-1
8.446545835E-2,3.726988579E-1,-3.343788743E-2,4.364829540E-2,3.767329355E-1
9.443645831E-2,7.491332095E-2,5.089966142E-1,-7.516958249E-1,9.108985520E-1
1.044074583E-1,-1.721194805E-1,-2.062289572E-1,-7.605865163E-1,8.066271425E-1
1.143784584E-1,-1.018639784E0,-6.809798911E-1,-5.588523138E-1,1.346728083E0
1.243484583E-1,-1.523193830E0,1.761386007E-2,-5.957207626E-1,1.635638383E0
1.343194583E-1,-2.066943225E0,-1.690067518E-1,-2.008103424E-1,2.083540825E0
1.442904584E-1,-2.437376761E0,-2.085541025E-1,-2.196974337E-2,2.446381606E0
1.542614583E-1,-1.852545269E0,-2.204531863E-1,1.072344267E-1,1.868695481E0
1.642314583E-1,-2.492068693E0,6.165771961E-2,-1.449998385E-1,2.497044853E0
1.742024584E-1,-2.344984615E0,2.846728635E-1,3.342999369E-1,2.385738445E0
1.841734583E-1,-2.045090133E0,3.763642216E-1,-2.002010626E-1,2.089048622E0
1.941444583E-1,-1.150969876E0,-4.858188361E-2,-6.632543492E-1,1.329284840E0
2.041144583E-1,-5.261942622E-1,4.310684323E-2,-6.694295937E-1,8.525694003E-1
2.140854583E-1,-6.234004582E-1,2.740847254E-1,-7.278245670E-1,9.967342516E-1
2.240564583E-1,-3.233994844E-1,7.544343683E-1,1.521451360E-1,8.348093106E-1
2.340274584E-1,-3.123030771E-1,9.353963372E-1,4.258696729E-1,1.074180850E0
2.439984583E-1,3.026563041E-1,7.635481310E-1,5.513462430E-1,9.892367090E-1
2.539684583E-1,5.608511113E-1,5.976076591E-1,2.578896922E-1,8.591833196E-1
2.639394584E-1,8.854662319E-1,8.885054684E-1,-4.152031821E-1,1.321319832E0
2.739104583E-1,7.167385384E-1,1.694751137E-1,1.262729609E-1,7.472488256E-1
2.838814583E-1,4.639639905E-1,-1.731699693E-1,-4.266853595E-1,6.536901550E-1
2.938514584E-1,6.738315238E-1,2.247201920E-1,-1.425433062E0,1.592610279E0
3.038224583E-1,4.187100862E-1,-3.611026964E-1,-8.898813182E-1,1.047665049E0
3.137934583E-1,7.588917008E-1,-4.780508101E-1,1.682138693E-1,9.125486817E-1
3.237644584E-1,2.402871611E-1,-3.460750598E-1,8.576660836E-1,9.555610800E-1
3.337344583E-1,-2.842142956E-1,-2.586097768E-1,9.435207510E-1,1.018767977E0
3.437054583E-1,-1.237291297E-1,-3.191860539E-1,1.133865747E0,1.184415538E0
3.536764584E-1,-2.396003325E-1,-3.806730348E-1,3.496605724E-1,5.697216818E-1
3.636474583E-1,-5.127277225E-2,4.478821009E-2,-2.877420670E-1,2.956862832E-1
3.736184583E-1,-1.302614198E-1,6.954356700E-2,-3.385233808E-1,3.693269886E-1
3.835884584E-1,2.680704986E-1,1.789540350E-3,1.290614980E-1,2.975262425E-1
3.935594583E-1,5.239015324E-1,6.886777505E-1,3.272674906E-1,9.251237053E-1
4.035304583E-1,9.404801989E-1,6.070184603E-1,-2.376004386E-1,1.144302575E0
4.135014584E-1,1.272023174E0,4.566956091E-1,-9.397644997E-2,1.354786111E0
4.234714583E-1,8.646773337E-1,8.099779469E-1,-2.469577378E-1,1.210255878E0
4.334424583E-1,1.077566708E0,1.303520370E0,-7.772849947E-1,1.861313334E0
4.434134584E-1,8.580753887E-1,1.119148013E0,-5.917616129E-1,1.529368318E0
4.533844583E-1,7.109902138E-1,7.970795739E-1,-6.327061558E-1,1.241434658E0
4.633554583E-1,7.134070142E-1,1.074869680E0,-2.199716681E-1,1.308694743E0
4.733254584E-1,9.646465950E-1,8.299491119E-1,3.637693191E-1,1.323513014E0
4.832964583E-1,1.380093167E0,6.026149222E-1,6.590455234E-2,1.507363694E0
4.932674583E-1,1.659261170E0,3.934948093E-1,3.649229747E-1,1.743890642E0
5.032384584E-1,1.403773221E0,-1.004127726E0,5.760121375E-1,1.819516895E0
5.132084583E-1,9.858056950E-1,-1.826409969E-1,1.713418958E0,1.985188940E0
5.231794583E-1,9.010340050E-1,-2.804625759E-1,1.053719716E0,1.414512911E0
5.331504584E-1,1.139325877E0,-5.124757075E-1,6.707364464E-1,1.417949994E0
5.431214583E-1,1.331441702E0,-4.510150391E-1,5.797368139E-1,1.520607229E0
5.530924583E-1,1.344317709E0,-6.151007742E-1,-4.785513318E-1,1.553882378E0
5.630624584E-1,1.199777097E0,-7.566636193E-1,1.735804439E-1,1.429032919E0
5.730334583E-1,7.307573842E-1,-7.645070744E-1,1.034039158E-1,1.062624012E0
5.830044583E-1,6.817134974E-1,-7.060431039E-1,1.104474717E-1,9.876379910E-1
5.929754584E-1,1.573594636E-1,-1.100516445E0,1.914039266E-1,1.128066447E0
6.029454583E-1,-1.484056223E-1,-1.040566112E0,-2.175281167E-2,1.051320716E0
6.129164583E-1,-6.306542216E-1,-7.811991209E-1,7.073248136E-1,1.228130777E0
6.228874584E-1,-8.802070999E-1,-7.009133416E-1,5.015285504E-1,1.231898916E0
6.328584583E-1,-7.507479912E-1,-1.814043108E-1,9.074486929E-1,1.191634676E0
6.428284583E-1,-9.265351743E-1,2.699250162E-2,7.094111001E-1,1.167244676E0
6.527994584E-1,-7.825550902E-1,2.388938427E-1,5.667858160E-1,9.953436082E-1
6.627704583E-1,-4.627476966E-1,1.372794673E-1,2.222041351E-1,5.313715842E-1
6.727414583E-1,-2.131172696E-1,5.243081331E-1,-1.410728484E-1,5.832834111E-1
6.827124584E-1,-1.747474019E-1,5.932435897E-1,-4.307398188E-1,7.536653121E-1
6.926824583E-1,1.617181244E-1,6.930529296E-1,-1.197941290E0,1.393390990E0
7.026534583E-1,1.679807116E-1,5.260450485E-1,-1.079749181E0,1.212765108E0
7.126244584E-1,3.734916307E-2,2.656945556E-1,-5.274779087E-1,5.917951513E-1
7.225954583E-1,-2.218044779E-1,1.234543106E-1,5.898729622E-1,6.421746684E-1
7.325654583E-1,-7.992764459E-1,7.036220643E-1,-3.256326091E-1,1.113536458E0
7.425364584E-1,-7.506695654E-1,2.975990108E-1,-1.447659498E-1,8.203823181E-1
7.525074583E-1,-9.892391069E-1,2.740589976E-1,-2.451544565E-1,1.055368681E0
7.624784583E-1,-3.625297093E-1,2.237647569E-1,-7.807319283E-2,4.331210916E-1
7.724494583E-1,-7.584024350E-1,-4.062411547E-1,-6.881465310E-1,1.101704033E0
7.824194583E-1,-1.093507534E0,-4.829007831E-1,2.165165484E-2,1.195583827E0
7.923904583E-1,-1.104190981E0,-8.682352182E-1,1.450315889E0,2.019031028E0
8.023614584E-1,-1.180297609E0,-6.177302670E-1,1.510362700E0,2.013923687E0
