"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.265375017E-3,9.213541026E-1,-3.734852280E0,1.404150367E-2,3.846844434E0
1.523537503E-2,1.411667693E0,-1.450511186E0,1.107528718E0,2.307251230E0
2.520637499E-2,1.685371327E0,-3.738469952E-1,1.792607215E0,2.488710251E0
3.517637501E-2,2.231329506E0,-1.345982850E0,2.517153248E0,3.623059712E0
4.514637502E-2,3.391694396E0,-2.737901719E0,3.304441659E0,5.469829191E0
5.511637504E-2,2.897897619E0,-1.514796644E0,2.011691276E0,3.839182370E0
6.508637499E-2,1.973058430E0,-1.105234271E0,1.236197868E0,2.577341174E0
7.505737501E-2,2.569821751E0,-1.817831226E0,1.969198390E0,3.712982157E0
8.502737503E-2,2.224119159E0,-2.298966735E0,9.454251891E-1,3.335533371E0
9.499737498E-2,1.199882785E0,-8.226120257E-1,-7.485535312E-1,1.636075069E0
1.049673750E-1,6.047861396E-1,2.529710144E-1,-1.758899771E0,1.877095899E0
1.149373750E-1,1.692084661E0,3.344645360E-1,-4.813626730E-1,1.790733662E0
1.249083750E-1,2.887706507E0,-3.782894173E-1,3.658561903E-1,2.935268728E0
1.348783750E-1,2.250261768E0,-5.421123201E-1,-8.109175944E-1,2.452580505E0
1.448483750E-1,1.592547947E0,-3.911012515E-1,-2.360535577E0,2.874247269E0
1.548183750E-1,2.094394879E0,-1.456968266E-1,-1.016530255E0,2.332606103E0
1.647883750E-1,2.272521240E0,-5.904559296E-1,1.101662207E0,2.593578726E0
1.747591667E-1,1.055813239E0,-5.093573874E-1,-3.558434182E-1,1.225075949E0
1.847291667E-1,2.746531661E-1,9.282177106E-1,-1.866787332E0,2.102835567E0
1.946991667E-1,-5.322005495E-3,2.463147487E0,-6.547688699E-1,2.548694988E0
2.046691666E-1,6.281924707E-1,2.004938619E0,8.486941159E-2,2.102761865E0
2.146391667E-1,7.040420406E-1,7.248381016E-1,-6.586011350E-1,1.206159576E0
2.246101667E-1,-3.193529188E-1,-1.420013863E-1,-2.023905525E0,2.053860816E0
2.345801667E-1,-3.418204429E-1,7.710173643E-1,-1.800431374E0,1.988180607E0
2.445501667E-1,3.780033058E-3,8.601005718E-1,-3.301899290E-1,9.213103014E-1
2.545201667E-1,2.129523781E0,2.562977877E-1,7.751612860E-1,2.280665497E0
2.644901667E-1,2.256760509E0,-3.018338567E-1,1.662991401E0,2.819505643E0
2.744611667E-1,1.211914674E0,-5.118959561E-1,5.527320331E-1,1.426985405E0
2.844311667E-1,1.168928210E0,-9.409701955E-1,-4.371027589E-2,1.501242371E0
2.944011667E-1,1.208574306E0,-1.110821285E0,2.934308231E-2,1.641778547E0
