"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.379750001E-3,-1.134843328E0,4.027904204E-1,-1.075274892E0,1.614411842E0
1.934875001E-2,-2.247317402E0,-5.561204946E-1,-3.846725303E-1,2.346844363E0
2.931875002E-2,-1.851505341E0,-2.653934240E-2,-3.592178464E-2,1.852043936E0
3.928875003E-2,-1.677587659E0,1.158847976E-1,-6.316519028E-1,1.796305588E0
4.925875005E-2,-1.020173217E0,-1.155494598E-1,1.324443462E0,1.675785056E0
5.922875000E-2,2.469639870E-1,9.853090471E-1,6.319787621E-1,1.196337028E0
6.919775001E-2,-1.526327938E-2,1.938670662E0,-1.452141974E0,2.422270261E0
7.916775002E-2,-8.890906285E-1,1.075560821E0,-2.696316614E0,3.036023140E0
8.913775004E-2,-1.168019626E0,-5.966677192E-1,-1.442483543E0,1.949625858E0
9.910775005E-2,-1.107620739E0,-7.896322677E-1,5.310967505E-2,1.361309464E0
1.090777500E-1,-1.723981222E0,8.462292221E-1,-6.725011361E-1,2.034815208E0
1.190467500E-1,-2.202079249E0,4.671051148E-1,9.456777889E-1,2.441648354E0
1.290167500E-1,-1.545230378E0,-8.850097105E-1,5.371690840E-1,1.859981111E0
1.389867500E-1,-1.229703073E0,-3.112838343E-1,-9.385050094E-1,1.577928682E0
1.489567500E-1,-1.757505356E0,2.648890140E0,-2.157771095E0,3.842059363E0
1.589267500E-1,-1.568415173E0,5.216011646E0,-2.748619958E0,6.100952001E0
1.688957500E-1,-1.857902195E0,2.586564668E0,-6.457425231E-1,3.249476997E0
1.788657500E-1,-1.313521448E0,1.817893499E-1,4.031737638E0,4.244207151E0
1.888357500E-1,3.154402910E-2,-3.164861898E0,7.218202366E0,7.881610956E0
1.988057500E-1,1.104509362E0,-4.137869865E0,9.526038743E0,1.044448764E1
2.087757500E-1,1.829383716E0,-2.076606479E0,7.319086132E0,7.824829778E0
2.187447500E-1,1.871893413E0,5.370313820E-1,2.145787227E0,2.897721601E0
2.287147500E-1,1.839209816E0,1.973809797E0,-5.297131823E0,5.944596152E0
2.386847500E-1,-2.575896021E-1,9.901762694E-1,-7.678388178E0,7.746253705E0
2.486547500E-1,-8.354382587E-1,-3.089110342E-1,-5.975286047E0,6.041309995E0
2.586247500E-1,-1.223071965E0,-3.144454238E-1,-3.101751437E0,3.348976401E0
2.685947500E-1,-8.437529994E-1,-2.067072594E-1,1.848887250E0,2.042799814E0
2.785637500E-1,5.245165498E-1,-2.691315490E-1,4.023147494E0,4.066111798E0
2.885337500E-1,6.602753390E-1,-5.462118030E-1,3.114820549E0,3.230544522E0
2.985037500E-1,1.040149571E0,1.430766892E-1,8.593214303E-1,1.356766520E0
3.084737500E-1,1.173593923E0,3.647300166E-1,-1.445165076E0,1.897064252E0
3.184437500E-1,-1.544406250E-1,5.595536873E-1,-2.415737970E0,2.484500388E0
3.284127500E-1,-6.794222660E-1,4.649182561E-1,-2.092727838E0,2.248838234E0
3.383827501E-1,-1.026425060E0,-1.526450729E-1,-7.548521519E-1,1.283218879E0
3.483527500E-1,-9.596744151E-1,5.979532295E-1,9.654864013E-2,1.134832449E0
3.583227500E-1,-2.494898380E-1,1.397393909E0,5.193689901E-1,1.511522102E0
3.682927500E-1,1.467749526E-1,1.505450454E0,-1.192724989E0,1.926270193E0
3.782617500E-1,3.375341050E-1,1.659743273E0,-3.580954733E0,3.961302034E0
3.882317500E-1,2.929820127E-1,1.364571149E0,-4.425236540E0,4.640108977E0
3.982017500E-1,-9.386367179E-2,8.480725569E-1,-3.993994446E0,4.084119132E0
4.081717500E-1,-1.806283487E-1,9.908799818E-1,-2.554423401E0,2.745823856E0
4.181417500E-1,-2.361110797E-1,9.676732600E-1,-8.201509327E-1,1.290266458E0
4.281117501E-1,-1.139941004E-1,-3.331568062E-2,3.897169232E-2,1.249935290E-1
4.380807500E-1,-2.153646652E-1,-2.471501112E-2,2.284097850E-2,2.179781665E-1
4.480510834E-1,-9.251703976E-2,1.610940072E-1,-1.039260721E-1,2.128645350E-1
4.580210834E-1,8.991078956E-2,6.457814071E-1,-1.091901450E0,1.271757190E0
4.679910833E-1,4.497510172E-2,1.456376820E0,-1.080341504E0,1.813889183E0
4.779610834E-1,-1.978579371E-1,1.586102854E0,4.146991521E-1,1.651316267E0
4.879300834E-1,-5.026405446E-1,2.557564817E0,-4.200306433E-1,2.640115727E0
4.979000834E-1,-6.022952623E-1,3.400462296E0,-2.513269528E0,4.271115443E0
5.078700834E-1,-4.709724997E-1,1.980572394E0,-6.788038498E0,7.086744581E0
5.178400833E-1,-1.100476976E0,7.024496976E-1,-1.097963024E1,1.105697813E1
5.278100834E-1,-1.154755071E0,-4.629892889E0,-2.620190544E0,5.443782318E0
5.377800834E-1,-2.373015728E0,-8.811031272E0,1.772239141E1,1.993360562E1
5.477490834E-1,7.950228158E-1,-4.321706325E0,2.293179512E1,2.334901356E1
5.577190833E-1,3.061642169E0,6.493739948E0,8.610655963E0,1.121096371E1
5.676890833E-1,4.139899726E0,7.588090796E0,-7.744619590E0,1.160590472E1
5.776590834E-1,-2.831450153E0,-1.172873984E0,-5.513610365E0,6.308140979E0
5.876290834E-1,-2.875573242E0,-3.299301957E0,1.746130621E0,4.712036398E0
5.975980834E-1,-2.229882905E0,9.540767294E-1,2.477853527E0,3.467333021E0
6.075680833E-1,-5.142227459E-1,2.758403519E0,2.186819478E0,3.557442119E0
6.175380833E-1,-1.111341541E0,-1.374154150E-2,2.590656257E0,2.819001365E0
6.275080834E-1,-1.242755520E0,-1.645725743E0,1.939381099E-1,2.071344127E0
6.374780834E-1,5.778337279E-1,-4.716121486E-1,-1.281278147E0,1.482559788E0
6.474480833E-1,1.276987898E0,9.096773592E-1,-1.207474591E0,1.978940595E0
6.574170833E-1,1.239909827E0,-4.238830814E-1,-7.419093400E-1,1.505816295E0
6.673870833E-1,2.057935443E0,-2.006847735E0,-1.672611825E0,3.325682852E0
6.773570834E-1,4.412270924E-1,-5.388390487E-1,-2.219644577E0,2.326338521E0
6.873270834E-1,-9.332567314E-3,1.052003558E0,-8.439882767E-1,1.348745638E0
6.972970833E-1,-8.019389573E-2,5.191058654E-1,-8.087897927E-1,9.643873128E-1
7.072660833E-1,-4.909544091E-1,3.526116621E-1,-1.570165098E0,1.682495067E0
7.172360834E-1,-2.021349743E-1,1.453526595E0,-2.443858400E0,2.850621334E0
7.272060834E-1,-1.126429112E0,2.881059392E0,-2.354109487E0,3.887309769E0
7.371760834E-1,-8.329102881E-1,2.185226404E0,-9.168422449E-1,2.511882498E0
7.471460833E-1,-3.080505067E-1,5.467383447E-1,8.481169957E-1,1.055045198E0
7.571160833E-1,-1.799812739E0,6.908315724E-1,1.500568029E0,2.443006051E0
7.670850834E-1,-2.038432055E0,2.180116814E0,3.163542473E-1,3.001365452E0
7.770550834E-1,-9.327043522E-1,8.981498659E-1,-1.008054131E-1,1.298757992E0
7.870250834E-1,-5.191661648E-1,-2.913906418E0,-4.328208429E-1,2.991273642E0
7.969950833E-1,4.305989740E-1,-6.242047720E0,-1.058856495E0,6.345845278E0
8.069650833E-1,3.529899039E-1,-2.157562349E0,-3.318800082E0,3.974180563E0
8.169350834E-1,4.811278342E-1,8.810165300E0,-4.253261157E0,9.794933745E0
8.269040834E-1,1.151725044E0,1.091755620E1,-1.154363746E0,1.103866204E1
8.368740834E-1,8.817012828E-1,4.252670881E0,3.235683081E0,5.415925754E0
8.468440833E-1,1.469242887E0,-7.523627583E0,4.107161458E0,8.696690284E0
