"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.218666661E-3,2.290359049E0,-5.579430717E-1,-1.445479656E0,2.765222682E0
1.218866667E-2,1.864655145E0,-4.516599870E-1,-1.380598952E0,2.363681243E0
2.215866669E-2,1.487925764E0,-9.391797781E-1,1.509751081E-2,1.759604976E0
3.212966665E-2,1.420331659E0,-1.657414327E0,1.790294641E0,2.823033683E0
4.209966667E-2,4.464818755E-1,-1.143680006E0,1.437215787E0,1.890222008E0
5.206966668E-2,-1.522867117E-1,-1.970853445E0,3.284913713E0,3.833811765E0
6.203966669E-2,-4.332278091E-1,-2.529249676E0,3.950810419E0,4.711018279E0
7.200966671E-2,-1.065262558E0,-2.498961683E0,3.876878225E0,4.733896765E0
8.197966666E-2,-7.402015145E-1,-1.875673053E0,2.081310564E0,2.897913275E0
9.195066668E-2,-4.487572464E-1,-2.470022059E0,1.815055845E0,3.097873425E0
1.019206667E-1,7.451887509E-1,-3.079570609E0,1.923255647E0,3.706477263E0
1.118906667E-1,1.181648974E0,-2.468588614E0,5.865763021E-1,2.798981208E0
1.218606667E-1,-1.989948185E-1,-2.541980526E0,8.448735452E-1,2.686089209E0
1.318306667E-1,2.029075742E-1,-2.552410789E0,2.019010820E0,3.260732588E0
1.418006667E-1,-5.726194368E-1,-2.743798344E0,1.386978264E0,3.127304122E0
1.517716667E-1,-1.235368002E0,-2.234048608E0,5.222195077E-1,2.605728400E0
1.617416667E-1,-2.221706013E0,-1.754754095E0,-3.129985303E-1,2.848351738E0
1.717116667E-1,-2.570547390E0,-1.656994789E0,-4.788249815E-1,3.095580556E0
1.816816667E-1,-1.758568234E0,-1.280394632E0,1.274032277E-1,2.179037455E0
1.916516667E-1,-1.094432928E0,-4.286316052E-1,-5.997664511E-2,1.176905130E0
2.016216667E-1,-7.389608815E-2,-1.465823874E-1,-5.741287494E-1,5.971355365E-1
2.115926667E-1,1.129311131E-1,-2.206104764E-1,-6.062545216E-1,6.549556959E-1
