"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.873708335E-3,-3.050501177E0,-7.023880094E-2,1.814338392E-1,3.056699062E0
1.684420835E-2,-1.055405176E0,1.417553062E0,1.099190004E0,2.081238918E0
2.681420837E-2,-2.875588445E0,-6.277635044E-1,3.841427726E-1,2.968275862E0
3.678420838E-2,-2.912273583E0,-1.402315511E0,1.643883870E0,3.626317746E0
4.675420834E-2,-4.659938149E-1,5.213585052E-1,2.349534625E0,2.451382851E0
5.672420835E-2,1.156484093E0,2.676726687E-1,-1.743626844E0,2.109345558E0
6.669420836E-2,-9.103309317E-1,-1.306177345E-1,-1.645211188E0,1.884803239E0
7.666420838E-2,-8.277095553E-1,1.962674944E0,-1.340985235E0,2.517029488E0
8.663420839E-2,-9.261005799E-1,1.377938176E0,-1.128478707E0,2.007446162E0
9.660420835E-2,8.891189875E-1,3.959927398E-1,7.360165161E-1,1.220271747E0
1.065742084E-1,8.642279752E-1,-5.185737687E-1,-9.030463243E-1,1.353255855E0
1.165452084E-1,5.705361835E-1,4.968095550E-1,-4.526834836E0,4.589614897E0
1.265152083E-1,-5.096890707E-1,2.052983728E0,-3.806088324E0,4.354403916E0
1.364852083E-1,1.543751910E-1,1.251961377E0,-1.691550372E0,2.110114132E0
1.464552084E-1,-8.600589104E-2,-8.138447106E-1,-3.743668127E-1,8.999392961E-1
1.564252084E-1,-4.137782156E-1,1.039931104E0,8.450629950E-2,1.122412771E0
1.663952083E-1,-4.079276378E-1,3.798309188E0,1.785439113E0,4.216793862E0
1.763652083E-1,-6.867969571E-2,1.503571452E0,1.302919276E0,1.990739222E0
1.863352084E-1,-3.722012598E-1,1.985793665E0,-9.418882084E-1,2.229139667E0
1.963052084E-1,-9.600874113E-2,2.289546871E0,-8.414008838E-1,2.441146861E0
2.062752084E-1,6.156545055E-1,2.650218335E-1,2.637400069E0,2.721239821E0
2.162452083E-1,2.302178720E-1,1.680144793E0,3.701971632E0,4.071913648E0
2.262152084E-1,8.644406676E-1,2.723000090E0,-4.361203682E0,5.213644091E0
2.361852084E-1,8.108187765E-2,-2.392722160E0,-1.928280745E0,3.074078762E0
2.461552084E-1,2.047271875E0,4.343750328E-2,-2.739485437E0,3.420232362E0
2.561252083E-1,1.735975031E0,9.729652825E-1,-3.562075828E0,4.080276333E0
2.660952084E-1,4.817897391E-1,-3.873022278E0,2.424246839E0,4.594496235E0
2.760652084E-1,1.478870474E0,-2.626353216E0,2.512718720E0,3.924097917E0
2.860352084E-1,-4.450902382E-2,-2.944471861E0,2.671900980E0,3.976298585E0
2.960052083E-1,8.817136350E-1,-1.033209730E0,5.029728127E-1,1.448420840E0
3.059752083E-1,-3.942885688E-1,8.490700918E-1,2.413448201E0,2.588651331E0
3.159452084E-1,-8.455542342E-1,-3.226695326E-1,5.444564103E0,5.519271317E0
3.259162084E-1,1.085458841E0,-2.538109084E0,2.490000533E0,3.717569270E0
3.358862083E-1,-1.375911970E0,-2.064359486E-1,-7.818966937E-1,1.595967415E0
3.458562084E-1,-1.487413256E0,-1.553438553E-1,1.262140794E0,1.956918315E0
3.558262084E-1,6.757843477E-1,-8.487139964E-1,-4.238843678E0,4.375476620E0
3.657962084E-1,-2.500884832E0,-3.386291277E0,-3.905402112E0,5.742260810E0
3.757662083E-1,-3.056965858E0,-1.240415757E0,-1.203831190E0,3.511820190E0
3.857362084E-1,-1.689910959E0,4.102324056E0,-2.439752485E0,5.063324392E0
3.957062084E-1,-2.735377914E-1,-1.899561560E-1,2.401488891E0,2.424470077E0
4.056762084E-1,3.603506713E-1,-4.554539528E-1,3.243051742E0,3.294643458E0
4.156462083E-1,7.831399579E-1,9.910530594E-1,1.695982561E0,2.114675202E0
4.256162083E-1,1.048946725E-1,1.569911914E0,6.612622029E-1,1.706720250E0
4.355862084E-1,-4.425515599E-1,3.483589530E0,1.301560383E0,3.745037694E0
4.455562084E-1,3.619996227E-1,1.534227526E0,-8.347900218E-1,1.783752284E0
4.555262084E-1,7.880926227E-1,-4.740845268E0,2.066368005E0,5.231307730E0
4.654962083E-1,1.956717655E0,-1.758316511E0,-2.263135582E-1,2.640386101E0
4.754662084E-1,5.775321212E-1,2.687860078E0,6.900550622E-1,2.834486045E0
4.854362084E-1,-1.632967557E0,1.452161855E0,-2.471722721E0,3.299207527E0
4.954062084E-1,-5.992980161E-1,-2.826947504E-1,-6.689892399E0,6.722628559E0
5.053762083E-1,1.655609145E-1,-5.793286783E-1,-2.362054099E0,2.437689828E0
5.153462084E-1,3.874824463E-1,-1.865761730E0,1.199801874E0,2.251829038E0
5.253162084E-1,4.549535043E-1,-2.085200424E0,1.365394437E0,2.533642727E0
5.352872084E-1,8.313218189E-1,3.117074651E-1,4.439546431E0,4.527452929E0
5.452572083E-1,7.443034094E-1,3.410791110E0,-1.346005654E-1,3.493651510E0
5.552272084E-1,-1.344714881E0,1.444568368E0,-3.861659092E-1,2.011009695E0
5.651972084E-1,-1.817807984E0,1.701908714E0,-3.194037457E0,4.050036347E0
5.751672084E-1,-1.083368608E0,1.563154579E0,-6.568224120E-1,2.012102249E0
5.851372083E-1,-1.369066050E0,-5.021718611E0,2.364987062E0,5.717093969E0
5.951072084E-1,-1.229973141E-1,-3.419489720E-1,-3.401137649E0,3.420496272E0
6.050772084E-1,5.546253981E-1,5.277121482E0,-6.206791348E0,8.165774875E0
6.150472084E-1,-3.677516749E-1,6.292057201E-1,1.966915637E-1,7.548699914E-1
6.250172083E-1,-1.106667862E0,-3.180381870E0,7.249780254E0,7.993676021E0
6.349872084E-1,-2.757457001E-1,2.963471219E-1,5.530421110E0,5.545215502E0
6.449572084E-1,-2.800480083E-1,4.409610149E0,-1.029827408E0,4.536918893E0
6.549272084E-1,-2.224981221E-1,3.499977521E0,-3.874498993E0,5.226001388E0
6.648972083E-1,-1.189378481E-1,-2.240141114E0,-1.072958810E0,2.486688366E0
6.748672083E-1,-1.155205233E0,-3.745633669E0,-3.638254523E-1,3.936577152E0
6.848372084E-1,2.742340121E-1,-2.762329924E-1,-2.896336412E-1,4.851768808E-1
6.948072084E-1,-2.074792088E0,1.913811809E0,1.490496200E0,3.192023931E0
7.047772084E-1,-2.612314636E0,1.477950122E0,-2.183822780E0,3.711819804E0
7.147482084E-1,-1.840566809E0,-4.241216770E0,-1.160961744E0,4.766910744E0
7.247182084E-1,-2.141197893E0,-3.570720352E0,1.740820180E0,4.512784855E0
7.346882084E-1,-2.314609060E0,1.407929130E0,2.540007091E-1,2.721065214E0
7.446582083E-1,-2.688761426E0,1.569294448E0,5.762601764E0,6.549786421E0
7.546282083E-1,-3.703345728E0,3.107043752E-1,2.384287552E0,4.415442664E0
7.645982084E-1,-1.496768801E-1,-1.238151715E0,6.634519851E-1,1.412654018E0
7.745682084E-1,-1.753015133E0,-2.772071385E0,-2.354281980E-1,3.288292605E0
7.845382084E-1,-1.995440256E0,-5.308125758E-1,-1.946778411E0,2.837867155E0
7.945082083E-1,4.677786409E-1,1.365775090E-1,-1.586916786E0,1.660052758E0
8.044782084E-1,-4.001737548E-1,-3.475023066E0,-8.854163843E-1,3.608307986E0
8.144482084E-1,-1.317380025E0,-2.262117874E0,-2.769969311E0,3.811219935E0
8.244182084E-1,-1.399739373E0,-2.113188415E0,4.196481185E0,4.902579925E0
8.343882083E-1,-9.785369481E-1,-2.043663266E-1,3.175433956E0,3.329066080E0
8.443582084E-1,-1.012567085E0,1.924505490E0,-1.159065492E0,2.464233410E0
8.543282084E-1,-4.082165268E-1,-3.970762289E-1,2.171859961E0,2.245280819E0
8.642982084E-1,1.612743938E-1,3.704026929E-1,2.419157422E0,2.452657787E0
8.742682083E-1,-6.925169592E-1,2.466155587E0,2.729734036E0,3.743387640E0
8.842382084E-1,6.341026901E-1,1.696462910E0,-3.938954605E0,4.335370342E0
8.942082084E-1,1.606503936E0,-1.408020346E0,-5.149000216E0,5.574547463E0
9.041792084E-1,3.742526458E-1,-3.193588976E0,-3.065743114E0,4.442730740E0
9.141492083E-1,-1.525639574E0,-1.813862429E0,2.597959430E0,3.516683981E0
9.241192084E-1,5.737684878E-1,3.407615780E0,1.856762865E0,3.922833659E0
